month_date_yyyymm,postal_code,zip_name,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_feet,median_square_feet,average_listing_price,total_listing_count,pending_ratio
202006,77414,"bay city, tx",202549.5,130,105.5,40,0,16,31,113.793981,1700,232176,161,0.2385
202006,77087,"houston, tx",205050,21,80.5,4,0,4,19,124.4563926,1615,227396,40,0.9048
202006,77024,"houston, tx",1249550,396,73.5,108,0,92,77,302.3306906,3815,1759357,473,0.1944
202006,77020,"houston, tx",292500,66,72.5,28,4,16,32,167.3225579,1666,273267,98,0.4848
202006,77983,"seadrift, tx",255050,22,136.5,0,0,4,9,153.8461538,1746,288390,31,0.4091
202006,77362,"pinehurst, tx",420049.5,38,61,16,0,16,47,128.5361262,3140.5,409231,85,1.2368
202006,77385,"conroe, tx",290920,139,57,68,12,52,112,121.4304813,2496,327036,251,0.8058
202006,77510,"santa fe, tx",249526.5,46,40.5,20,4,16,27,146.9537815,1719.5,275602,73,0.587
202006,77009,"houston, tx",400050,275,60.5,116,4,88,95,230.5389222,1804,515988,370,0.3455
202006,77530,"channelview, tx",159950,26,81.5,8,0,8,23,106.441048,1614,237466,49,0.8846
202006,77488,"wharton, tx",179050,29,67.5,12,0,8,9,94.88139825,1718.5,193348,38,0.3103
202006,77982,"port o connor, tx",419050,47,129.5,4,0,8,9,205.7699574,2123,491551,56,0.1915
202006,77371,"shepherd, tx",137050,19,104.5,0,0,0,6,86.17855891,1612,238259,25,0.3158
202006,77807,"bryan, tx",445500,136,101,68,0,4,42,207.2841488,1808.5,645667,178,0.3088
202006,77061,"houston, tx",194050,33,66,4,0,8,10,117.3351034,1698,208696,43,0.303
202006,77068,"houston, tx",277450,38,86.5,20,0,12,27,96.69399958,3199,383394,65,0.7105
202006,77002,"houston, tx",297050,61,67,16,0,16,10,244.6664032,1161,377494,71,0.1639
202006,77057,"houston, tx",319050,293,64.5,72,0,84,65,174.818268,1947,530053,358,0.2218
202006,77092,"houston, tx",299050,103,83,40,4,24,51,173.7361999,1691,308404,154,0.4951
202006,77502,"pasadena, tx",190050,38,52,12,0,12,34,108.5159729,1970,201521,72,0.8947
202006,77059,"houston, tx",441450.5,80,67,32,0,24,59,138.9802022,3358,493402,139,0.7375
202006,77038,"houston, tx",200550,18,56,12,0,0,27,100.6319883,1750,197816,45,1.5
202006,77364,"pointblank, tx",178300,31,101,8,0,4,15,128.7337662,1584,246201,46,0.4839
202006,77423,"brookshire, tx",308049,105,46,24,16,36,90,122.8472906,2603.5,327952,195,0.8571
202006,77469,"richmond, tx",280547.5,320,58,116,64,80,314,124.7274139,2405.5,338966,634,0.9813
202006,77065,"houston, tx",246550,24,41.5,20,0,4,48,100.2804451,2689,275646,72,2
202006,77076,"houston, tx",172494,17,83,8,0,0,9,112.3926937,1452,178479,26,0.5294
202006,77957,"edna, tx",213500,16,108.5,4,0,4,6,92.00400503,2300.5,204344,22,0.375
202006,77486,"west columbia, tx",240040,65,67,16,0,20,34,121.0990946,1896.5,256932,99,0.5231
202006,77034,"houston, tx",202500,29,45.5,20,8,8,28,114.2398592,1730,207628,57,0.9655
202006,77531,"clute, tx",249950,66,59,16,4,12,37,138.4302417,1748,250640,103,0.5606
202006,77094,"houston, tx",467050,35,60,8,0,8,21,146.0637824,3489.5,532662,56,0.6
202006,77511,"alvin, tx",262992.5,100,60,36,16,24,98,115.6753966,2223.5,282241,198,0.98
202006,77964,"hallettsville, tx",260050,18,102.5,0,0,4,8,88.01624915,3100,352020,26,0.4444
202006,77039,"houston, tx",118550,31,30.5,8,0,4,13,81.56441274,1494.5,164837,44,0.4194
202006,77640,"port arthur, tx",155050,63,93.5,16,0,8,3,108.2848404,1491,177357,66,0.0476
