Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint
77000,Houston,TX,29.711257,-95.304936,-6,1,"29.711257,-95.304936"
77001,Houston,TX,29.813142,-95.309789,-6,1,"29.813142,-95.309789"
77002,Houston,TX,29.755578,-95.36531,-6,1,"29.755578,-95.36531"
77003,Houston,TX,29.749278,-95.34741,-6,1,"29.749278,-95.34741"
77004,Houston,TX,29.728779,-95.3657,-6,1,"29.728779,-95.3657"
77005,Houston,TX,29.717529,-95.42821,-6,1,"29.717529,-95.42821"
77006,Houston,TX,29.741878,-95.38944,-6,1,"29.741878,-95.38944"
77007,Houston,TX,29.772627,-95.40319,-6,1,"29.772627,-95.40319"
77008,Houston,TX,29.798777,-95.40951,-6,1,"29.798777,-95.40951"
77009,Houston,TX,29.79326,-95.36735,-6,1,"29.79326,-95.36735"
77010,Houston,TX,29.754728,-95.36216,-6,1,"29.754728,-95.36216"
77011,Houston,TX,29.742378,-95.30726,-6,1,"29.742378,-95.30726"
77012,Houston,TX,29.719778,-95.27906,-6,1,"29.719778,-95.27906"
77013,Houston,TX,29.78146,-95.24289,-6,1,"29.78146,-95.24289"
77014,Houston,TX,29.979063,-95.47294,-6,1,"29.979063,-95.47294"
77015,Houston,TX,29.778526,-95.18118,-6,1,"29.778526,-95.18118"
77016,Houston,TX,29.857007,-95.30886,-6,1,"29.857007,-95.30886"
77017,Houston,TX,29.687829,-95.25478,-6,1,"29.687829,-95.25478"
77018,Houston,TX,29.825476,-95.42619,-6,1,"29.825476,-95.42619"
77019,Houston,TX,29.752528,-95.39923,-6,1,"29.752528,-95.39923"
77020,Houston,TX,29.775927,-95.31836,-6,1,"29.775927,-95.31836"
77021,Houston,TX,29.695879,-95.3573,-6,1,"29.695879,-95.3573"
77022,Houston,TX,29.825176,-95.37798,-6,1,"29.825176,-95.37798"
77023,Houston,TX,29.725961,-95.3227,-6,1,"29.725961,-95.3227"
77024,Houston,TX,29.773994,-95.51771,-6,1,"29.773994,-95.51771"
77025,Houston,TX,29.69023,-95.43474,-6,1,"29.69023,-95.43474"
77026,Houston,TX,29.79437,-95.33395,-6,1,"29.79437,-95.33395"
77027,Houston,TX,29.739029,-95.44364,-6,1,"29.739029,-95.44364"
77028,Houston,TX,29.827315,-95.28631,-6,1,"29.827315,-95.28631"
77029,Houston,TX,29.760794,-95.26043,-6,1,"29.760794,-95.26043"
77030,Houston,TX,29.704584,-95.40466,-6,1,"29.704584,-95.40466"
77031,Houston,TX,29.654132,-95.54311,-6,1,"29.654132,-95.54311"
77032,Houston,TX,29.944922,-95.34152,-6,1,"29.944922,-95.34152"
77033,Houston,TX,29.66913,-95.33834,-6,1,"29.66913,-95.33834"
77034,Houston,TX,29.63643,-95.21789,-6,1,"29.63643,-95.21789"
77035,Houston,TX,29.654108,-95.47692,-6,1,"29.654108,-95.47692"
77036,Houston,TX,29.70053,-95.53514,-6,1,"29.70053,-95.53514"
77037,Houston,TX,29.885451,-95.39552,-6,1,"29.885451,-95.39552"
77038,Houston,TX,29.917814,-95.44138,-6,1,"29.917814,-95.44138"
77039,Houston,TX,29.909123,-95.33683,-6,1,"29.909123,-95.33683"
77040,Houston,TX,29.878345,-95.53337,-6,1,"29.878345,-95.53337"
77041,Houston,TX,29.85873,-95.57243,-6,1,"29.85873,-95.57243"
77042,Houston,TX,29.741565,-95.55996,-6,1,"29.741565,-95.55996"
77043,Houston,TX,29.802473,-95.5618,-6,1,"29.802473,-95.5618"
77044,Houston,TX,29.88277,-95.16782,-6,1,"29.88277,-95.16782"
77045,Houston,TX,29.629111,-95.43841,-6,1,"29.629111,-95.43841"
