Zip Code,Land Use,Count,Date
77449,Unrestricted,1,4/27/2017
77386,Single Family Residential (Public Street),1,4/27/2017
77080,Unrestricted,1,4/27/2017
77007,Single Family Residential (Public Street),1,4/27/2017
77088,Commercial,1,4/27/2017
77365,Single Family Residential (Public Street),1,4/27/2017
77365,Single Family Residential (Public Street),1,4/27/2017
77075,Single Family Residential (Public Street),1,4/27/2017
77346,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,4/27/2017
77449,Unrestricted,1,4/27/2017
77546,General Plan,1,4/27/2017
77546,Unrestricted,1,4/27/2017
77043,Unrestricted,1,4/27/2017
77045,Compensating Open Space; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,4/27/2017
77045,General Plan; Single Family Residential (PAE 1/PAE 2),1,4/27/2017
77045,Compensating Open Space; Single Family Residential (PAE 1/PAE 2),1,4/27/2017
77025,Single Family Residential (Shared Driveways),1,4/27/2017
77056,Single Family Residential (Public Street),1,4/27/2017
77433,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,4/27/2017
77008,Unrestricted Intended for Multifamily,1,4/27/2017
77396,Unrestricted,1,4/27/2017
77055,Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,4/27/2017
77007,Single Family Residential (Public Street),1,4/27/2017
77008,Single Family Residential (Shared Driveways),1,4/27/2017
77007,Single Family Residential (Shared Driveways),1,4/27/2017
77336,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,4/27/2017
77083,Unrestricted,1,4/27/2017
77020,Single Family Residential (Public Street),1,4/27/2017
77055,Single Family Residential (Public Street),1,4/27/2017
77532,Unrestricted,1,4/27/2017
77498,Unrestricted,1,4/27/2017
77054,Residential Guest Parking; Single Family Residential (Shared Driveways),1,4/27/2017
77048,Single Family Residential (Public Street),1,4/27/2017
77004,Unrestricted,1,4/27/2017
77007,Single Family Residential (Public Street),1,4/27/2017
77063,General Plan,1,4/27/2017
77087,Unrestricted,1,4/27/2017
77093,Unrestricted,1,4/27/2017
77075,Single Family Residential (Public Street),1,4/27/2017
77009,Single Family Residential (Public Street),1,4/27/2017
77093,Unrestricted,1,4/27/2017
77051,Unrestricted,1,4/27/2017
77379,Unrestricted,1,4/27/2017
77071,Single Family Residential (Public Street),1,4/27/2017
77007,Single Family Residential (Public Street),1,4/27/2017
77447,Unrestricted,1,4/27/2017
77006,Single Family Residential (Shared Driveways),1,4/27/2017
77407,Street Dedication,1,4/27/2017
77379,Unrestricted,1,4/27/2017
77008,Single Family Residential (Public Street),1,4/27/2017
77336,Commercial,1,4/27/2017
77067,Commercial,1,4/27/2017
77015,Unrestricted,1,4/27/2017
77009,Single Family Residential (Public Street),1,4/27/2017
77493,Unrestricted,1,4/27/2017
77449,Unrestricted,1,4/27/2017
77044,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,4/27/2017
77044,Landscape or Open Space; Single Family Residential (Public Street),1,4/27/2017
77003,Single Family Residential (Shared Driveways),1,4/27/2017
77020,Single Family Residential (Public Street),1,4/27/2017
77009,Unrestricted,1,4/27/2017
77020,Single Family Residential (Public Street),1,4/27/2017
77386,Street Dedication,1,4/27/2017
77493,General Plan,1,4/27/2017
77493,Unrestricted,1,4/27/2017
77008,Unrestricted,1,4/27/2017
77346,Commercial; Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,4/27/2017
77016,Commercial,1,4/27/2017
77493,Landscape or Open Space; Single Family Residential (Public Street),1,4/27/2017
77493,Landscape or Open Space; Single Family Residential (Public Street),1,4/27/2017
77086,Landscape or Open Space; Single Family Residential (Public Street),1,4/27/2017
77017,Unrestricted,1,4/27/2017
77019,Single Family Residential (Public Street),1,4/27/2017
77447,Single Family Residential (Public Street),1,4/27/2017
77396,Street Dedication,1,4/27/2017
77007,Single Family Residential (Public Street),1,4/27/2017
77047,Unrestricted,1,4/27/2017
77449,Unrestricted,1,4/27/2017
77005,Unrestricted,1,4/27/2017
77498,Single Family Residential (Public Street),1,4/27/2017
77365,Commercial,1,4/27/2017
77092,Unrestricted,1,4/27/2017
77379,Unrestricted,1,4/27/2017
77044,General Plan,1,4/27/2017
77494,Compensating Open Space; Single Family Residential (PAE 1/PAE 2); Other,1,4/27/2017
77009,Single Family Residential (Public Street),1,4/27/2017
77086,Unrestricted,1,4/27/2017
77055,Single Family Residential (Public Street),1,4/27/2017
77429,Single Family Residential (Public Street),1,4/27/2017
77045,Unrestricted,1,4/27/2017
77357,General Plan,1,4/27/2017
77357,Single Family Residential (Public Street),1,4/27/2017
77433,Single Family Residential (PAE 1/PAE 2),1,4/27/2017
77433,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,4/27/2017
77043,Compensating Open Space; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2); Other,1,4/27/2017
77449,Landscape or Open Space; Single Family Residential (Public Street),1,4/27/2017
77449,Landscape or Open Space; Single Family Residential (Public Street),1,4/27/2017
77057,Single Family Residential (Shared Driveways),1,4/27/2017
77377,Unrestricted,1,4/27/2017
77545,Landscape or Open Space,1,4/27/2017
77396,Landscape or Open Space; Single Family Residential (Public Street),1,4/27/2017
