Zip Code,Land Use,Count,Date
77449,Single Family Residential (Public Street),1,8/24/2017
77073,Commercial,1,8/24/2017
77433,Landscape or Open Space; Single Family Residential (Public Street),1,8/24/2017
77039,Unrestricted,1,8/24/2017
77064,Unrestricted,1,8/24/2017
77006,Unrestricted,1,8/24/2017
77006,Unrestricted,1,8/24/2017
77396,Street Dedication,1,8/24/2017
77447,Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,8/24/2017
77447,Landscape or Open Space; Street Dedication,1,8/24/2017
77386,Single Family Residential (Public Street),1,8/24/2017
77007,Single Family Residential (Public Street),1,8/24/2017
77080,Single Family Residential (Public Street),1,8/24/2017
77085,Unrestricted,1,8/24/2017
77433,Street Dedication,1,8/24/2017
77025,Unrestricted,1,8/24/2017
77061,General Plan,1,8/24/2017
77061,Commercial,1,8/24/2017
77062,Commercial,1,8/24/2017
77055,Single Family Residential (PAE 1/PAE 2),1,8/24/2017
77429,Unrestricted,1,8/24/2017
77007,Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways),1,8/24/2017
77007,Single Family Residential (Public Street),1,8/24/2017
77022,Unrestricted,1,8/24/2017
77429,Commercial,1,8/24/2017
77429,Commercial,1,8/24/2017
77061,Unrestricted,1,8/24/2017
77091,Single Family Residential (Shared Driveways),1,8/24/2017
77076,Residential Guest Parking; Single Family Residential (Shared Driveways),1,8/24/2017
77087,Unrestricted,1,8/24/2017
77003,Unrestricted Intended for Multifamily,1,8/24/2017
77008,Single Family Residential (Public Street),1,8/24/2017
77005,Other,1,8/24/2017
77449,Street Dedication,1,8/24/2017
77493,General Plan,1,8/24/2017
77018,Commercial,1,8/24/2017
77006,Unrestricted,1,8/24/2017
77365,General Plan,1,8/24/2017
77365,Commercial,1,8/24/2017
77016,Unrestricted,1,8/24/2017
77020,Single Family Residential (Public Street),1,8/24/2017
77007,Single Family Residential (Shared Driveways),1,8/24/2017
77396,Unrestricted,1,8/24/2017
77396,Unrestricted,1,8/24/2017
77389,Unrestricted,1,8/24/2017
77407,Landscape or Open Space; Single Family Residential (Public Street),1,8/24/2017
77044,General Plan,1,8/24/2017
77044,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,8/24/2017
77060,Unrestricted,1,8/24/2017
77388,"Water Treatment, Production or Repressurization",1,8/24/2017
77016,Commercial,1,8/24/2017
77044,Single Family Residential (Public Street),1,8/24/2017
77044,Single Family Residential (Public Street),1,8/24/2017
77004,Unrestricted,1,8/24/2017
77087,Unrestricted,1,8/24/2017
77054,Unrestricted,1,8/24/2017
77022,Single Family Residential (Public Street),1,8/24/2017
77449,Single Family Residential (Public Street),1,8/24/2017
77449,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,8/24/2017
77494,Unrestricted,1,8/24/2017
77339,Commercial,1,8/24/2017
77007,Unrestricted,1,8/24/2017
77379,Commercial,1,8/24/2017
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,8/24/2017
77406,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,8/24/2017
77336,Commercial,1,8/24/2017
77086,Unrestricted,1,8/24/2017
77022,Single Family Residential (Public Street),1,8/24/2017
77024,Single Family Residential (Public Street),1,8/24/2017
77024,Single Family Residential (Public Street),1,8/24/2017
77484,"Church, School and Institutional",1,8/24/2017
77020,Single Family Residential (Public Street),1,8/24/2017
77020,Single Family Residential (Public Street),1,8/24/2017
77449,General Plan,1,8/24/2017
77449,Unrestricted,1,8/24/2017
77013,Unrestricted,1,8/24/2017
77072,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2); Other,1,8/24/2017
77063,Unrestricted,1,8/24/2017
77007,Single Family Residential (Public Street),1,8/24/2017
77019,Single Family Residential (Public Street),1,8/24/2017
77080,Single Family Residential (Public Street),1,8/24/2017
77080,Single Family Residential (PAE 1/PAE 2),1,8/24/2017
77532,Single Family Residential (Public Street),1,8/24/2017
77377,Unrestricted,1,8/24/2017
77007,Single Family Residential (Public Street),1,8/24/2017
77022,Single Family Residential (Public Street),1,8/24/2017
77018,Single Family Residential (Shared Driveways),1,8/24/2017
77008,Single Family Residential (Public Street),1,8/24/2017
77388,Unrestricted,1,8/24/2017
77449,Landscape or Open Space,1,8/24/2017
77336,Unrestricted,1,8/24/2017
77530,General Plan,1,8/24/2017
77049,Drainage or Detention,1,8/24/2017
77530,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,8/24/2017
77530,Landscape or Open Space; Single Family Residential (Public Street),1,8/24/2017
77530,Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,8/24/2017
77059,Single Family Residential (Public Street),1,8/24/2017
77036,Unrestricted,1,8/24/2017
77429,Unrestricted,1,8/24/2017
77377,Unrestricted,1,8/24/2017
77022,Single Family Residential (Public Street),1,8/24/2017
77377,Single Family Residential (Public Street),1,8/24/2017
77377,Single Family Residential (Public Street),1,8/24/2017
77373,Unrestricted,1,8/24/2017
77044,General Plan,1,8/24/2017
77007,Unrestricted,1,8/24/2017
77055,Single Family Residential (PAE 1/PAE 2),1,8/24/2017
77386,Commercial,1,8/24/2017
77386,Commercial,1,8/24/2017
77038,Single Family Residential (Public Street),1,8/24/2017
77048,Commercial,1,8/24/2017
77093,Single Family Residential (Public Street),1,8/24/2017
77406,Unrestricted,1,8/24/2017
77035,Single Family Residential (PAE 1/PAE 2),1,8/24/2017
77013,Commercial,1,8/24/2017
77043,Compensating Open Space; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,8/24/2017
77008,Single Family Residential (Public Street),1,8/24/2017
77008,Single Family Residential (Public Street),1,8/24/2017
77071,Unrestricted,1,8/24/2017
77449,Unrestricted,1,8/24/2017
77004,Unrestricted,1,8/24/2017
77449,Commercial,1,8/24/2017
77447,Single Family Residential (Public Street),1,8/24/2017
77375,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,8/24/2017
77365,Landscape or Open Space; Single Family Residential (Public Street),1,8/24/2017
77009,Single Family Residential (Shared Driveways),1,8/24/2017
77388,Unrestricted,1,8/24/2017
77379,Unrestricted,1,8/24/2017
77530,Single Family Residential (Public Street),1,8/24/2017
