Zip Code,Land Use,Count,Date
77407,Street Dedication,1,7/17/2017
77407,Unrestricted,1,7/17/2017
77027,Unrestricted,1,7/17/2017
77006,Unrestricted,1,7/17/2017
77073,Commercial,1,7/17/2017
77447,Landscape or Open Space; Single Family Residential (Public Street),1,7/17/2017
77020,Drainage or Detention; Landscape or Open Space; Single Family Residential (Shared Driveways),1,7/17/2017
77012,Single Family Residential (Public Street),1,7/17/2017
77088,Commercial,1,7/17/2017
77056,Single Family Residential (Public Street),1,7/17/2017
77433,Street Dedication,1,7/17/2017
77433,Unrestricted,1,7/17/2017
77433,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,7/17/2017
77011,Single Family Residential (PAE 1/PAE 2),1,7/17/2017
77494,Commercial,1,7/17/2017
77047,Single Family Residential (Public Street),1,7/17/2017
77047,Landscape or Open Space; Single Family Residential (Public Street),1,7/17/2017
77091,Single Family Residential (PAE 1/PAE 2),1,7/17/2017
77082,Commercial,1,7/17/2017
77009,Compensating Open Space; Drainage or Detention; Residential Guest Parking; Single Family Residential (Shared Driveways),1,7/17/2017
77406,Landscape or Open Space; Single Family Residential (Public Street),1,7/17/2017
77406,Landscape or Open Space; Single Family Residential (Public Street),1,7/17/2017
77007,Single Family Residential (Public Street),1,7/17/2017
77493,Landscape or Open Space; Single Family Residential (Public Street),1,7/17/2017
77018,Unrestricted,1,7/17/2017
77379,Unrestricted,1,7/17/2017
77065,Single Family Residential (Public Street),1,7/17/2017
77044,Unrestricted,1,7/17/2017
77346,Single Family Residential (Public Street),1,7/17/2017
77346,Landscape or Open Space; Single Family Residential (Public Street),1,7/17/2017
77346,Landscape or Open Space; Single Family Residential (Public Street),1,7/17/2017
77447,Single Family Residential (Public Street),1,7/17/2017
77003,Unrestricted,1,7/17/2017
77009,Single Family Residential (Public Street),1,7/17/2017
77044,Landscape or Open Space; Single Family Residential (Public Street),1,7/17/2017
77044,Single Family Residential (Public Street),1,7/17/2017
77051,Unrestricted,1,7/17/2017
77098,"Church, School and Institutional",1,7/17/2017
77019,Unrestricted,1,7/17/2017
77006,Unrestricted,1,7/17/2017
77080,Single Family Residential (PAE 1/PAE 2),1,7/17/2017
77022,Single Family Residential (Public Street),1,7/17/2017
77406,Landscape or Open Space; Single Family Residential (Public Street); Other,1,7/17/2017
77406,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,7/17/2017
77056,Single Family Residential (Public Street),1,7/17/2017
77008,Landscape or Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways),1,7/17/2017
77009,Single Family Residential (Public Street),1,7/17/2017
77024,Single Family Residential (Public Street),1,7/17/2017
77023,Single Family Residential (Public Street),1,7/17/2017
77055,Single Family Residential (Public Street),1,7/17/2017
77019,Single Family Residential (Shared Driveways),1,7/17/2017
77396,Unrestricted Intended for Multifamily,1,7/17/2017
77336,Single Family Residential (Public Street),1,7/17/2017
77004,Single Family Residential (Public Street),1,7/17/2017
77009,Compensating Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways),1,7/17/2017
77532,Landscape or Open Space; Single Family Residential (Public Street),1,7/17/2017
77532,Single Family Residential (Public Street),1,7/17/2017
77007,Unrestricted,1,7/17/2017
77009,Unrestricted,1,7/17/2017
77339,Unrestricted,1,7/17/2017
77086,Unrestricted,1,7/17/2017
77396,Unrestricted,1,7/17/2017
77007,Unrestricted,1,7/17/2017
77530,Single Family Residential (Public Street),1,7/17/2017
77379,Unrestricted,1,7/17/2017
77038,Unrestricted,1,7/17/2017
77377,Single Family Residential (Public Street),1,7/17/2017
77045,Single Family Residential (PAE 1/PAE 2),1,7/17/2017
77022,Single Family Residential (Public Street),1,7/17/2017
77346,Landscape or Open Space,1,7/17/2017
77004,Single Family Residential (Shared Driveways),1,7/17/2017
77484,Single Family Residential (Public Street),1,7/17/2017
77494,Commercial,1,7/17/2017
77004,Single Family Residential (Shared Driveways),1,7/17/2017
77365,Single Family Residential (Public Street),1,7/17/2017
77365,Single Family Residential (Public Street),1,7/17/2017
77336,Single Family Residential (Public Street),1,7/17/2017
77020,Single Family Residential (PAE 1/PAE 2); Street Dedication,1,7/17/2017
77018,Single Family Residential (Shared Driveways),1,7/17/2017
77407,Unrestricted,1,7/17/2017
77014,Street Dedication,1,7/17/2017
77003,Single Family Residential (Public Street),1,7/17/2017
77447,Single Family Residential (Public Street),1,7/17/2017
77055,Single Family Residential (Public Street),1,7/17/2017
77075,Unrestricted,1,7/17/2017
77346,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Other,1,7/17/2017
77099,Unrestricted,1,7/17/2017
77090,Commercial,1,7/17/2017
77498,Unrestricted Intended for Multifamily; Landscape or Open Space,1,7/17/2017
77380,Unrestricted,1,7/17/2017
77429,Single Family Residential (Public Street),1,7/17/2017
77091,Unrestricted Intended for Multifamily,1,7/17/2017
77007,Single Family Residential (Public Street),1,7/17/2017
77008,Single Family Residential (Public Street),1,7/17/2017
77091,Commercial,1,7/17/2017
77449,Unrestricted,1,7/17/2017
77057,Single Family Residential (Shared Driveways),1,7/17/2017
77038,Landscape or Open Space; Single Family Residential (Public Street),1,7/17/2017
77379,Unrestricted,1,7/17/2017
77375,Single Family Residential (Public Street),1,7/17/2017
77065,General Plan,1,7/17/2017
77065,Commercial,1,7/17/2017
77365,Single Family Residential (Public Street),1,7/17/2017
