Zip Code,Land Use,Count,Date
77433,Drainage or Detention; Single Family Residential (Public Street); Other,1,6/22/2017
77067,Unrestricted,1,6/22/2017
77008,Single Family Residential (Shared Driveways),1,6/22/2017
77008,Single Family Residential (Public Street),1,6/22/2017
77084,Unrestricted,1,6/22/2017
77004,Single Family Residential (Public Street),1,6/22/2017
77447,Unrestricted,1,6/22/2017
77022,Single Family Residential (Public Street),1,6/22/2017
77433,Landscape or Open Space; Single Family Residential (Public Street); Other,1,6/22/2017
77044,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2); Other,1,6/22/2017
77365,Single Family Residential (Public Street),1,6/22/2017
77493,Single Family Residential (Public Street),1,6/22/2017
77075,Unrestricted,1,6/22/2017
77075,Unrestricted,1,6/22/2017
77044,Unrestricted,1,6/22/2017
77044,Street Dedication,1,6/22/2017
77007,Residential Guest Parking; Single Family Residential (Shared Driveways),1,6/22/2017
77013,Commercial,1,6/22/2017
77009,Drainage or Detention; Residential Guest Parking; Single Family Residential (Shared Driveways),1,6/22/2017
77041,Unrestricted,1,6/22/2017
77090,Commercial,1,6/22/2017
77098,Single Family Residential (Public Street),1,6/22/2017
77095,Commercial,1,6/22/2017
77080,Recreation; Other,1,6/22/2017
77023,Single Family Residential (Public Street),1,6/22/2017
77023,Single Family Residential (Public Street),1,6/22/2017
77429,Single Family Residential (Public Street),1,6/22/2017
77065,Single Family Residential (Public Street),1,6/22/2017
77053,"Church, School and Institutional",1,6/22/2017
77020,Single Family Residential (PAE 1/PAE 2),1,6/22/2017
77379,Unrestricted,1,6/22/2017
77407,Single Family Residential (PAE 1/PAE 2),1,6/22/2017
77429,"Water Treatment, Production or Repressurization",1,6/22/2017
77346,Single Family Residential (Public Street),1,6/22/2017
77346,Landscape or Open Space; Single Family Residential (Public Street),1,6/22/2017
77498,Unrestricted,1,6/22/2017
77396,Unrestricted,1,6/22/2017
77429,Single Family Residential (Public Street),1,6/22/2017
77006,Commercial,1,6/22/2017
77494,Single Family Residential (Public Street),1,6/22/2017
77044,Landscape or Open Space; Single Family Residential (Public Street),1,6/22/2017
77020,Commercial,1,6/22/2017
77396,Single Family Residential (Public Street),1,6/22/2017
77055,Single Family Residential (PAE 1/PAE 2),1,6/22/2017
77493,Drainage or Detention; Landscape or Open Space,1,6/22/2017
77493,Landscape or Open Space; Single Family Residential (Public Street),1,6/22/2017
77054,Single Family Residential (Shared Driveways); Other,1,6/22/2017
77078,Unrestricted Intended for Multifamily,1,6/22/2017
77377,Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,6/22/2017
77044,General Plan,1,6/22/2017
77044,Landscape or Open Space; Single Family Residential (Public Street),1,6/22/2017
77008,Landscape or Open Space; Single Family Residential (Shared Driveways); Other,1,6/22/2017
77007,Single Family Residential (Public Street),1,6/22/2017
77020,Unrestricted,1,6/22/2017
77379,Single Family Residential (PAE 1/PAE 2),1,6/22/2017
77009,Single Family Residential (Public Street),1,6/22/2017
77026,Commercial,1,6/22/2017
77493,Single Family Residential (Public Street),1,6/22/2017
77406,Drainage or Detention,1,6/22/2017
77023,Single Family Residential (Public Street),1,6/22/2017
77019,Single Family Residential (Shared Driveways),1,6/22/2017
77433,Single Family Residential (Public Street),1,6/22/2017
77433,Landscape or Open Space; Single Family Residential (Public Street),1,6/22/2017
77433,Landscape or Open Space; Single Family Residential (Public Street),1,6/22/2017
77009,Compensating Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways),1,6/22/2017
77346,"Church, School and Institutional",1,6/22/2017
77015,Unrestricted,1,6/22/2017
77389,Unrestricted,1,6/22/2017
77530,Single Family Residential (Public Street),1,6/22/2017
77433,Single Family Residential (Public Street),1,6/22/2017
77006,Single Family Residential (Public Street),1,6/22/2017
77375,Street Dedication,1,6/22/2017
77377,Single Family Residential (Public Street),1,6/22/2017
77074,Commercial,1,6/22/2017
77045,Compensating Open Space; Landscape or Open Space; Recreation; Single Family Residential (PAE 1/PAE 2),1,6/22/2017
77530,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,6/22/2017
77346,Landscape or Open Space; Single Family Residential (Public Street),1,6/22/2017
77377,Single Family Residential (Public Street),1,6/22/2017
77067,Commercial,1,6/22/2017
77087,Unrestricted,1,6/22/2017
77406,Commercial,1,6/22/2017
77020,Single Family Residential (PAE 1/PAE 2),1,6/22/2017
77386,Unrestricted,1,6/22/2017
77014,Single Family Residential (Public Street),1,6/22/2017
77002,Unrestricted,1,6/22/2017
77447,Single Family Residential (Public Street),1,6/22/2017
77044,General Plan,1,6/22/2017
77429,Landscape or Open Space; Single Family Residential (Public Street),1,6/22/2017
77018,Residential Guest Parking; Single Family Residential (Shared Driveways),1,6/22/2017
77433,Landscape or Open Space; Street Dedication,1,6/22/2017
77380,Unrestricted,1,6/22/2017
77086,Commercial,1,6/22/2017
77008,Single Family Residential (Public Street),1,6/22/2017
77008,Residential Guest Parking; Single Family Residential (Shared Driveways),1,6/22/2017
77098,Single Family Residential (Public Street),1,6/22/2017
77057,Single Family Residential (Public Street),1,6/22/2017
77004,Single Family Residential (Shared Driveways),1,6/22/2017
77447,General Plan,1,6/22/2017
77084,Street Dedication,1,6/22/2017
77375,Single Family Residential (Public Street),1,6/22/2017
,,,6/22/2017
