Zip Code,Land Use,Count,Date
77018,Unrestricted,1,4/26/2018
77080,Unrestricted,1,4/26/2018
77060,Commercial,1,4/26/2018
77386,Landscape or Open Space; Single Family Residential (Public Street),1,4/26/2018
77048,Unrestricted,1,4/26/2018
77377,Street Dedication,1,4/26/2018
77377,Landscape or Open Space; Single Family Residential (Public Street),1,4/26/2018
77377,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,4/26/2018
77377,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,4/26/2018
77406,Unrestricted,1,4/26/2018
77377,Single Family Residential (Shared Driveways),1,4/26/2018
77076,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,4/26/2018
77024,Landscape or Open Space; Single Family Residential (Public Street),1,4/26/2018
77044,Single Family Residential (Public Street),1,4/26/2018
77030,Single Family Residential (Public Street),1,4/26/2018
77373,Single Family Residential (Public Street),1,4/26/2018
77057,Unrestricted,1,4/26/2018
77042,Single Family Residential (Public Street),1,4/26/2018
77063,Single Family Residential (PAE 1/PAE 2),1,4/26/2018
77063,Residential Guest Parking; Street Dedication,1,4/26/2018
77433,Drainage or Detention; Lift Station; Single Family Residential (Public Street),1,4/26/2018
77008,Unrestricted Intended for Multifamily,1,4/26/2018
77064,Unrestricted Intended for Multifamily,1,4/26/2018
77045,Unrestricted,1,4/26/2018
77011,Single Family Residential (Public Street),1,4/26/2018
77043,Single Family Residential (PAE 1/PAE 2),1,4/26/2018
77066,Single Family Residential (Public Street),1,4/26/2018
77088,Unrestricted,1,4/26/2018
77091,Unrestricted,1,4/26/2018
77346,Compensating Open Space; Single Family Residential (Public Street),1,4/26/2018
77406,Street Dedication,1,4/26/2018
77009,Single Family Residential (Shared Driveways),1,4/26/2018
77429,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Other,1,4/26/2018
77429,Unrestricted,1,4/26/2018
77018,Single Family Residential (Public Street),1,4/26/2018
77093,Single Family Residential (Shared Driveways),1,4/26/2018
77023,Residential Guest Parking; Single Family Residential (Shared Driveways),1,4/26/2018
77023,Residential Guest Parking; Single Family Residential (Shared Driveways),1,4/26/2018
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,4/26/2018
77004,Residential Guest Parking; Single Family Residential (Shared Driveways),1,4/26/2018
77389,Other,1,4/26/2018
77007,Single Family Residential (Public Street),1,4/26/2018
77009,Single Family Residential (Shared Driveways),1,4/26/2018
77433,Single Family Residential (PAE 1/PAE 2),1,4/26/2018
77075,Other,1,4/26/2018
77049,General Plan,1,4/26/2018
77407,"Water Treatment, Production or Repressurization",1,4/26/2018
77088,Single Family Residential (Public Street),1,4/26/2018
77493,Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,4/26/2018
77009,Unrestricted Intended for Multifamily,1,4/26/2018
77009,Other,1,4/26/2018
77044,Unrestricted,1,4/26/2018
77021,Single Family Residential (Public Street),1,4/26/2018
77044,Unrestricted,1,4/26/2018
77346,Unrestricted,1,4/26/2018
77064,Unrestricted,1,4/26/2018
77386,Single Family Residential (Public Street),1,4/26/2018
77406,Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,4/26/2018
77047,Unrestricted,1,4/26/2018
77008,Landscape or Open Space; Recreation; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,4/26/2018
77006,Single Family Residential (Public Street),1,4/26/2018
77447,Single Family Residential (Public Street),1,4/26/2018
77484,Commercial; Single Family Residential (Public Street),1,4/26/2018
77007,Unrestricted,1,4/26/2018
77389,Commercial,1,4/26/2018
77018,Commercial,1,4/26/2018
77045,Unrestricted,1,4/26/2018
77021,Single Family Residential (Public Street),1,4/26/2018
77339,Other,1,4/26/2018
77406,Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,4/26/2018
77407,Single Family Residential (Public Street),1,4/26/2018
77407,"Water Treatment, Production or Repressurization",1,4/26/2018
