Zip Code,Land Use,Count,Date
77007,Unrestricted Intended for Multifamily,1,8/13/2018
77407,Landscape or Open Space,1,8/13/2018
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,8/13/2018
77034,Commercial,1,8/13/2018
77065,Unrestricted Intended for Multifamily,1,8/13/2018
77004,Unrestricted,1,8/13/2018
77015,Commercial,1,8/13/2018
77377,Unrestricted,1,8/13/2018
77346,Commercial,1,8/13/2018
77022,Single Family Residential (Public Street),1,8/13/2018
77078,Commercial; Drainage or Detention; Single Family Residential (PAE 1/PAE 2),1,8/13/2018
77346,General Plan,1,8/13/2018
77346,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,8/13/2018
77346,Unrestricted,1,8/13/2018
77346,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,8/13/2018
77373,General Plan,1,8/13/2018
77433,General Plan,1,8/13/2018
77433,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,8/13/2018
77433,Compensating Open Space; Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,8/13/2018
77433,Street Dedication,1,8/13/2018
77346,Single Family Residential (Public Street),1,8/13/2018
77009,Commercial,1,8/13/2018
77051,Single Family Residential (Public Street),1,8/13/2018
77365,Unrestricted; Compensating Open Space; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,8/13/2018
77011,Single Family Residential (Public Street),1,8/13/2018
77003,Unrestricted Intended for Multifamily,1,8/13/2018
77006,Single Family Residential (PAE 1/PAE 2),1,8/13/2018
77038,Unrestricted,1,8/13/2018
77007,Single Family Residential (Public Street),1,8/13/2018
77429,Commercial,1,8/13/2018
77003,Unrestricted,1,8/13/2018
77007,Single Family Residential (Shared Driveways),1,8/13/2018
77013,Commercial,1,8/13/2018
77049,General Plan,1,8/13/2018
77049,Landscape or Open Space; Single Family Residential (Public Street),1,8/13/2018
77083,Unrestricted,1,8/13/2018
77449,Street Dedication,1,8/13/2018
77493,Landscape or Open Space; Single Family Residential (Public Street),1,8/13/2018
77091,Single Family Residential (Shared Driveways),1,8/13/2018
77493,Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,8/13/2018
77026,Single Family Residential (Shared Driveways),1,8/13/2018
77406,Street Dedication,1,8/13/2018
77396,Unrestricted,1,8/13/2018
77407,Unrestricted,1,8/13/2018
77407,Landscape or Open Space; Single Family Residential (Public Street),1,8/13/2018
77407,Landscape or Open Space; Single Family Residential (Public Street),1,8/13/2018
77375,Single Family Residential (Public Street),1,8/13/2018
77346,Single Family Residential (Public Street),1,8/13/2018
77009,Unrestricted,1,8/13/2018
77076,Unrestricted,1,8/13/2018
77407,Landscape or Open Space; Lift Station; Recreation; Street Dedication,1,8/13/2018
77044,Unrestricted,1,8/13/2018
77007,Unrestricted,1,8/13/2018
77338,Unrestricted,1,8/13/2018
77091,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,8/13/2018
77449,Single Family Residential (Public Street),1,8/13/2018
77449,Single Family Residential (Public Street),1,8/13/2018
77449,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,8/13/2018
77008,Commercial,1,8/13/2018
77012,Commercial,1,8/13/2018
77098,Single Family Residential (Public Street),1,8/13/2018
77004,Single Family Residential (Public Street),1,8/13/2018
77389,Commercial,1,8/13/2018
77375,Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,8/13/2018
77407,Single Family Residential (Public Street),1,8/13/2018
77044,Landscape or Open Space; Single Family Residential (Public Street),1,8/13/2018
77006,Unrestricted,1,8/13/2018
77006,Unrestricted,1,8/13/2018
77083,Unrestricted Intended for Multifamily,1,8/13/2018
77083,Unrestricted Intended for Multifamily,1,8/13/2018
77407,General Plan,1,8/13/2018
77407,Unrestricted,1,8/13/2018
77407,Commercial,1,8/13/2018
77028,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,8/13/2018
77433,Unrestricted,1,8/13/2018
77088,Single Family Residential (Public Street),1,8/13/2018
77019,Single Family Residential (Public Street),1,8/13/2018
77003,Unrestricted,1,8/13/2018
77532,Compensating Open Space; Drainage or Detention; Lift Station; Single Family Residential (Public Street),1,8/13/2018
77532,Unrestricted,1,8/13/2018
77532,Single Family Residential (Public Street),1,8/13/2018
77365,General Plan,1,8/13/2018
77365,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,8/13/2018
77018,"Church, School and Institutional",1,8/13/2018
77011,Single Family Residential (Public Street),1,8/13/2018
77055,Single Family Residential (Shared Driveways),1,8/13/2018
77080,Recreation,1,8/13/2018
77018,Single Family Residential (PAE 1/PAE 2),1,8/13/2018
77006,Single Family Residential (Public Street),1,8/13/2018
77032,Unrestricted,1,8/13/2018
77447,Drainage or Detention,1,8/13/2018
77447,Commercial,1,8/13/2018
77447,Drainage or Detention,1,8/13/2018
77447,Drainage or Detention,1,8/13/2018
77073,Single Family Residential (Public Street),1,8/13/2018
77055,Single Family Residential (PAE 1/PAE 2),1,8/13/2018
77365,Unrestricted,1,8/13/2018
77098,Single Family Residential (Public Street),1,8/13/2018
77007,Single Family Residential (Public Street),1,8/13/2018
77007,Unrestricted,1,8/13/2018
77008,Unrestricted,1,8/13/2018
77078,Single Family Residential (Public Street),1,8/13/2018
77098,Unrestricted,1,8/13/2018
77026,Single Family Residential (Public Street); Street Dedication,1,8/13/2018
77028,Single Family Residential (Public Street),1,8/13/2018
77008,Single Family Residential (Shared Driveways),1,8/13/2018
77096,Commercial,1,8/13/2018
77083,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,8/13/2018
77092,Unrestricted,1,8/13/2018
77008,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,8/13/2018
77433,Unrestricted; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,8/13/2018
77075,Single Family Residential (Shared Driveways),1,8/13/2018
77028,Single Family Residential (PAE 1/PAE 2),1,8/13/2018
77008,Single Family Residential (Public Street),1,8/13/2018
77008,Commercial,1,8/13/2018
77098,Single Family Residential (Public Street),1,8/13/2018
77377,Unrestricted,1,8/13/2018
77449,Unrestricted,1,8/13/2018
77057,Unrestricted,1,8/13/2018
77025,Single Family Residential (Public Street),1,8/13/2018
77375,Street Dedication,1,8/13/2018
77377,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,8/13/2018
77336,Single Family Residential (Public Street),1,8/13/2018
77336,Landscape or Open Space; Single Family Residential (Public Street),1,8/13/2018
77336,Single Family Residential (Public Street),1,8/13/2018
77336,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,8/13/2018
