Zip Code,Land Use,Count,Date
77060,Other,1,12/13/2018
77377,Landscape or Open Space; Single Family Residential (Public Street),1,12/13/2018
77073,Commercial,1,12/13/2018
77396,Commercial,1,12/13/2018
77009,Single Family Residential (Public Street),1,12/13/2018
77007,Unrestricted,1,12/13/2018
77011,Single Family Residential (Public Street),1,12/13/2018
77433,Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,12/13/2018
77007,Single Family Residential (Public Street),1,12/13/2018
77098,Unrestricted Intended for Multifamily,1,12/13/2018
77063,Single Family Residential (Public Street),1,12/13/2018
77066,Unrestricted,1,12/13/2018
77055,Unrestricted,1,12/13/2018
77090,Compensating Open Space; Single Family Residential (Public Street),1,12/13/2018
77009,Unrestricted; Single Family Residential (Shared Driveways),1,12/13/2018
77076,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,12/13/2018
77051,Unrestricted,1,12/13/2018
77083,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,12/13/2018
77493,Landscape or Open Space; Single Family Residential (Public Street),1,12/13/2018
77095,Unrestricted,1,12/13/2018
77007,Unrestricted,1,12/13/2018
77061,Unrestricted,1,12/13/2018
77034,Single Family Residential (Public Street),1,12/13/2018
77545,Unrestricted,1,12/13/2018
77532,Single Family Residential (Public Street),1,12/13/2018
77007,Single Family Residential (Public Street),1,12/13/2018
77377,Unrestricted,1,12/13/2018
77407,Unrestricted,1,12/13/2018
77084,Landscape or Open Space,1,12/13/2018
77084,Landscape or Open Space,1,12/13/2018
77346,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,12/13/2018
77406,Commercial,1,12/13/2018
77004,Single Family Residential (Public Street),1,12/13/2018
77038,"Water Treatment, Production or Repressurization",1,12/13/2018
77346,Lift Station,1,12/13/2018
77433,"Water Treatment, Production or Repressurization",1,12/13/2018
77433,Landscape or Open Space; Single Family Residential (Public Street); Street Dedication,1,12/13/2018
77007,Single Family Residential (Public Street),1,12/13/2018
77093,Commercial,1,12/13/2018
77016,Unrestricted; Single Family Residential (PAE 1/PAE 2),1,12/13/2018
77009,Single Family Residential (Public Street),1,12/13/2018
77011,Single Family Residential (Shared Driveways),1,12/13/2018
77073,Unrestricted,1,12/13/2018
77493,General Plan,1,12/13/2018
77493,Landscape or Open Space; Single Family Residential (Public Street),1,12/13/2018
77493,Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,12/13/2018
77045,Compensating Open Space; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,12/13/2018
77083,Unrestricted; Commercial; Drainage or Detention,1,12/13/2018
77053,Commercial,1,12/13/2018
77037,Unrestricted,1,12/13/2018
77018,Single Family Residential (Public Street),1,12/13/2018
77389,Unrestricted,1,12/13/2018
77449,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,12/13/2018
77379,Single Family Residential (PAE 1/PAE 2),1,12/13/2018
77055,Single Family Residential (Public Street),1,12/13/2018
77407,Landscape or Open Space; Single Family Residential (Public Street),1,12/13/2018
77493,Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,12/13/2018
77068,Compensating Open Space; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,12/13/2018
77449,Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,12/13/2018
77061,Unrestricted,1,12/13/2018
77047,Commercial,1,12/13/2018
77020,Single Family Residential (Public Street),1,12/13/2018
77006,Commercial,1,12/13/2018
77493,"Landscape or Open Space; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,12/13/2018
77080,Single Family Residential (Public Street); Single Family Residential (Shared Driveways),1,12/13/2018
77080,Single Family Residential (Shared Driveways),1,12/13/2018
77090,Unrestricted,1,12/13/2018
77020,Single Family Residential (Public Street),1,12/13/2018
77020,Unrestricted,1,12/13/2018
77018,Commercial,1,12/13/2018
77084,Unrestricted,1,12/13/2018
77080,Compensating Open Space; Recreation,1,12/13/2018
77080,Compensating Open Space; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,12/13/2018
77070,Unrestricted,1,12/13/2018
77051,Single Family Residential (Public Street),1,12/13/2018
77064,Unrestricted,1,12/13/2018
77377,Unrestricted,1,12/13/2018
77373,Commercial,1,12/13/2018
77082,Unrestricted,1,12/13/2018
77085,Unrestricted,1,12/13/2018
77386,Commercial,1,12/13/2018
77075,Unrestricted,1,12/13/2018
77083,Single Family Residential (Public Street),1,12/13/2018
77009,Single Family Residential (Public Street),1,12/13/2018
77021,Single Family Residential (Public Street),1,12/13/2018
77407,Single Family Residential (PAE 1/PAE 2),1,12/13/2018
77066,Compensating Open Space; Single Family Residential (Public Street),1,12/13/2018
77493,Single Family Residential (Public Street),1,12/13/2018
77493,"Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,12/13/2018
77007,Single Family Residential (Public Street),1,12/13/2018
77041,Unrestricted,1,12/13/2018
77449,Recreation,1,12/13/2018
77449,Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,12/13/2018
77388,General Plan,1,12/13/2018
77388,Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (Public Street),1,12/13/2018
77449,Street Dedication,1,12/13/2018
77057,Residential Guest Parking; Single Family Residential (Shared Driveways),1,12/13/2018
77377,Commercial,1,12/13/2018
77095,Unrestricted; Drainage or Detention,1,12/13/2018
