Zip Code,Land Use,Count,Date
77021,Unrestricted,1,2/1/2018
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/1/2018
77407,Single Family Residential (Public Street),1,2/1/2018
77084,Unrestricted Intended for Multifamily,1,2/1/2018
77379,Unrestricted; Drainage or Detention; Single Family Residential (PAE 1/PAE 2),1,2/1/2018
77494,Drainage or Detention,1,2/1/2018
77020,Unrestricted,1,2/1/2018
77091,Commercial,1,2/1/2018
77027,Unrestricted,1,2/1/2018
77076,Single Family Residential (Public Street),1,2/1/2018
77396,Single Family Residential (Public Street),1,2/1/2018
77346,Single Family Residential (PAE 1/PAE 2),1,2/1/2018
77003,Single Family Residential (Shared Driveways),1,2/1/2018
77064,Unrestricted,1,2/1/2018
77007,Single Family Residential (Shared Driveways),1,2/1/2018
77056,Single Family Residential (Public Street),1,2/1/2018
77433,Landscape or Open Space,1,2/1/2018
77433,Single Family Residential (Public Street),1,2/1/2018
77365,Single Family Residential (Public Street),1,2/1/2018
77346,Landscape or Open Space; Street Dedication,1,2/1/2018
77088,Unrestricted,1,2/1/2018
77030,Single Family Residential (Public Street),1,2/1/2018
77015,Unrestricted,1,2/1/2018
77386,Street Dedication,1,2/1/2018
77018,Unrestricted,1,2/1/2018
77406,Unrestricted,1,2/1/2018
77022,Unrestricted,1,2/1/2018
77007,Commercial,1,2/1/2018
77076,Unrestricted,1,2/1/2018
77064,Commercial,1,2/1/2018
77377,Other,1,2/1/2018
77003,Single Family Residential (Shared Driveways),1,2/1/2018
77023,Residential Guest Parking; Single Family Residential (Shared Driveways),1,2/1/2018
77048,Single Family Residential (Public Street),1,2/1/2018
77006,Single Family Residential (Public Street),1,2/1/2018
77396,Unrestricted Intended for Multifamily,1,2/1/2018
77064,Unrestricted,1,2/1/2018
77021,Single Family Residential (Shared Driveways),1,2/1/2018
77019,Commercial,1,2/1/2018
77407,Landscape or Open Space; Single Family Residential (Public Street),1,2/1/2018
77084,General Plan,1,2/1/2018
77084,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/1/2018
77021,Single Family Residential (Shared Driveways),1,2/1/2018
77081,"Church, School and Institutional",1,2/1/2018
77011,Single Family Residential (Shared Driveways),1,2/1/2018
77044,Single Family Residential (Public Street),1,2/1/2018
77008,Single Family Residential (Public Street),1,2/1/2018
77007,Unrestricted,1,2/1/2018
77396,Unrestricted,1,2/1/2018
77484,Single Family Residential (Public Street),1,2/1/2018
77005,Single Family Residential (Public Street),1,2/1/2018
77003,Unrestricted,1,2/1/2018
77493,Single Family Residential (Public Street),1,2/1/2018
77493,Drainage or Detention; Landscape or Open Space,1,2/1/2018
77493,"Water Treatment, Production or Repressurization",1,2/1/2018
77379,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/1/2018
77007,Single Family Residential (Public Street),1,2/1/2018
77019,Single Family Residential (Public Street),1,2/1/2018
77530,Unrestricted,1,2/1/2018
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/1/2018
77407,"Drainage or Detention; Water Treatment, Production or Repressurization",1,2/1/2018
77407,Landscape or Open Space; Single Family Residential (Public Street),1,2/1/2018
77388,Commercial,1,2/1/2018
77365,Unrestricted,1,2/1/2018
77008,Unrestricted,1,2/1/2018
77003,Single Family Residential (Public Street),1,2/1/2018
77092,Unrestricted,1,2/1/2018
77429,Unrestricted,1,2/1/2018
77003,Single Family Residential (Public Street),1,2/1/2018
77086,Landscape or Open Space; Single Family Residential (Public Street),1,2/1/2018
77048,Drainage or Detention; Single Family Residential (Public Street),1,2/1/2018
77080,Compensating Open Space; Single Family Residential (PAE 1/PAE 2); Other,1,2/1/2018
77080,Unrestricted,1,2/1/2018
77336,Street Dedication,1,2/1/2018
77019,Single Family Residential (Public Street),1,2/1/2018
77377,General Plan,1,2/1/2018
77377,Single Family Residential (Public Street),1,2/1/2018
77021,Single Family Residential (Public Street),1,2/1/2018
77365,Landscape or Open Space; Single Family Residential (Public Street),1,2/1/2018
77082,Compensating Open Space; Landscape or Open Space; Other,1,2/1/2018
77377,General Plan,1,2/1/2018
77008,General Plan,1,2/1/2018
77008,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2); Other,1,2/1/2018
77406,Single Family Residential (Public Street),1,2/1/2018
77406,Single Family Residential (Public Street),1,2/1/2018
77007,Single Family Residential (Public Street),1,2/1/2018
77080,Single Family Residential (PAE 1/PAE 2),1,2/1/2018
77055,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,2/1/2018
77545,Unrestricted; Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,2/1/2018
77083,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,2/1/2018
77083,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,2/1/2018
77084,Unrestricted,1,2/1/2018
77016,Commercial; Landscape or Open Space; Single Family Residential (Public Street),1,2/1/2018
77493,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street),1,2/1/2018
77026,Residential Guest Parking; Single Family Residential (Shared Driveways),1,2/1/2018
77009,Single Family Residential (Public Street),1,2/1/2018
77447,General Plan,1,2/1/2018
77386,Street Dedication,1,2/1/2018
77099,Unrestricted,1,2/1/2018
77377,Single Family Residential (Public Street),1,2/1/2018
77073,Unrestricted,1,2/1/2018
77494,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/1/2018
77379,"Water Treatment, Production or Repressurization",1,2/1/2018
77084,Unrestricted,1,2/1/2018
77365,Single Family Residential (Public Street),1,2/1/2018
77008,Commercial,1,2/1/2018
77053,Unrestricted,1,2/1/2018
