Zip Code,Land Use,Count,Date
77379,Single Family Residential (PAE 1/PAE 2),1,1/4/2018
77494,Single Family Residential (Public Street),1,1/4/2018
77032,Unrestricted,1,1/4/2018
77076,Single Family Residential (Public Street),1,1/4/2018
77053,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,1/4/2018
77346,Single Family Residential (PAE 1/PAE 2),1,1/4/2018
77346,Landscape or Open Space; Single Family Residential (Public Street),1,1/4/2018
77062,Unrestricted,1,1/4/2018
77074,Single Family Residential (Public Street),1,1/4/2018
77433,Compensating Open Space; Single Family Residential (Public Street),1,1/4/2018
77433,Street Dedication,1,1/4/2018
77004,Unrestricted,1,1/4/2018
77407,Unrestricted,1,1/4/2018
77003,Single Family Residential (Shared Driveways),1,1/4/2018
77386,General Plan,1,1/4/2018
77055,Single Family Residential (PAE 1/PAE 2),1,1/4/2018
77379,Unrestricted; Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street); Single Family Residential (PAE 1/PAE 2),1,1/4/2018
77091,Single Family Residential (Public Street),1,1/4/2018
77449,Commercial,1,1/4/2018
77029,Unrestricted,1,1/4/2018
77026,Unrestricted,1,1/4/2018
77007,Single Family Residential (Shared Driveways),1,1/4/2018
77020,Single Family Residential (PAE 1/PAE 2),1,1/4/2018
77004,Commercial,1,1/4/2018
77041,Unrestricted,1,1/4/2018
77003,Single Family Residential (Shared Driveways),1,1/4/2018
77003,Single Family Residential (Shared Driveways),1,1/4/2018
77003,Landscape or Open Space; Single Family Residential (Shared Driveways),1,1/4/2018
77007,Single Family Residential (Public Street),1,1/4/2018
77048,General Plan,1,1/4/2018
77493,Landscape or Open Space; Single Family Residential (Public Street),1,1/4/2018
77020,Unrestricted,1,1/4/2018
77449,Unrestricted,1,1/4/2018
77034,Unrestricted,1,1/4/2018
77338,Commercial,1,1/4/2018
77022,Single Family Residential (Public Street),1,1/4/2018
77022,Unrestricted,1,1/4/2018
77007,Single Family Residential (Public Street),1,1/4/2018
77379,Unrestricted,1,1/4/2018
77008,Unrestricted,1,1/4/2018
77008,Unrestricted,1,1/4/2018
77389,Unrestricted,1,1/4/2018
77407,Single Family Residential (PAE 1/PAE 2),1,1/4/2018
77449,Street Dedication,1,1/4/2018
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,1/4/2018
77018,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways),1,1/4/2018
77386,Single Family Residential (Public Street),1,1/4/2018
77386,Single Family Residential (Public Street),1,1/4/2018
77091,Drainage or Detention; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,1/4/2018
77084,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Other,1,1/4/2018
77080,Single Family Residential (PAE 1/PAE 2),1,1/4/2018
77020,Unrestricted,1,1/4/2018
77338,Unrestricted,1,1/4/2018
77075,Single Family Residential (Public Street),1,1/4/2018
77002,Unrestricted,1,1/4/2018
77055,Single Family Residential (Shared Driveways),1,1/4/2018
77019,Single Family Residential (Public Street),1,1/4/2018
77015,Unrestricted,1,1/4/2018
77377,Unrestricted,1,1/4/2018
77073,Unrestricted,1,1/4/2018
77005,Single Family Residential (Public Street),1,1/4/2018
77449,Single Family Residential (Public Street),1,1/4/2018
77377,General Plan,1,1/4/2018
77489,Unrestricted,1,1/4/2018
77007,Single Family Residential (Public Street),1,1/4/2018
77530,Unrestricted,1,1/4/2018
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,1/4/2018
77007,Single Family Residential (Public Street),1,1/4/2018
77007,Unrestricted,1,1/4/2018
77025,Commercial,1,1/4/2018
77088,Single Family Residential (Public Street),1,1/4/2018
77088,Single Family Residential (Public Street),1,1/4/2018
77018,Single Family Residential (Shared Driveways),1,1/4/2018
77494,"Unrestricted; Water Treatment, Production or Repressurization",1,1/4/2018
77532,Single Family Residential (PAE 1/PAE 2),1,1/4/2018
77365,Street Dedication,1,1/4/2018
77396,Unrestricted,1,1/4/2018
77027,Single Family Residential (Public Street),1,1/4/2018
77090,Commercial,1,1/4/2018
77339,Unrestricted,1,1/4/2018
77007,Single Family Residential (Public Street),1,1/4/2018
77336,Compensating Open Space; Drainage or Detention; Single Family Residential (PAE 1/PAE 2),1,1/4/2018
77530,Single Family Residential (Public Street),1,1/4/2018
77008,Unrestricted,1,1/4/2018
77026,Single Family Residential (Public Street),1,1/4/2018
77059,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,1/4/2018
77004,Unrestricted,1,1/4/2018
77069,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,1/4/2018
77336,Single Family Residential (Public Street),1,1/4/2018
77004,Single Family Residential (Shared Driveways),1,1/4/2018
77008,Unrestricted,1,1/4/2018
77008,Unrestricted,1,1/4/2018
77055,Single Family Residential (PAE 1/PAE 2),1,1/4/2018
77080,Single Family Residential (PAE 1/PAE 2),1,1/4/2018
77429,Commercial,1,1/4/2018
77084,Unrestricted,1,1/4/2018
77498,Unrestricted,1,1/4/2018
77077,Landscape or Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways),1,1/4/2018
77027,Residential Guest Parking; Single Family Residential (Shared Driveways),1,1/4/2018
77035,Unrestricted,1,1/4/2018
77057,Single Family Residential (Shared Driveways),1,1/4/2018
77093,Lift Station,1,1/4/2018
77365,Landscape or Open Space; Single Family Residential (Public Street),1,1/4/2018
