Zip Code,Land Use,Count,Date
77407,Landscape or Open Space,1,7/5/2018
77017,Unrestricted,1,7/5/2018
77017,Unrestricted,1,7/5/2018
77017,Unrestricted,1,7/5/2018
77004,Single Family Residential (Public Street),1,7/5/2018
77498,Commercial,1,7/5/2018
77377,Single Family Residential (Shared Driveways),1,7/5/2018
77377,General Plan,1,7/5/2018
77020,Single Family Residential (Public Street),1,7/5/2018
77020,Single Family Residential (Public Street),1,7/5/2018
77073,Unrestricted,1,7/5/2018
77038,Commercial,1,7/5/2018
77033,Single Family Residential (Public Street),1,7/5/2018
77433,Single Family Residential (Public Street),1,7/5/2018
77433,Landscape or Open Space; Single Family Residential (Public Street),1,7/5/2018
77023,Unrestricted,1,7/5/2018
77006,Single Family Residential (Shared Driveways),1,7/5/2018
77357,Unrestricted,1,7/5/2018
77007,Commercial,1,7/5/2018
77007,Unrestricted,1,7/5/2018
77007,Unrestricted,1,7/5/2018
77406,Landscape or Open Space; Single Family Residential (Public Street),1,7/5/2018
77027,Unrestricted,1,7/5/2018
77384,"Church, School and Institutional",1,7/5/2018
77449,Unrestricted,1,7/5/2018
77007,Single Family Residential (Public Street),1,7/5/2018
77493,Street Dedication,1,7/5/2018
77433,Single Family Residential (PAE 1/PAE 2),1,7/5/2018
77388,"Church, School and Institutional",1,7/5/2018
77388,"Church, School and Institutional",1,7/5/2018
77388,"Church, School and Institutional",1,7/5/2018
77009,Single Family Residential (Public Street),1,7/5/2018
77007,Single Family Residential (Shared Driveways),1,7/5/2018
77040,Commercial,1,7/5/2018
77084,General Plan,1,7/5/2018
77084,Landscape or Open Space; Single Family Residential (Public Street),1,7/5/2018
77494,Unrestricted,1,7/5/2018
77084,Unrestricted,1,7/5/2018
77375,Landscape or Open Space; Single Family Residential (Public Street),1,7/5/2018
77041,Unrestricted,1,7/5/2018
77406,Street Dedication,1,7/5/2018
77042,Unrestricted,1,7/5/2018
77070,Commercial,1,7/5/2018
77028,Single Family Residential (PAE 1/PAE 2),1,7/5/2018
77091,Single Family Residential (Shared Driveways),1,7/5/2018
77023,"Church, School and Institutional",1,7/5/2018
77379,Unrestricted,1,7/5/2018
77018,"Church, School and Institutional",1,7/5/2018
77055,Unrestricted,1,7/5/2018
77004,Unrestricted,1,7/5/2018
77002,Unrestricted,1,7/5/2018
77406,Unrestricted,1,7/5/2018
77449,Single Family Residential (Public Street),1,7/5/2018
77449,Single Family Residential (Public Street),1,7/5/2018
77449,Single Family Residential (Public Street),1,7/5/2018
77007,Single Family Residential (Public Street),1,7/5/2018
77084,General Plan,1,7/5/2018
77339,Unrestricted,1,7/5/2018
77346,Unrestricted,1,7/5/2018
77044,General Plan,1,7/5/2018
77044,"Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,7/5/2018
77389,Unrestricted,1,7/5/2018
77449,Landscape or Open Space,1,7/5/2018
77379,"Landscape or Open Space; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,7/5/2018
77006,Single Family Residential (Public Street),1,7/5/2018
77407,Single Family Residential (Public Street),1,7/5/2018
77433,Unrestricted Intended for Multifamily,1,7/5/2018
77484,Single Family Residential (Public Street),1,7/5/2018
77365,Unrestricted,1,7/5/2018
77021,Single Family Residential (Shared Driveways),1,7/5/2018
77048,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,7/5/2018
77093,Commercial,1,7/5/2018
77056,Single Family Residential (Shared Driveways),1,7/5/2018
77028,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,7/5/2018
77433,Single Family Residential (Public Street),1,7/5/2018
77433,General Plan,1,7/5/2018
77433,Landscape or Open Space; Single Family Residential (Public Street),1,7/5/2018
77433,Single Family Residential (Public Street),1,7/5/2018
77433,Landscape or Open Space; Single Family Residential (Public Street),1,7/5/2018
77433,Single Family Residential (Public Street),1,7/5/2018
77047,Other,1,7/5/2018
77532,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,7/5/2018
77008,Single Family Residential (Public Street),1,7/5/2018
77011,Single Family Residential (Public Street),1,7/5/2018
77008,Unrestricted; Compensating Open Space; Landscape or Open Space; Recreation; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways),1,7/5/2018
