Zip Code,Land Use,Count,Date
77080,Unrestricted,1,5/10/2018
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,5/10/2018
77407,Landscape or Open Space,1,5/10/2018
77007,Single Family Residential (Public Street),1,5/10/2018
77020,Single Family Residential (Public Street),1,5/10/2018
77377,Street Dedication,1,5/10/2018
77377,Recreation,1,5/10/2018
77377,Landscape or Open Space; Single Family Residential (Public Street),1,5/10/2018
77023,Unrestricted,1,5/10/2018
77346,Landscape or Open Space; Single Family Residential (Public Street),1,5/10/2018
77386,Street Dedication,1,5/10/2018
77447,Single Family Residential (Public Street),1,5/10/2018
77024,Landscape or Open Space; Single Family Residential (Public Street),1,5/10/2018
77044,Single Family Residential (Public Street),1,5/10/2018
77030,Single Family Residential (Public Street),1,5/10/2018
77030,Single Family Residential (Public Street),1,5/10/2018
77057,Unrestricted,1,5/10/2018
77056,Unrestricted,1,5/10/2018
77042,Single Family Residential (Public Street),1,5/10/2018
77433,Landscape or Open Space; Single Family Residential (Public Street),1,5/10/2018
77433,Landscape or Open Space; Single Family Residential (Public Street),1,5/10/2018
77095,Unrestricted,1,5/10/2018
77407,Street Dedication,1,5/10/2018
77493,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street); Street Dedication,1,5/10/2018
77018,Single Family Residential (Shared Driveways),1,5/10/2018
77008,Single Family Residential (Shared Driveways),1,5/10/2018
77406,Landscape or Open Space; Single Family Residential (Public Street),1,5/10/2018
77532,Single Family Residential (Public Street),1,5/10/2018
77021,Unrestricted,1,5/10/2018
77093,Single Family Residential (Shared Driveways),1,5/10/2018
77449,Street Dedication,1,5/10/2018
77429,Single Family Residential (Public Street),1,5/10/2018
77049,General Plan,1,5/10/2018
77034,Unrestricted,1,5/10/2018
77493,Street Dedication,1,5/10/2018
77493,Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,5/10/2018
77388,Unrestricted,1,5/10/2018
