Zip Code,Land Use,Count,Date
77388,Unrestricted,1,11/8/2018
77009,Commercial,1,11/8/2018
77407,Unrestricted,1,11/8/2018
77083,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,11/8/2018
77020,Single Family Residential (Public Street),1,11/8/2018
77073,Commercial,1,11/8/2018
77054,Single Family Residential (PAE 1/PAE 2),1,11/8/2018
77346,Single Family Residential (Public Street),1,11/8/2018
77004,Single Family Residential (Shared Driveways),1,11/8/2018
77006,Single Family Residential (Public Street),1,11/8/2018
77433,Street Dedication,1,11/8/2018
77433,Street Dedication,1,11/8/2018
77433,Single Family Residential (Public Street),1,11/8/2018
77433,Landscape or Open Space; Single Family Residential (Public Street),1,11/8/2018
77433,General Plan,1,11/8/2018
77056,Single Family Residential (Public Street),1,11/8/2018
77433,Unrestricted,1,11/8/2018
77493,Single Family Residential (Public Street),1,11/8/2018
77043,Single Family Residential (PAE 1/PAE 2),1,11/8/2018
77091,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,11/8/2018
77034,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,11/8/2018
77022,Unrestricted,1,11/8/2018
77433,Commercial; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Street Dedication,1,11/8/2018
77433,Single Family Residential (Public Street),1,11/8/2018
77433,Commercial,1,11/8/2018
77007,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways),1,11/8/2018
77085,Unrestricted,1,11/8/2018
77091,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,11/8/2018
77346,Unrestricted Intended for Multifamily,1,11/8/2018
77076,Single Family Residential (Public Street),1,11/8/2018
77003,Unrestricted,1,11/8/2018
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,11/8/2018
77004,Single Family Residential (Shared Driveways),1,11/8/2018
77055,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,11/8/2018
77007,Single Family Residential (Public Street),1,11/8/2018
77388,Street Dedication,1,11/8/2018
77388,Unrestricted,1,11/8/2018
77064,Unrestricted,1,11/8/2018
77494,Unrestricted,1,11/8/2018
77032,Unrestricted,1,11/8/2018
77018,Single Family Residential (Public Street),1,11/8/2018
77346,Drainage or Detention; Landscape or Open Space,1,11/8/2018
77447,Unrestricted,1,11/8/2018
77007,Single Family Residential (Public Street),1,11/8/2018
77016,Unrestricted,1,11/8/2018
77029,Unrestricted,1,11/8/2018
77009,Unrestricted,1,11/8/2018
77009,Single Family Residential (Shared Driveways),1,11/8/2018
77088,Unrestricted,1,11/8/2018
77493,Single Family Residential (Public Street),1,11/8/2018
77084,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,11/8/2018
77494,Unrestricted,1,11/8/2018
77375,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,11/8/2018
77044,Landscape or Open Space; Single Family Residential (Public Street),1,11/8/2018
77067,Commercial,1,11/8/2018
77053,Unrestricted,1,11/8/2018
