Zip Code,Land Use,Count,Date
77004,Single Family Residential (Shared Driveways),1,10/22/2018
77083,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,10/22/2018
77053,General Plan,1,10/22/2018
77008,Single Family Residential (Shared Driveways),1,10/22/2018
77009,Single Family Residential (Public Street),1,10/22/2018
77346,Single Family Residential (Public Street),1,10/22/2018
77346,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,10/22/2018
77346,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,10/22/2018
77346,Single Family Residential (Public Street),1,10/22/2018
77021,Unrestricted,1,10/22/2018
77027,Unrestricted,1,10/22/2018
77433,Street Dedication,1,10/22/2018
77433,Street Dedication,1,10/22/2018
77433,General Plan,1,10/22/2018
77433,Landscape or Open Space; Other,1,10/22/2018
77433,General Plan,1,10/22/2018
77008,Single Family Residential (Public Street),1,10/22/2018
77493,Single Family Residential (Public Street),1,10/22/2018
77091,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,10/22/2018
77034,Landscape or Open Space,1,10/22/2018
77051,Single Family Residential (Shared Driveways),1,10/22/2018
77098,Single Family Residential (Public Street),1,10/22/2018
77429,Unrestricted,1,10/22/2018
77433,Commercial; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Street Dedication,1,10/22/2018
77433,Single Family Residential (Public Street),1,10/22/2018
77433,Commercial,1,10/22/2018
77007,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways),1,10/22/2018
77085,Unrestricted,1,10/22/2018
77073,Street Dedication,1,10/22/2018
77076,Single Family Residential (Public Street),1,10/22/2018
77088,Single Family Residential (Public Street),1,10/22/2018
77407,Unrestricted,1,10/22/2018
77388,Unrestricted,1,10/22/2018
77007,Single Family Residential (Public Street),1,10/22/2018
77494,Unrestricted,1,10/22/2018
77346,Street Dedication,1,10/22/2018
77080,Unrestricted,1,10/22/2018
77050,Unrestricted,1,10/22/2018
77009,Unrestricted,1,10/22/2018
77406,Unrestricted,1,10/22/2018
77004,Single Family Residential (Shared Driveways),1,10/22/2018
77088,Unrestricted,1,10/22/2018
77004,Single Family Residential (Public Street),1,10/22/2018
77449,Single Family Residential (Public Street),1,10/22/2018
77449,Landscape or Open Space; Single Family Residential (Public Street),1,10/22/2018
77354,Commercial,1,10/22/2018
