Zip Code,Land Use,Count,Date
77017,Unrestricted; Single Family Residential (Public Street),1,9/10/2018
77027,Single Family Residential (Public Street),1,9/10/2018
77045,Single Family Residential (PAE 1/PAE 2),1,9/10/2018
77071,Single Family Residential (PAE 1/PAE 2),1,9/10/2018
77077,Unrestricted,1,9/10/2018
77407,Unrestricted,1,9/10/2018
77027,Unrestricted Intended for Multifamily,1,9/10/2018
77004,Single Family Residential (Public Street),1,9/10/2018
77494,Single Family Residential (Public Street),1,9/10/2018
77447,Unrestricted,1,9/10/2018
77447,Unrestricted,1,9/10/2018
77016,Single Family Residential (Public Street),1,9/10/2018
77025,Unrestricted,1,9/10/2018
77433,Street Dedication,1,9/10/2018
77433,General Plan,1,9/10/2018
77433,Landscape or Open Space; Single Family Residential (Public Street),1,9/10/2018
77433,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,9/10/2018
77433,Compensating Open Space; Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,9/10/2018
77433,Unrestricted,1,9/10/2018
77011,Commercial,1,9/10/2018
77003,Unrestricted Intended for Multifamily,1,9/10/2018
77007,Unrestricted,1,9/10/2018
77449,Unrestricted,1,9/10/2018
77377,Single Family Residential (PAE 1/PAE 2),1,9/10/2018
77023,Lift Station,1,9/10/2018
77007,Single Family Residential (Public Street),1,9/10/2018
77532,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,9/10/2018
77447,Landscape or Open Space; Street Dedication,1,9/10/2018
77018,Single Family Residential (PAE 1/PAE 2),1,9/10/2018
77068,Single Family Residential (Public Street),1,9/10/2018
77084,Commercial,1,9/10/2018
77338,Landscape or Open Space; Single Family Residential (Public Street),1,9/10/2018
77007,Residential Guest Parking; Single Family Residential (Shared Driveways),1,9/10/2018
77007,Single Family Residential (Shared Driveways),1,9/10/2018
77022,Single Family Residential (Public Street),1,9/10/2018
77407,Unrestricted,1,9/10/2018
77019,Unrestricted,1,9/10/2018
