Zip Code,Land Use,Count,Date
77449,Landscape or Open Space,1,2/14/2019
77039,Single Family Residential (Public Street),1,2/14/2019
77493,General Plan,1,2/14/2019
77078,Commercial; Drainage or Detention; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,2/14/2019
77396,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,2/14/2019
77346,Landscape or Open Space; Single Family Residential (Public Street),1,2/14/2019
77396,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,2/14/2019
77093,Commercial,1,2/14/2019
77338,Unrestricted,1,2/14/2019
77003,Single Family Residential (Shared Driveways),1,2/14/2019
77022,Single Family Residential (PAE 1/PAE 2),1,2/14/2019
77025,General Plan,1,2/14/2019
77433,Unrestricted; Street Dedication,1,2/14/2019
77365,Single Family Residential (Public Street),1,2/14/2019
77379,Unrestricted,1,2/14/2019
77004,Unrestricted,1,2/14/2019
77009,Single Family Residential (Public Street),1,2/14/2019
77379,Unrestricted,1,2/14/2019
77379,Unrestricted; Compensating Open Space; Drainage or Detention; Lift Station; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,2/14/2019
77047,General Plan,1,2/14/2019
77019,Unrestricted,1,2/14/2019
77055,Unrestricted,1,2/14/2019
77429,Unrestricted; Drainage or Detention,1,2/14/2019
77447,Landscape or Open Space; Single Family Residential (Public Street),1,2/14/2019
77030,Residential Guest Parking; Single Family Residential (Shared Driveways),1,2/14/2019
77006,Single Family Residential (Shared Driveways),1,2/14/2019
77003,Unrestricted,1,2/14/2019
77003,Unrestricted,1,2/14/2019
77388,Unrestricted,1,2/14/2019
77429,Single Family Residential (Public Street),1,2/14/2019
77386,Unrestricted,1,2/14/2019
77088,Single Family Residential (Public Street),1,2/14/2019
77075,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/14/2019
77038,Drainage or Detention,1,2/14/2019
77034,Single Family Residential (Public Street),1,2/14/2019
77011,Single Family Residential (Public Street),1,2/14/2019
77018,Unrestricted Intended for Multifamily,1,2/14/2019
77447,Unrestricted,1,2/14/2019
77032,Commercial,1,2/14/2019
77084,Unrestricted Intended for Multifamily,1,2/14/2019
77406,"Landscape or Open Space; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,2/14/2019
77006,Single Family Residential (Shared Driveways); Other,1,2/14/2019
77006,Unrestricted,1,2/14/2019
77041,Single Family Residential (Public Street),1,2/14/2019
77494,Commercial; Compensating Open Space; Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,2/14/2019
77493,General Plan,1,2/14/2019
77023,Single Family Residential (Public Street),1,2/14/2019
77045,Compensating Open Space; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,2/14/2019
77407,Drainage or Detention,1,2/14/2019
77045,Unrestricted,1,2/14/2019
77433,Unrestricted,1,2/14/2019
77091,Single Family Residential (Shared Driveways),1,2/14/2019
77091,Single Family Residential (Public Street),1,2/14/2019
77022,Single Family Residential (Public Street),1,2/14/2019
77406,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/14/2019
77346,Commercial,1,2/14/2019
77009,Single Family Residential (PAE 1/PAE 2),1,2/14/2019
77532,Single Family Residential (Public Street),1,2/14/2019
77011,Single Family Residential (Public Street),1,2/14/2019
77373,General Plan,1,2/14/2019
77373,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,2/14/2019
77080,Compensating Open Space; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,2/14/2019
77377,Single Family Residential (Public Street),1,2/14/2019
77493,Landscape or Open Space; Single Family Residential (Public Street),1,2/14/2019
77447,Commercial,1,2/14/2019
77008,Unrestricted,1,2/14/2019
77091,Single Family Residential (Shared Driveways),1,2/14/2019
77009,Single Family Residential (Public Street),1,2/14/2019
77532,General Plan,1,2/14/2019
77532,Single Family Residential (PAE 1/PAE 2),1,2/14/2019
77493,Unrestricted,1,2/14/2019
77051,Landscape or Open Space; Single Family Residential (Shared Driveways),1,2/14/2019
77020,Unrestricted,1,2/14/2019
77064,Unrestricted,1,2/14/2019
77064,Unrestricted,1,2/14/2019
77044,"Church, School and Institutional",1,2/14/2019
77055,Unrestricted,1,2/14/2019
77070,Commercial,1,2/14/2019
77014,General Plan,1,2/14/2019
77014,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/14/2019
77021,Unrestricted,1,2/14/2019
77373,Single Family Residential (PAE 1/PAE 2),1,2/14/2019
77070,Unrestricted,1,2/14/2019
77338,Unrestricted,1,2/14/2019
