Zip Code,Land Use,Count,Date
77449,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,3/14/2019
77003,Single Family Residential (Shared Driveways),1,3/14/2019
77377,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,3/14/2019
77493,General Plan,1,3/14/2019
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,3/14/2019
77493,Drainage or Detention; Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,3/14/2019
77396,Drainage or Detention; Landscape or Open Space,1,3/14/2019
77084,Unrestricted,1,3/14/2019
77447,Unrestricted,1,3/14/2019
77407,Unrestricted Intended for Multifamily,1,3/14/2019
77022,Single Family Residential (PAE 1/PAE 2),1,3/14/2019
77091,Single Family Residential (Public Street),1,3/14/2019
77004,Unrestricted,1,3/14/2019
77025,Unrestricted,1,3/14/2019
77009,Single Family Residential (Shared Driveways),1,3/14/2019
77373,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,3/14/2019
77433,Landscape or Open Space; Street Dedication,1,3/14/2019
77433,Landscape or Open Space; Single Family Residential (Public Street),1,3/14/2019
77433,Landscape or Open Space; Single Family Residential (Public Street),1,3/14/2019
77020,Single Family Residential (Shared Driveways),1,3/14/2019
77051,Single Family Residential (Public Street),1,3/14/2019
77007,Unrestricted,1,3/14/2019
77047,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,3/14/2019
77041,Other,1,3/14/2019
77041,Other,1,3/14/2019
77047,Street Dedication,1,3/14/2019
77047,General Plan,1,3/14/2019
77098,Single Family Residential (Public Street),1,3/14/2019
77007,Single Family Residential (Public Street),1,3/14/2019
77006,Unrestricted,1,3/14/2019
77433,Commercial; Street Dedication,1,3/14/2019
77088,Single Family Residential (Shared Driveways),1,3/14/2019
77009,Single Family Residential (Public Street),1,3/14/2019
77009,Single Family Residential (Public Street),1,3/14/2019
77008,Unrestricted Intended for Multifamily,1,3/14/2019
77389,Landscape or Open Space; Single Family Residential (Public Street); Street Dedication,1,3/14/2019
77028,Single Family Residential (Shared Driveways),1,3/14/2019
77049,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,3/14/2019
77493,Single Family Residential (Public Street),1,3/14/2019
77073,Unrestricted,1,3/14/2019
77049,Unrestricted,1,3/14/2019
77407,"Water Treatment, Production or Repressurization",1,3/14/2019
77034,Single Family Residential (Public Street),1,3/14/2019
77091,Unrestricted,1,3/14/2019
77379,Commercial,1,3/14/2019
77389,Unrestricted,1,3/14/2019
77389,Unrestricted,1,3/14/2019
77389,Unrestricted,1,3/14/2019
77069,"Water Treatment, Production or Repressurization",1,3/14/2019
77407,Unrestricted,1,3/14/2019
77043,Drainage or Detention; Single Family Residential (Public Street); Single Family Residential (Shared Driveways),1,3/14/2019
77022,Commercial,1,3/14/2019
77029,Unrestricted,1,3/14/2019
77002,Unrestricted,1,3/14/2019
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,3/14/2019
77066,General Plan,1,3/14/2019
77066,Landscape or Open Space; Single Family Residential (Public Street),1,3/14/2019
77088,Single Family Residential (Shared Driveways),1,3/14/2019
77389,Unrestricted,1,3/14/2019
77449,Landscape or Open Space; Single Family Residential (Public Street),1,3/14/2019
77429,Single Family Residential (Shared Driveways),1,3/14/2019
77009,Single Family Residential (Shared Driveways),1,3/14/2019
77493,Street Dedication,1,3/14/2019
77012,Single Family Residential (Public Street),1,3/14/2019
77091,Single Family Residential (Public Street),1,3/14/2019
77078,General Plan,1,3/14/2019
77078,Unrestricted,1,3/14/2019
77406,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,3/14/2019
77024,Single Family Residential (PAE 1/PAE 2),1,3/14/2019
