Zip Code,Land Use,Count,Date
77036,Unrestricted,1,11/14/2019
77008,Single Family Residential (Public Street),1,11/14/2019
77017,Commercial,1,11/14/2019
77017,Commercial,1,11/14/2019
77017,Commercial,1,11/14/2019
77449,Unrestricted,1,11/14/2019
77447,Landscape or Open Space; Lift Station; Street Dedication,1,11/14/2019
77085,General Plan,1,11/14/2019
77085,Unrestricted,1,11/14/2019
77020,Single Family Residential (Shared Driveways),1,11/14/2019
77373,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,11/14/2019
77373,Single Family Residential (Public Street),1,11/14/2019
77433,Unrestricted; Landscape or Open Space,1,11/14/2019
77433,Drainage or Detention,1,11/14/2019
77433,Single Family Residential (Public Street),1,11/14/2019
77433,Single Family Residential (Public Street),1,11/14/2019
77009,Single Family Residential (Public Street),1,11/14/2019
77040,Unrestricted,1,11/14/2019
77091,Other,1,11/14/2019
77091,Single Family Residential (Shared Driveways),1,11/14/2019
77338,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,11/14/2019
77098,Single Family Residential (Public Street),1,11/14/2019
77041,Commercial,1,11/14/2019
77493,Compensating Open Space; Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,11/14/2019
77493,Landscape or Open Space; Single Family Residential (Public Street),1,11/14/2019
77493,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,11/14/2019
77055,Single Family Residential (PAE 1/PAE 2),1,11/14/2019
77008,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,11/14/2019
77037,Commercial,1,11/14/2019
77498,Unrestricted,1,11/14/2019
77011,Single Family Residential (Public Street),1,11/14/2019
77079,Other,1,11/14/2019
77044,Unrestricted,1,11/14/2019
77346,Unrestricted,1,11/14/2019
77447,Single Family Residential (Public Street),1,11/14/2019
77044,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,11/14/2019
77357,Unrestricted,1,11/14/2019
77407,Unrestricted; Drainage or Detention; Landscape or Open Space,1,11/14/2019
77449,Compensating Open Space; Recreation; Single Family Residential (Public Street),1,11/14/2019
77048,Other,1,11/14/2019
77336,Unrestricted,1,11/14/2019
77021,Residential Guest Parking; Single Family Residential (Public Street); Single Family Residential (Shared Driveways),1,11/14/2019
77070,Unrestricted; Drainage or Detention,1,11/14/2019
77004,Unrestricted,1,11/14/2019
77493,Landscape or Open Space; Single Family Residential (Public Street),1,11/14/2019
77407,Landscape or Open Space; Single Family Residential (Public Street),1,11/14/2019
77407,Landscape or Open Space; Single Family Residential (Public Street),1,11/14/2019
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,11/14/2019
77009,Single Family Residential (Public Street),1,11/14/2019
77091,Single Family Residential (PAE 1/PAE 2),1,11/14/2019
77407,Unrestricted; Commercial,1,11/14/2019
77407,Commercial,1,11/14/2019
77407,Commercial,1,11/14/2019
77407,Commercial,1,11/14/2019
77004,Commercial,1,11/14/2019
77493,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Recreation,1,11/14/2019
77013,Unrestricted,1,11/14/2019
77051,Single Family Residential (Public Street),1,11/14/2019
77377,General Plan,1,11/14/2019
77377,Single Family Residential (Public Street),1,11/14/2019
77023,Single Family Residential (Public Street),1,11/14/2019
77493,Drainage or Detention; Single Family Residential (Public Street),1,11/14/2019
77080,Commercial,1,11/14/2019
77532,Single Family Residential (Public Street),1,11/14/2019
77020,Single Family Residential (Public Street),1,11/14/2019
77091,Landscape or Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways),1,11/14/2019
77449,"Water Treatment, Production or Repressurization",1,11/14/2019
77048,Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,11/14/2019
,"Commercial,Unrestricted",1,11/14/2019
77075,Commercial,1,11/14/2019
77055,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,11/14/2019
77494,Unrestricted,1,11/14/2019
77009,Unrestricted Intended for Multifamily,1,11/14/2019
77085,Single Family Residential (Public Street),1,11/14/2019
77375,Unrestricted,1,11/14/2019
77026,Single Family Residential (Public Street),1,11/14/2019
77449,Unrestricted,1,11/14/2019
77380,Unrestricted Intended for Multifamily,1,11/14/2019
77530,"Church, School and Institutional",1,11/14/2019
77051,Single Family Residential (Public Street),1,11/14/2019
77009,Single Family Residential (Public Street),1,11/14/2019
77429,Unrestricted,1,11/14/2019
77043,Street Dedication,1,11/14/2019
77014,Street Dedication,1,11/14/2019
77005,Single Family Residential (Public Street),1,11/14/2019
77030,Unrestricted,1,11/14/2019
77389,Street Dedication,1,11/14/2019
77022,Single Family Residential (Public Street),1,11/14/2019
77009,Single Family Residential (Public Street),1,11/14/2019
77379,Unrestricted,1,11/14/2019
77429,Unrestricted,1,11/14/2019
77433,Compensating Open Space; Single Family Residential (Public Street),1,11/14/2019
77004,Single Family Residential (Public Street),1,11/14/2019
77447,Single Family Residential (Public Street),1,11/14/2019
77447,Landscape or Open Space; Single Family Residential (Public Street),1,11/14/2019
77447,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,11/14/2019
77447,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,11/14/2019
77447,Single Family Residential (Public Street),1,11/14/2019
77008,Single Family Residential (Public Street),1,11/14/2019
77041,Unrestricted,1,11/14/2019
77096,Single Family Residential (Public Street),1,11/14/2019
77447,Landscape or Open Space; Single Family Residential (Public Street),1,11/14/2019
77043,Unrestricted Intended for Multifamily,1,11/14/2019
77004,Unrestricted,1,11/14/2019
77386,Unrestricted,1,11/14/2019
