Zip Code,Land Use,Count,Date
77074,Unrestricted,1,10/31/2019
77032,General Plan,1,10/31/2019
77093,Unrestricted,1,10/31/2019
77407,Drainage or Detention; Landscape or Open Space,1,10/31/2019
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,10/31/2019
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,10/31/2019
77017,Unrestricted,1,10/31/2019
77017,Unrestricted,1,10/31/2019
77017,Unrestricted,1,10/31/2019
77007,Unrestricted,1,10/31/2019
77080,Single Family Residential (Public Street),1,10/31/2019
77396,Drainage or Detention,1,10/31/2019
77447,General Plan,1,10/31/2019
77028,Single Family Residential (Public Street),1,10/31/2019
77078,Single Family Residential (Public Street),1,10/31/2019
77406,Recreation,1,10/31/2019
77406,Single Family Residential (Public Street),1,10/31/2019
77406,Landscape or Open Space; Lift Station; Single Family Residential (Public Street); Other,1,10/31/2019
77406,Landscape or Open Space; Single Family Residential (Public Street),1,10/31/2019
77406,Landscape or Open Space; Single Family Residential (Public Street),1,10/31/2019
77018,General Plan,1,10/31/2019
77018,Unrestricted,1,10/31/2019
77085,"Water Treatment, Production or Repressurization; Other",1,10/31/2019
77034,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,10/31/2019
77055,Single Family Residential (PAE 1/PAE 2),1,10/31/2019
77098,Single Family Residential (Public Street),1,10/31/2019
77007,Unrestricted,1,10/31/2019
77091,Other,1,10/31/2019
77040,Single Family Residential (Public Street),1,10/31/2019
77072,Unrestricted,1,10/31/2019
77004,Single Family Residential (Shared Driveways),1,10/31/2019
77373,"Unrestricted Intended for Multifamily; Commercial; Drainage or Detention; Lift Station; Water Treatment, Production or Repressurization",1,10/31/2019
77338,Unrestricted; Landscape or Open Space,1,10/31/2019
77338,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,10/31/2019
77449,General Plan,1,10/31/2019
77007,Single Family Residential (Public Street),1,10/31/2019
77020,General Plan,1,10/31/2019
77020,Unrestricted,1,10/31/2019
77004,Unrestricted,1,10/31/2019
77429,Landscape or Open Space; Single Family Residential (Public Street),1,10/31/2019
77429,Single Family Residential (Public Street); Single Family Residential (PAE 1/PAE 2),1,10/31/2019
77009,Single Family Residential (Public Street),1,10/31/2019
77545,General Plan,1,10/31/2019
77545,"Water Treatment, Production or Repressurization",1,10/31/2019
77022,Single Family Residential (Public Street),1,10/31/2019
77346,Unrestricted,1,10/31/2019
77057,Commercial,1,10/31/2019
77377,Unrestricted,1,10/31/2019
77396,Unrestricted,1,10/31/2019
77015,Unrestricted,1,10/31/2019
77004,Single Family Residential (Public Street),1,10/31/2019
77044,Landscape or Open Space; Lift Station,1,10/31/2019
77449,"Water Treatment, Production or Repressurization",1,10/31/2019
77020,Single Family Residential (Public Street),1,10/31/2019
77008,Unrestricted,1,10/31/2019
77007,Unrestricted,1,10/31/2019
77075,Unrestricted,1,10/31/2019
77429,Unrestricted,1,10/31/2019
77067,Unrestricted,1,10/31/2019
77056,Unrestricted,1,10/31/2019
77070,General Plan,1,10/31/2019
77070,Unrestricted; Drainage or Detention,1,10/31/2019
77048,Single Family Residential (Public Street),1,10/31/2019
77365,Single Family Residential (Public Street),1,10/31/2019
77083,Unrestricted,1,10/31/2019
77044,Single Family Residential (Public Street),1,10/31/2019
77407,Single Family Residential (Public Street),1,10/31/2019
77009,Single Family Residential (Public Street),1,10/31/2019
77016,Single Family Residential (Public Street),1,10/31/2019
77407,Unrestricted; Commercial,1,10/31/2019
77407,Commercial,1,10/31/2019
77407,Commercial,1,10/31/2019
77407,Commercial,1,10/31/2019
77336,Landscape or Open Space; Single Family Residential (Public Street),1,10/31/2019
77004,Commercial,1,10/31/2019
77407,Commercial,1,10/31/2019
77009,Unrestricted,1,10/31/2019
77051,Single Family Residential (Public Street),1,10/31/2019
77055,Single Family Residential (Public Street),1,10/31/2019
77377,Single Family Residential (Public Street),1,10/31/2019
77092,Single Family Residential (Public Street),1,10/31/2019
77091,Residential Guest Parking; Single Family Residential (Shared Driveways),1,10/31/2019
77598,Commercial,1,10/31/2019
77080,Commercial,1,10/31/2019
77080,Residential Guest Parking; Single Family Residential (Shared Driveways),1,10/31/2019
77375,Recreation,1,10/31/2019
77545,General Plan,1,10/31/2019
77545,Landscape or Open Space; Single Family Residential (Public Street),1,10/31/2019
77545,Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,10/31/2019
77022,Residential Guest Parking; Single Family Residential (Shared Driveways),1,10/31/2019
77026,Unrestricted Intended for Multifamily,1,10/31/2019
77004,Single Family Residential (Public Street),1,10/31/2019
77021,Unrestricted,1,10/31/2019
77055,Unrestricted Intended for Multifamily,1,10/31/2019
77021,Unrestricted,1,10/31/2019
77092,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,10/31/2019
77004,Single Family Residential (Shared Driveways),1,10/31/2019
77004,Single Family Residential (Shared Driveways),1,10/31/2019
77377,Unrestricted,1,10/31/2019
77057,Commercial,1,10/31/2019
77396,Unrestricted,1,10/31/2019
77373,Unrestricted,1,10/31/2019
77377,Single Family Residential (Public Street),1,10/31/2019
77007,Unrestricted,1,10/31/2019
77007,Single Family Residential (Public Street),1,10/31/2019
77339,Unrestricted,1,10/31/2019
77008,Single Family Residential (Public Street),1,10/31/2019
77008,Unrestricted,1,10/31/2019
77545,Commercial,1,10/31/2019
77388,Commercial,1,10/31/2019
77064,Commercial,1,10/31/2019
77382,Unrestricted,1,10/31/2019
77375,Commercial,1,10/31/2019
77386,Landscape or Open Space; Single Family Residential (Public Street),1,10/31/2019
77019,Single Family Residential (Public Street),1,10/31/2019
77027,Single Family Residential (Shared Driveways),1,10/31/2019
77098,Single Family Residential (Public Street),1,10/31/2019
77088,Unrestricted,1,10/31/2019
77433,Street Dedication,1,10/31/2019
77091,Residential Guest Parking; Single Family Residential (Shared Driveways),1,10/31/2019
77494,Commercial,1,10/31/2019
77379,Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,10/31/2019
