Zip Code,Land Use,Count,Date
77034,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,9/5/2019
77017,Single Family Residential (Shared Driveways),1,9/5/2019
77407,Landscape or Open Space; Single Family Residential (Public Street),1,9/5/2019
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,9/5/2019
77004,Unrestricted Intended for Multifamily,1,9/5/2019
77449,Compensating Open Space; Single Family Residential (Public Street),1,9/5/2019
77449,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,9/5/2019
77396,Drainage or Detention; Street Dedication,1,9/5/2019
77447,Unrestricted; Street Dedication,1,9/5/2019
77447,"Water Treatment, Production or Repressurization",1,9/5/2019
77386,Other,1,9/5/2019
77373,Landscape or Open Space; Single Family Residential (Public Street),1,9/5/2019
77373,Landscape or Open Space; Single Family Residential (Public Street),1,9/5/2019
77373,Compensating Open Space; Single Family Residential (Public Street),1,9/5/2019
77433,Landscape or Open Space; Single Family Residential (Public Street),1,9/5/2019
77433,Street Dedication,1,9/5/2019
77043,Single Family Residential (PAE 1/PAE 2),1,9/5/2019
77051,Single Family Residential (Public Street),1,9/5/2019
77365,Unrestricted; Compensating Open Space; Drainage or Detention; Landscape or Open Space; Lift Station,1,9/5/2019
77020,Single Family Residential (Shared Driveways),1,9/5/2019
77019,Unrestricted,1,9/5/2019
77019,Commercial,1,9/5/2019
77080,Commercial,1,9/5/2019
77021,Unrestricted,1,9/5/2019
77066,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,9/5/2019
77047,Landscape or Open Space; Single Family Residential (Public Street),1,9/5/2019
77004,Commercial,1,9/5/2019
77020,Single Family Residential (Public Street),1,9/5/2019
77095,Unrestricted,1,9/5/2019
77068,Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,9/5/2019
77373,"Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,9/5/2019
77598,Commercial,1,9/5/2019
77007,Unrestricted,1,9/5/2019
77003,Unrestricted,1,9/5/2019
77009,Single Family Residential (Public Street),1,9/5/2019
77447,Unrestricted,1,9/5/2019
77375,Unrestricted,1,9/5/2019
77018,Residential Guest Parking; Single Family Residential (Shared Driveways),1,9/5/2019
77018,Residential Guest Parking; Single Family Residential (Shared Driveways),1,9/5/2019
77009,Single Family Residential (Public Street),1,9/5/2019
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,9/5/2019
77493,Unrestricted,1,9/5/2019
,Single Family Residential (Public Street),1,9/5/2019
77379,Commercial,1,9/5/2019
77407,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street),1,9/5/2019
77407,Single Family Residential (Public Street),1,9/5/2019
77373,Single Family Residential (Public Street),1,9/5/2019
77073,Unrestricted,1,9/5/2019
77379,Unrestricted,1,9/5/2019
77493,"Water Treatment, Production or Repressurization",1,9/5/2019
77406,Unrestricted Intended for Multifamily,1,9/5/2019
77449,Compensating Open Space; Landscape or Open Space; Residential Guest Parking; Single Family Residential (Public Street),1,9/5/2019
77379,Unrestricted,1,9/5/2019
77007,Unrestricted,1,9/5/2019
77011,Single Family Residential (Shared Driveways),1,9/5/2019
77049,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,9/5/2019
77530,Commercial,1,9/5/2019
77498,Unrestricted,1,9/5/2019
77023,Residential Guest Parking; Single Family Residential (Shared Driveways),1,9/5/2019
77379,Other,1,9/5/2019
77044,Landscape or Open Space; Single Family Residential (Public Street),1,9/5/2019
77449,Landscape or Open Space; Single Family Residential (Public Street),1,9/5/2019
77088,Single Family Residential (Public Street),1,9/5/2019
77493,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,9/5/2019
77033,Single Family Residential (Shared Driveways),1,9/5/2019
77429,Commercial,1,9/5/2019
77449,Landscape or Open Space; Single Family Residential (Public Street); Other,1,9/5/2019
77019,Single Family Residential (Public Street),1,9/5/2019
77484,Single Family Residential (Public Street),1,9/5/2019
77377,General Plan,1,9/5/2019
77070,Unrestricted Intended for Multifamily,1,9/5/2019
77020,Residential Guest Parking; Single Family Residential (Shared Driveways),1,9/5/2019
77023,Single Family Residential (Public Street),1,9/5/2019
77018,Single Family Residential (PAE 1/PAE 2),1,9/5/2019
77098,Unrestricted,1,9/5/2019
77493,Drainage or Detention; Single Family Residential (Public Street),1,9/5/2019
77039,Commercial,1,9/5/2019
77020,Single Family Residential (Public Street),1,9/5/2019
77354,Single Family Residential (Public Street),1,9/5/2019
77009,Single Family Residential (Public Street),1,9/5/2019
77079,Single Family Residential (Public Street),1,9/5/2019
77003,Single Family Residential (Public Street),1,9/5/2019
77015,Unrestricted,1,9/5/2019
77019,Single Family Residential (Public Street),1,9/5/2019
77019,Single Family Residential (Public Street),1,9/5/2019
77365,Single Family Residential (Public Street),1,9/5/2019
77379,Single Family Residential (Public Street),1,9/5/2019
77069,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,9/5/2019
77373,Unrestricted,1,9/5/2019
77493,Unrestricted,1,9/5/2019
77029,Unrestricted,1,9/5/2019
77044,Landscape or Open Space; Single Family Residential (Public Street),1,9/5/2019
77047,Commercial,1,9/5/2019
77377,Single Family Residential (Public Street),1,9/5/2019
77068,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,9/5/2019
77056,Commercial,1,9/5/2019
77090,Landscape or Open Space; Single Family Residential (Public Street),1,9/5/2019
77433,Landscape or Open Space; Single Family Residential (Public Street),1,9/5/2019
77532,"Church, School and Institutional",1,9/5/2019
77015,Unrestricted,1,9/5/2019
77018,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,9/5/2019
77449,Landscape or Open Space; Single Family Residential (Public Street),1,9/5/2019
77091,Single Family Residential (Public Street); Single Family Residential (Shared Driveways),1,9/5/2019
77375,Unrestricted,1,9/5/2019
77023,Drainage or Detention; Single Family Residential (Shared Driveways),1,9/5/2019
77375,General Plan,1,9/5/2019
77016,Drainage or Detention,1,9/5/2019
77027,Unrestricted,1,9/5/2019
77027,Unrestricted,1,9/5/2019
77087,Unrestricted,1,9/5/2019
