Zip Code,Land Use,Count,Date
77091,Single Family Residential (Shared Driveways),1,1/23/2020
77091,Single Family Residential (Shared Driveways),1,1/23/2020
77072,Unrestricted,1,1/23/2020
77048,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,1/23/2020
77045,Unrestricted Intended for Multifamily,1,1/23/2020
77357,Street Dedication,1,1/23/2020
77060,Unrestricted Intended for Multifamily,1,1/23/2020
77018,Residential Guest Parking; Single Family Residential (Shared Driveways),1,1/23/2020
77447,Street Dedication,1,1/23/2020
77015,Unrestricted,1,1/23/2020
77396,Landscape or Open Space,1,1/23/2020
77021,Single Family Residential (Public Street),1,1/23/2020
77493,Lift Station,1,1/23/2020
77047,Compensating Open Space; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,1/23/2020
77098,Unrestricted,1,1/23/2020
77373,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street),1,1/23/2020
77373,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,1/23/2020
77079,General Plan,1,1/23/2020
77079,Unrestricted,1,1/23/2020
77008,Landscape or Open Space; Single Family Residential (Shared Driveways),1,1/23/2020
77068,Landscape or Open Space; Single Family Residential (Public Street),1,1/23/2020
77004,Single Family Residential (Public Street),1,1/23/2020
77447,General Plan,1,1/23/2020
77009,Landscape or Open Space; Recreation; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways),1,1/23/2020
77006,Unrestricted,1,1/23/2020
77019,Single Family Residential (Shared Driveways),1,1/23/2020
77386,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street),1,1/23/2020
77386,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street),1,1/23/2020
77008,Single Family Residential (Shared Driveways),1,1/23/2020
77079,Other,1,1/23/2020
77057,Unrestricted,1,1/23/2020
77346,Landscape or Open Space; Single Family Residential (Public Street),1,1/23/2020
77346,Landscape or Open Space; Single Family Residential (Public Street),1,1/23/2020
77346,Single Family Residential (Public Street),1,1/23/2020
77406,Unrestricted,1,1/23/2020
77545,General Plan,1,1/23/2020
77545,Unrestricted,1,1/23/2020
77009,Landscape or Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways),1,1/23/2020
77057,Unrestricted,1,1/23/2020
77008,Single Family Residential (Public Street),1,1/23/2020
77041,Unrestricted,1,1/23/2020
77014,"Church, School and Institutional",1,1/23/2020
77018,Residential Guest Parking; Single Family Residential (Shared Driveways),1,1/23/2020
77449,Landscape or Open Space; Single Family Residential (Public Street),1,1/23/2020
77498,Unrestricted,1,1/23/2020
77406,Unrestricted,1,1/23/2020
77407,Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,1/23/2020
77021,Unrestricted,1,1/23/2020
77004,Residential Guest Parking; Single Family Residential (Shared Driveways),1,1/23/2020
77377,Single Family Residential (Public Street),1,1/23/2020
77018,Residential Guest Parking; Single Family Residential (Shared Driveways),1,1/23/2020
77433,Street Dedication,1,1/23/2020
77433,Street Dedication,1,1/23/2020
77026,Single Family Residential (Public Street),1,1/23/2020
77447,General Plan,1,1/23/2020
77447,Unrestricted,1,1/23/2020
77447,General Plan,1,1/23/2020
77029,Unrestricted,1,1/23/2020
77054,Single Family Residential (Public Street),1,1/23/2020
77080,Residential Guest Parking; Single Family Residential (Shared Driveways),1,1/23/2020
77532,Single Family Residential (Public Street),1,1/23/2020
77532,Single Family Residential (Public Street),1,1/23/2020
77449,"Water Treatment, Production or Repressurization",1,1/23/2020
77084,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,1/23/2020
77530,Unrestricted,1,1/23/2020
77048,Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,1/23/2020
77077,Unrestricted,1,1/23/2020
77406,Unrestricted,1,1/23/2020
77494,Unrestricted,1,1/23/2020
77532,Street Dedication,1,1/23/2020
77365,Unrestricted,1,1/23/2020
77073,Single Family Residential (Public Street),1,1/23/2020
77406,Unrestricted,1,1/23/2020
77377,"Church, School and Institutional",1,1/23/2020
77051,Unrestricted,1,1/23/2020
77051,Unrestricted,1,1/23/2020
77006,Commercial,1,1/23/2020
77009,Commercial,1,1/23/2020
77021,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,1/23/2020
77033,Single Family Residential (Public Street),1,1/23/2020
77365,Unrestricted,1,1/23/2020
77082,Compensating Open Space; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways),1,1/23/2020
77051,Single Family Residential (Public Street),1,1/23/2020
77009,Single Family Residential (Public Street),1,1/23/2020
77004,Single Family Residential (Public Street),1,1/23/2020
77003,Unrestricted Intended for Multifamily,1,1/23/2020
77048,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Other,1,1/23/2020
77048,Single Family Residential (Public Street),1,1/23/2020
77051,Single Family Residential (Public Street),1,1/23/2020
77076,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2); Other,1,1/23/2020
77449,General Plan,1,1/23/2020
77449,Landscape or Open Space; Single Family Residential (Public Street); Other,1,1/23/2020
77357,Landscape or Open Space; Single Family Residential (Public Street),1,1/23/2020
77357,Landscape or Open Space; Single Family Residential (Public Street),1,1/23/2020
77346,Landscape or Open Space; Street Dedication,1,1/23/2020
77021,Single Family Residential (Public Street),1,1/23/2020
77429,Unrestricted; Landscape or Open Space; Lift Station,1,1/23/2020
77433,Landscape or Open Space; Street Dedication,1,1/23/2020
77449,General Plan,1,1/23/2020
77018,Residential Guest Parking; Single Family Residential (Shared Driveways),1,1/23/2020
77447,Street Dedication,1,1/23/2020
77022,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,1/23/2020
