Zip Code,Land Use,Count,Date
77407,Unrestricted,1,2/16/2017
77017,Unrestricted,1,2/16/2017
77008,Unrestricted,1,2/16/2017
77396,Landscape or Open Space; Single Family Residential (Public Street),1,2/16/2017
77020,Single Family Residential (Shared Driveways),1,2/16/2017
77386,Single Family Residential (Public Street),1,2/16/2017
77055,Unrestricted,1,2/16/2017
77386,Unrestricted,1,2/16/2017
77375,"Water Treatment, Production or Repressurization",1,2/16/2017
77019,Street Dedication,1,2/16/2017
77433,Landscape or Open Space; Single Family Residential (Public Street),1,2/16/2017
77433,Single Family Residential (Public Street),1,2/16/2017
77433,Single Family Residential (Public Street),1,2/16/2017
77084,Unrestricted,1,2/16/2017
77041,Commercial,1,2/16/2017
77004,Single Family Residential (Shared Driveways),1,2/16/2017
77365,General Plan,1,2/16/2017
77019,Single Family Residential (Public Street),1,2/16/2017
77338,Commercial,1,2/16/2017
77020,Unrestricted,1,2/16/2017
77044,Street Dedication,1,2/16/2017
77078,Commercial,1,2/16/2017
77493,Street Dedication,1,2/16/2017
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/16/2017
77044,Landscape or Open Space; Single Family Residential (Public Street),1,2/16/2017
77007,Single Family Residential (Public Street),1,2/16/2017
77016,Unrestricted; Single Family Residential (Public Street),1,2/16/2017
77009,Unrestricted,1,2/16/2017
77004,Unrestricted,1,2/16/2017
77053,Commercial,1,2/16/2017
77079,Unrestricted,1,2/16/2017
77346,Single Family Residential (Public Street),1,2/16/2017
77386,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,2/16/2017
77012,"Church, School and Institutional",1,2/16/2017
77407,Unrestricted,1,2/16/2017
77338,Commercial,1,2/16/2017
77080,"Church, School and Institutional",1,2/16/2017
77064,Unrestricted,1,2/16/2017
77075,General Plan,1,2/16/2017
77075,Single Family Residential (Public Street),1,2/16/2017
77433,Commercial,1,2/16/2017
77022,Single Family Residential (Public Street),1,2/16/2017
77021,Single Family Residential (Public Street),1,2/16/2017
77493,Commercial,1,2/16/2017
77389,"Church, School and Institutional",1,2/16/2017
77406,Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,2/16/2017
77484,Single Family Residential (Public Street),1,2/16/2017
77020,Single Family Residential (Public Street),1,2/16/2017
77022,Single Family Residential (Public Street),1,2/16/2017
77447,Unrestricted,1,2/16/2017
77388,Unrestricted,1,2/16/2017
77070,Single Family Residential (Public Street),1,2/16/2017
77070,Unrestricted,1,2/16/2017
77013,Commercial,1,2/16/2017
77047,Commercial,1,2/16/2017
77019,Single Family Residential (Public Street),1,2/16/2017
77061,Unrestricted,1,2/16/2017
77375,Street Dedication,1,2/16/2017
77375,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/16/2017
77007,Single Family Residential (Shared Driveways),1,2/16/2017
77018,Unrestricted,1,2/16/2017
77406,Street Dedication,1,2/16/2017
77498,Single Family Residential (Public Street),1,2/16/2017
77020,Unrestricted,1,2/16/2017
77035,Commercial,1,2/16/2017
77386,Unrestricted,1,2/16/2017
,Commercial; Other,1,2/16/2017
77084,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,2/16/2017
77080,Unrestricted,1,2/16/2017
77044,Single Family Residential (Public Street),1,2/16/2017
77365,Unrestricted,1,2/16/2017
77056,Single Family Residential (Shared Driveways),1,2/16/2017
77357,Single Family Residential (Public Street),1,2/16/2017
77080,Street Dedication,1,2/16/2017
77007,Unrestricted,1,2/16/2017
77014,Unrestricted,1,2/16/2017
77449,Unrestricted,1,2/16/2017
77008,Landscape or Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways),1,2/16/2017
77018,Single Family Residential (Shared Driveways),1,2/16/2017
77004,Commercial,1,2/16/2017
77406,Unrestricted,1,2/16/2017
77027,Commercial,1,2/16/2017
77038,Drainage or Detention; Landscape or Open Space; Street Dedication,1,2/16/2017
77003,Single Family Residential (Shared Driveways),1,2/16/2017
77003,Single Family Residential (Shared Driveways),1,2/16/2017
77375,Landscape or Open Space; Single Family Residential (Public Street); Other,1,2/16/2017
77375,Single Family Residential (Public Street),1,2/16/2017
77065,Unrestricted,1,1/19/2017
77012,Unrestricted,1,1/19/2017
77386,Unrestricted,1,1/19/2017
77014,General Plan,1,1/19/2017
77014,Single Family Residential (Public Street),1,1/19/2017
77055,Single Family Residential (Public Street),1,1/19/2017
77080,Single Family Residential (Public Street),1,1/19/2017
77004,Single Family Residential (Public Street),1,1/19/2017
77429,Commercial,1,1/19/2017
77007,Single Family Residential (Public Street),1,1/19/2017
77021,Landscape or Open Space; Single Family Residential (Shared Driveways); Other,1,1/19/2017
77007,Single Family Residential (Public Street),1,1/19/2017
77379,Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,1/19/2017
77018,Residential Guest Parking; Single Family Residential (Public Street); Single Family Residential (Shared Driveways),1,1/19/2017
77004,Unrestricted,1,1/19/2017
77008,Single Family Residential (Public Street),1,1/19/2017
77498,Commercial,1,1/19/2017
77027,Single Family Residential (Public Street),1,1/19/2017
