Zip Code,Land Use,Count,Date
77007,Single Family Residential (Shared Driveways),1,11/9/2017
77379,Single Family Residential (PAE 1/PAE 2),1,11/9/2017
77063,Commercial,1,11/9/2017
77429,Single Family Residential (Public Street),1,11/9/2017
77007,Unrestricted,1,11/9/2017
77089,Single Family Residential (PAE 1/PAE 2),1,11/9/2017
77389,Unrestricted,1,11/9/2017
77080,Compensating Open Space; Single Family Residential (Shared Driveways),1,11/9/2017
77396,Landscape or Open Space; Single Family Residential (Public Street),1,11/9/2017
77396,Single Family Residential (Public Street),1,11/9/2017
77447,Single Family Residential (Public Street),1,11/9/2017
77447,Landscape or Open Space; Street Dedication,1,11/9/2017
77022,"Church, School and Institutional",1,11/9/2017
77007,Single Family Residential (Public Street),1,11/9/2017
77095,Unrestricted,1,11/9/2017
77074,Single Family Residential (Public Street),1,11/9/2017
77014,Landscape or Open Space,1,11/9/2017
77433,Single Family Residential (PAE 1/PAE 2),1,11/9/2017
77433,Street Dedication,1,11/9/2017
77450,Unrestricted,1,11/9/2017
77407,Unrestricted; Single Family Residential (Shared Driveways),1,11/9/2017
77003,Single Family Residential (Shared Driveways),1,11/9/2017
77019,Single Family Residential (Public Street),1,11/9/2017
77489,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,11/9/2017
77009,Single Family Residential (Public Street),1,11/9/2017
77067,Unrestricted,1,11/9/2017
77091,Single Family Residential (PAE 1/PAE 2),1,11/9/2017
77336,Unrestricted,1,11/9/2017
77022,Single Family Residential (Public Street),1,11/9/2017
77365,Single Family Residential (Public Street),1,11/9/2017
77055,Compensating Open Space; Single Family Residential (Public Street),1,11/9/2017
77055,Single Family Residential (Public Street),1,11/9/2017
77004,Commercial,1,11/9/2017
77048,Unrestricted,1,11/9/2017
77449,Landscape or Open Space; Recreation,1,11/9/2017
77025,Unrestricted,1,11/9/2017
77055,Single Family Residential (Shared Driveways),1,11/9/2017
77003,Street Dedication,1,11/9/2017
77011,Unrestricted Intended for Multifamily,1,11/9/2017
77011,Unrestricted Intended for Multifamily,1,11/9/2017
77077,Unrestricted,1,11/9/2017
77009,Single Family Residential (Public Street),1,11/9/2017
77009,Single Family Residential (Public Street),1,11/9/2017
77018,Residential Guest Parking; Single Family Residential (Shared Driveways),1,11/9/2017
77061,Commercial,1,11/9/2017
77027,Unrestricted,1,11/9/2017
77093,Single Family Residential (Public Street),1,11/9/2017
