Zip Code,Land Use,Count,Date
77007,General Plan,1,6/7/2018
77007,Single Family Residential (Shared Driveways),1,6/7/2018
77447,Landscape or Open Space; Single Family Residential (Public Street),1,6/7/2018
77063,Street Dedication,1,6/7/2018
77063,Single Family Residential (PAE 1/PAE 2),1,6/7/2018
77033,Single Family Residential (Public Street),1,6/7/2018
77433,Street Dedication,1,6/7/2018
77433,Landscape or Open Space; Lift Station,1,6/7/2018
77433,Single Family Residential (Public Street),1,6/7/2018
77433,Landscape or Open Space; Single Family Residential (Public Street),1,6/7/2018
77018,Single Family Residential (Public Street),1,6/7/2018
77365,Single Family Residential (Public Street),1,6/7/2018
77084,Commercial,1,6/7/2018
77003,Unrestricted Intended for Multifamily,1,6/7/2018
77055,Single Family Residential (PAE 1/PAE 2),1,6/7/2018
77043,Single Family Residential (PAE 1/PAE 2),1,6/7/2018
77004,Single Family Residential (Public Street),1,6/7/2018
77051,Single Family Residential (Public Street),1,6/7/2018
77022,Unrestricted,1,6/7/2018
77055,Single Family Residential (Public Street),1,6/7/2018
77532,Single Family Residential (Public Street),1,6/7/2018
77082,Unrestricted,1,6/7/2018
77407,Commercial,1,6/7/2018
77449,Unrestricted,1,6/7/2018
77091,Unrestricted; Single Family Residential (Public Street),1,6/7/2018
77051,Single Family Residential (Public Street),1,6/7/2018
77493,Landscape or Open Space; Single Family Residential (Public Street),1,6/7/2018
77433,Single Family Residential (PAE 1/PAE 2),1,6/7/2018
77379,Unrestricted,1,6/7/2018
77389,Single Family Residential (Public Street),1,6/7/2018
77044,Unrestricted,1,6/7/2018
77084,Landscape or Open Space; Single Family Residential (Public Street),1,6/7/2018
77407,Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,6/7/2018
77493,Unrestricted; Commercial,1,6/7/2018
77007,Unrestricted,1,6/7/2018
77008,Single Family Residential (Public Street),1,6/7/2018
77004,Unrestricted,1,6/7/2018
77093,Unrestricted,1,6/7/2018
77004,Unrestricted,1,6/7/2018
77018,"Church, School and Institutional",1,6/7/2018
77067,Unrestricted,1,6/7/2018
77006,Single Family Residential (Public Street),1,6/7/2018
77006,Single Family Residential (Public Street),1,6/7/2018
77493,"Church, School and Institutional",1,6/7/2018
77484,Commercial,1,6/7/2018
77339,Unrestricted,1,6/7/2018
77530,Single Family Residential (Public Street),1,6/7/2018
77044,"Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,6/7/2018
77449,Landscape or Open Space; Street Dedication,1,6/7/2018
77449,Compensating Open Space; Single Family Residential (Public Street),1,6/7/2018
77076,Commercial,1,6/7/2018
77020,Unrestricted,1,6/7/2018
77021,Single Family Residential (Shared Driveways),1,6/7/2018
77048,Single Family Residential (Public Street),1,6/7/2018
77498,Unrestricted,1,6/7/2018
77007,Single Family Residential (Public Street),1,6/7/2018
77028,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,6/7/2018
77493,General Plan,1,6/7/2018
77530,Unrestricted,1,6/7/2018
77093,Single Family Residential (Shared Driveways),1,6/7/2018
77093,Unrestricted,1,6/7/2018
77046,Unrestricted,1,6/7/2018
77389,Single Family Residential (Public Street),1,6/7/2018
77055,Unrestricted,1,6/7/2018
77379,Unrestricted,1,6/7/2018
77546,Unrestricted,1,6/7/2018
77090,Unrestricted,1,6/7/2018
77076,Unrestricted,1,6/7/2018
77073,Single Family Residential (Public Street),1,6/7/2018
77054,Unrestricted,1,6/7/2018
77546,Unrestricted,1,6/7/2018
77532,Single Family Residential (Public Street),1,6/7/2018
77377,Landscape or Open Space,1,6/7/2018
77055,Single Family Residential (Shared Driveways),1,6/7/2018
77048,Unrestricted,1,6/7/2018
77080,Unrestricted,1,6/7/2018
77373,Unrestricted,1,6/7/2018
77080,Compensating Open Space; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,6/7/2018
77429,Landscape or Open Space; Single Family Residential (Public Street),1,6/7/2018
77054,Unrestricted,1,6/7/2018
77066,Unrestricted; Landscape or Open Space; Single Family Residential (Public Street),1,6/7/2018
77069,Single Family Residential (Public Street),1,6/7/2018
77091,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,6/7/2018
77379,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,6/7/2018
77031,Unrestricted,1,6/7/2018
77090,Street Dedication,1,6/7/2018
77035,Unrestricted,1,6/7/2018
77375,Unrestricted,1,6/7/2018
77377,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,6/7/2018
77380,Unrestricted,1,6/7/2018
77380,Unrestricted,1,6/7/2018
77365,Street Dedication,1,6/7/2018
77365,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,6/7/2018
