Zip Code,Land Use,Count,Date
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,3/15/2018
77407,Landscape or Open Space,1,3/15/2018
77407,Landscape or Open Space; Single Family Residential (Public Street),1,3/15/2018
77007,Single Family Residential (Public Street),1,3/15/2018
77096,Single Family Residential (PAE 1/PAE 2),1,3/15/2018
77038,Commercial,1,3/15/2018
77073,Commercial,1,3/15/2018
77396,Single Family Residential (Public Street),1,3/15/2018
77006,Unrestricted,1,3/15/2018
77006,Unrestricted,1,3/15/2018
77346,Single Family Residential (Public Street),1,3/15/2018
77018,Residential Guest Parking; Single Family Residential (Shared Driveways),1,3/15/2018
77396,General Plan,1,3/15/2018
77007,Single Family Residential (Shared Driveways),1,3/15/2018
77030,Single Family Residential (Shared Driveways),1,3/15/2018
77433,Single Family Residential (Public Street),1,3/15/2018
77346,Landscape or Open Space,1,3/15/2018
77007,Unrestricted Intended for Multifamily,1,3/15/2018
77346,Landscape or Open Space; Street Dedication,1,3/15/2018
77006,Single Family Residential (Shared Driveways),1,3/15/2018
77377,Street Dedication,1,3/15/2018
77009,Single Family Residential (Shared Driveways),1,3/15/2018
77379,Unrestricted; Compensating Open Space; Drainage or Detention; Lift Station; Residential Guest Parking; Other,1,3/15/2018
77034,Unrestricted,1,3/15/2018
77066,Unrestricted,1,3/15/2018
77084,Single Family Residential (PAE 1/PAE 2),1,3/15/2018
77406,Single Family Residential (Public Street),1,3/15/2018
77494,Commercial,1,3/15/2018
77044,Unrestricted,1,3/15/2018
77429,Unrestricted,1,3/15/2018
77003,Single Family Residential (Shared Driveways),1,3/15/2018
77003,Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways),1,3/15/2018
77011,Single Family Residential (Public Street),1,3/15/2018
77051,Unrestricted,1,3/15/2018
77023,Residential Guest Parking; Street Dedication,1,3/15/2018
77059,Single Family Residential (Public Street),1,3/15/2018
77018,Commercial,1,3/15/2018
77003,Single Family Residential (Public Street),1,3/15/2018
77055,Single Family Residential (Shared Driveways),1,3/15/2018
77045,Unrestricted,1,3/15/2018
77084,Unrestricted,1,3/15/2018
77071,Unrestricted,1,3/15/2018
77075,Landscape or Open Space; Single Family Residential (Public Street),1,3/15/2018
77449,Unrestricted,1,3/15/2018
77009,Residential Guest Parking; Single Family Residential (Shared Driveways),1,3/15/2018
77093,Single Family Residential (Public Street),1,3/15/2018
77007,Commercial,1,3/15/2018
77407,Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,3/15/2018
77346,Single Family Residential (Public Street),1,3/15/2018
77346,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,3/15/2018
77346,Single Family Residential (Public Street),1,3/15/2018
77098,Single Family Residential (Public Street),1,3/15/2018
77007,Unrestricted,1,3/15/2018
