Zip Code,Land Use,Count,Date
77064,Unrestricted,1,9/24/2018
77027,Single Family Residential (Public Street),1,9/24/2018
77045,Single Family Residential (PAE 1/PAE 2),1,9/24/2018
77071,Single Family Residential (PAE 1/PAE 2),1,9/24/2018
77077,Unrestricted,1,9/24/2018
77407,Landscape or Open Space,1,9/24/2018
77407,Unrestricted,1,9/24/2018
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,9/24/2018
77027,Unrestricted Intended for Multifamily,1,9/24/2018
77053,General Plan,1,9/24/2018
77099,Unrestricted Intended for Multifamily,1,9/24/2018
77377,Single Family Residential (Public Street),1,9/24/2018
77447,Unrestricted,1,9/24/2018
77447,Landscape or Open Space; Single Family Residential (Public Street),1,9/24/2018
77386,Commercial,1,9/24/2018
77493,Street Dedication,1,9/24/2018
77011,Unrestricted,1,9/24/2018
77025,Unrestricted,1,9/24/2018
77373,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,9/24/2018
77373,Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,9/24/2018
77040,Unrestricted,1,9/24/2018
77433,Single Family Residential (Public Street),1,9/24/2018
77433,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,9/24/2018
77433,Unrestricted; Street Dedication,1,9/24/2018
77429,Single Family Residential (Public Street),1,9/24/2018
77041,Unrestricted,1,9/24/2018
77011,Commercial,1,9/24/2018
77009,Single Family Residential (Public Street),1,9/24/2018
77377,Single Family Residential (PAE 1/PAE 2),1,9/24/2018
77018,Single Family Residential (PAE 1/PAE 2),1,9/24/2018
77007,Residential Guest Parking; Single Family Residential (Shared Driveways),1,9/24/2018
77075,Single Family Residential (Public Street),1,9/24/2018
77019,Unrestricted,1,9/24/2018
77373,Unrestricted,1,9/24/2018
77073,Street Dedication,1,9/24/2018
77023,Residential Guest Parking; Single Family Residential (Shared Driveways),1,9/24/2018
77008,Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways),1,9/24/2018
77004,Unrestricted,1,9/24/2018
77078,Unrestricted; Single Family Residential (Public Street); Street Dedication,1,9/24/2018
77055,Single Family Residential (PAE 1/PAE 2),1,9/24/2018
77079,Commercial,1,9/24/2018
77489,Unrestricted,1,9/24/2018
77038,Unrestricted,1,9/24/2018
77009,Single Family Residential (Public Street),1,9/24/2018
77057,Unrestricted,1,9/24/2018
77091,Drainage or Detention; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,9/24/2018
77084,Landscape or Open Space,1,9/24/2018
77494,Unrestricted,1,9/24/2018
77407,Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,9/24/2018
77407,Landscape or Open Space; Single Family Residential (Public Street),1,9/24/2018
77373,Unrestricted,1,9/24/2018
77406,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,9/24/2018
77027,Unrestricted,1,9/24/2018
77027,Unrestricted,1,9/24/2018
77084,Compensating Open Space; Single Family Residential (Public Street),1,9/24/2018
77406,Unrestricted,1,9/24/2018
77019,Single Family Residential (Shared Driveways),1,9/24/2018
77493,Recreation,1,9/24/2018
77084,Street Dedication,1,9/24/2018
77389,Unrestricted,1,9/24/2018
77076,Commercial,1,9/24/2018
77406,Commercial,1,9/24/2018
77021,Residential Guest Parking; Single Family Residential (Shared Driveways),1,9/24/2018
77093,Unrestricted,1,9/24/2018
77494,Commercial,1,9/24/2018
77048,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,9/24/2018
77009,Single Family Residential (Shared Driveways),1,9/24/2018
77406,Single Family Residential (Public Street),1,9/24/2018
77078,Commercial,1,9/24/2018
77091,Single Family Residential (Shared Driveways),1,9/24/2018
77020,Single Family Residential (Public Street),1,9/24/2018
77498,Unrestricted,1,9/24/2018
77091,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,9/24/2018
77018,Single Family Residential (Shared Driveways),1,9/24/2018
77084,Single Family Residential (Public Street),1,9/24/2018
77007,Single Family Residential (Public Street),1,9/24/2018
77379,Unrestricted,1,9/24/2018
77003,Single Family Residential (Shared Driveways),1,9/24/2018
77008,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways),1,9/24/2018
77008,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,9/24/2018
77008,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,9/24/2018
77338,Unrestricted,1,9/24/2018
77022,Single Family Residential (PAE 1/PAE 2),1,9/24/2018
77532,General Plan,1,9/24/2018
77532,Landscape or Open Space,1,9/24/2018
77389,Unrestricted,1,9/24/2018
77020,Single Family Residential (Shared Driveways),1,9/24/2018
77396,Street Dedication,1,9/24/2018
77377,Unrestricted,1,9/24/2018
77094,Unrestricted,1,9/24/2018
77007,Unrestricted,1,9/24/2018
77093,Unrestricted,1,9/24/2018
77365,Unrestricted,1,9/24/2018
77023,Commercial,1,9/24/2018
77021,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,9/24/2018
77447,"Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,9/24/2018
