Zip Code,Land Use,Count,Date
77396,"Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,4/25/2019
77034,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,4/25/2019
77004,Single Family Residential (Public Street),1,4/25/2019
77009,Single Family Residential (Public Street),1,4/25/2019
77054,Single Family Residential (PAE 1/PAE 2),1,4/25/2019
77018,Single Family Residential (Shared Driveways),1,4/25/2019
77044,Commercial,1,4/25/2019
77406,General Plan,1,4/25/2019
77026,Single Family Residential (Public Street),1,4/25/2019
77080,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,4/25/2019
77375,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,4/25/2019
77373,General Plan,1,4/25/2019
77433,Landscape or Open Space; Single Family Residential (Public Street),1,4/25/2019
77433,Landscape or Open Space; Single Family Residential (Public Street),1,4/25/2019
77433,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,4/25/2019
77433,Single Family Residential (Public Street),1,4/25/2019
77020,Single Family Residential (Public Street),1,4/25/2019
77020,Single Family Residential (Public Street),1,4/25/2019
77066,General Plan,1,4/25/2019
77047,Unrestricted,1,4/25/2019
77008,Single Family Residential (Public Street),1,4/25/2019
77007,Single Family Residential (Public Street),1,4/25/2019
77068,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,4/25/2019
77068,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,4/25/2019
77373,General Plan,1,4/25/2019
77373,"Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,4/25/2019
77088,Single Family Residential (Public Street),1,4/25/2019
77018,Commercial,1,4/25/2019
77030,Single Family Residential (Public Street),1,4/25/2019
77088,Single Family Residential (Public Street),1,4/25/2019
77003,Single Family Residential (Public Street),1,4/25/2019
77093,Unrestricted,1,4/25/2019
77090,Landscape or Open Space; Single Family Residential (Public Street),1,4/25/2019
77090,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,4/25/2019
77087,Unrestricted,1,4/25/2019
77498,Compensating Open Space; Single Family Residential (PAE 1/PAE 2),1,4/25/2019
77004,Single Family Residential (Shared Driveways),1,4/25/2019
77011,Commercial,1,4/25/2019
77009,Unrestricted Intended for Multifamily,1,4/25/2019
77018,Unrestricted,1,4/25/2019
77379,Commercial,1,4/25/2019
77336,Single Family Residential (Public Street),1,4/25/2019
77067,Unrestricted,1,4/25/2019
77018,Landscape or Open Space; Residential Guest Parking,1,4/25/2019
77346,Landscape or Open Space; Single Family Residential (Public Street),1,4/25/2019
77004,Single Family Residential (Shared Driveways),1,4/25/2019
77389,Compensating Open Space; Single Family Residential (PAE 1/PAE 2),1,4/25/2019
77389,Compensating Open Space; Single Family Residential (PAE 1/PAE 2),1,4/25/2019
77069,Unrestricted,1,4/25/2019
77008,Single Family Residential (Public Street),1,4/25/2019
77080,Residential Guest Parking; Single Family Residential (Shared Driveways),1,4/25/2019
77040,Single Family Residential (Public Street),1,4/25/2019
77006,Single Family Residential (Shared Driveways),1,4/25/2019
77088,Unrestricted,1,4/25/2019
77088,Unrestricted,1,4/25/2019
77091,Commercial; Single Family Residential (Public Street),1,4/25/2019
77494,Compensating Open Space; Single Family Residential (Public Street),1,4/25/2019
77493,Landscape or Open Space; Single Family Residential (Public Street),1,4/25/2019
77375,"Church, School and Institutional",1,4/25/2019
77449,Landscape or Open Space,1,4/25/2019
77021,Single Family Residential (PAE 1/PAE 2),1,4/25/2019
77098,Unrestricted,1,4/25/2019
77006,Unrestricted,1,4/25/2019
77003,Single Family Residential (Shared Driveways),1,4/25/2019
77029,Unrestricted,1,4/25/2019
77532,Landscape or Open Space; Single Family Residential (Public Street),1,4/25/2019
77532,Single Family Residential (Public Street),1,4/25/2019
77598,Street Dedication,1,4/25/2019
77019,Unrestricted,1,4/25/2019
77080,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,4/25/2019
77007,Unrestricted,1,4/25/2019
77021,Single Family Residential (Public Street),1,4/25/2019
77091,Single Family Residential (Public Street),1,4/25/2019
77365,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,4/25/2019
77064,Unrestricted,1,4/25/2019
77406,General Plan,1,4/25/2019
77055,Single Family Residential (Public Street),1,4/25/2019
77044,Unrestricted,1,4/25/2019
77085,Unrestricted; Street Dedication,1,4/25/2019
77055,Compensating Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,4/25/2019
77377,Unrestricted,1,4/25/2019
77080,Compensating Open Space; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,4/25/2019
77009,Single Family Residential (Public Street),1,4/25/2019
77090,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,4/25/2019
77433,General Plan,1,4/25/2019
