Zip Code,Land Use,Count,Date
77003,Single Family Residential (Public Street),1,1/14/2019
77377,Landscape or Open Space; Single Family Residential (Public Street),1,1/14/2019
77377,Landscape or Open Space; Single Family Residential (Public Street),1,1/14/2019
77053,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (Public Street),1,1/14/2019
77004,Single Family Residential (Public Street),1,1/14/2019
77089,Single Family Residential (Public Street),1,1/14/2019
77054,Compensating Open Space; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2); Other,1,1/14/2019
77396,Street Dedication,1,1/14/2019
77346,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street),1,1/14/2019
77022,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,1/14/2019
77090,Unrestricted,1,1/14/2019
77092,Unrestricted,1,1/14/2019
77056,Unrestricted,1,1/14/2019
77040,Unrestricted,1,1/14/2019
77433,Landscape or Open Space; Single Family Residential (Public Street),1,1/14/2019
77433,Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,1/14/2019
77380,Unrestricted,1,1/14/2019
77019,Unrestricted,1,1/14/2019
77494,Commercial,1,1/14/2019
77045,Unrestricted,1,1/14/2019
77489,Drainage or Detention; Single Family Residential (PAE 1/PAE 2),1,1/14/2019
77019,Unrestricted,1,1/14/2019
77055,Single Family Residential (Public Street),1,1/14/2019
77041,Unrestricted,1,1/14/2019
77377,Drainage or Detention; Landscape or Open Space,1,1/14/2019
77433,General Plan,1,1/14/2019
77009,Single Family Residential (Public Street),1,1/14/2019
77020,Unrestricted,1,1/14/2019
77004,Single Family Residential (Shared Driveways),1,1/14/2019
77388,Unrestricted,1,1/14/2019
77494,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,1/14/2019
77429,Single Family Residential (Public Street),1,1/14/2019
77339,Unrestricted,1,1/14/2019
77040,Unrestricted,1,1/14/2019
77003,Single Family Residential (Public Street),1,1/14/2019
77009,Single Family Residential (Public Street),1,1/14/2019
77493,Unrestricted,1,1/14/2019
77009,Unrestricted,1,1/14/2019
77049,Commercial,1,1/14/2019
77447,Unrestricted; Drainage or Detention,1,1/14/2019
77007,Single Family Residential (Public Street),1,1/14/2019
77449,General Plan,1,1/14/2019
77008,Single Family Residential (Public Street),1,1/14/2019
77029,Unrestricted,1,1/14/2019
77009,Unrestricted,1,1/14/2019
77011,Single Family Residential (Shared Driveways),1,1/14/2019
77073,Unrestricted; Landscape or Open Space,1,1/14/2019
77041,Single Family Residential (Public Street),1,1/14/2019
77433,Commercial,1,1/14/2019
77040,Unrestricted Intended for Multifamily,1,1/14/2019
77493,Recreation,1,1/14/2019
77339,Unrestricted,1,1/14/2019
77406,Unrestricted,1,1/14/2019
77077,Unrestricted; Residential Guest Parking; Single Family Residential (Shared Driveways),1,1/14/2019
77389,Unrestricted,1,1/14/2019
77055,Single Family Residential (Public Street),1,1/14/2019
77008,Unrestricted,1,1/14/2019
77009,Single Family Residential (Public Street),1,1/14/2019
77093,Unrestricted,1,1/14/2019
77406,General Plan,1,1/14/2019
77003,Unrestricted,1,1/14/2019
77377,Single Family Residential (PAE 1/PAE 2),1,1/14/2019
77035,Commercial,1,1/14/2019
77063,Unrestricted,1,1/14/2019
77532,Single Family Residential (Public Street),1,1/14/2019
77365,Recreation,1,1/14/2019
77018,Single Family Residential (Shared Driveways),1,1/14/2019
77532,Landscape or Open Space; Single Family Residential (Public Street),1,1/14/2019
77006,Single Family Residential (Public Street),1,1/14/2019
77011,Single Family Residential (Public Street),1,1/14/2019
77532,General Plan,1,1/14/2019
77532,Single Family Residential (PAE 1/PAE 2),1,1/14/2019
77033,Single Family Residential (Shared Driveways),1,1/14/2019
77336,Other,1,1/14/2019
77006,Single Family Residential (Public Street),1,1/14/2019
77006,Single Family Residential (Public Street),1,1/14/2019
77021,Single Family Residential (Public Street),1,1/14/2019
77078,General Plan,1,1/14/2019
77078,Drainage or Detention; Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,1/14/2019
77498,Compensating Open Space; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,1/14/2019
77005,Unrestricted,1,1/14/2019
77020,Unrestricted,1,1/14/2019
77008,Commercial,1,1/14/2019
77494,Unrestricted,1,1/14/2019
77014,Unrestricted,1,1/14/2019
77373,Unrestricted,1,1/14/2019
77084,Unrestricted,1,1/14/2019
77377,Unrestricted,1,1/14/2019
77009,Single Family Residential (Public Street),1,1/14/2019
77429,Unrestricted,1,1/14/2019
77093,Unrestricted,1,1/14/2019
77028,Single Family Residential (Public Street),1,1/14/2019
77377,General Plan,1,1/14/2019
77377,"Unrestricted; Church, School and Institutional",1,1/14/2019
77018,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,1/14/2019
77082,Commercial,1,1/14/2019
77336,General Plan,1,1/14/2019
77008,Unrestricted,1,1/14/2019
77027,Unrestricted Intended for Multifamily,1,1/14/2019
77494,Landscape or Open Space; Single Family Residential (Public Street),1,1/14/2019
77003,Single Family Residential (Shared Driveways),1,1/14/2019
