Zip Code,Land Use,Count,Date
77048,Commercial,1,5/9/2019
77377,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,5/9/2019
77377,Landscape or Open Space; Single Family Residential (Public Street),1,5/9/2019
77011,Unrestricted,1,5/9/2019
77346,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,5/9/2019
,Lift Station,1,5/9/2019
77406,General Plan,1,5/9/2019
77375,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,5/9/2019
77373,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,5/9/2019
77433,Landscape or Open Space; Single Family Residential (Public Street),1,5/9/2019
77433,Street Dedication,1,5/9/2019
77450,Unrestricted,1,5/9/2019
77066,General Plan,1,5/9/2019
77016,Unrestricted,1,5/9/2019
77009,Single Family Residential (Public Street),1,5/9/2019
77008,Single Family Residential (Public Street),1,5/9/2019
77019,Single Family Residential (Public Street),1,5/9/2019
77406,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,5/9/2019
77338,Unrestricted,1,5/9/2019
77084,Commercial,1,5/9/2019
77068,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,5/9/2019
77373,"Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,5/9/2019
77060,Drainage or Detention; Single Family Residential (PAE 1/PAE 2),1,5/9/2019
77447,Landscape or Open Space; Single Family Residential (Public Street),1,5/9/2019
77030,Single Family Residential (Public Street),1,5/9/2019
77091,Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,5/9/2019
77090,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,5/9/2019
77090,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,5/9/2019
77039,Commercial,1,5/9/2019
77498,Compensating Open Space; Single Family Residential (PAE 1/PAE 2),1,5/9/2019
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,5/9/2019
77493,Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,5/9/2019
77493,Landscape or Open Space; Single Family Residential (Public Street),1,5/9/2019
77433,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,5/9/2019
77011,Commercial,1,5/9/2019
77011,Single Family Residential (Public Street),1,5/9/2019
77407,Commercial,1,5/9/2019
77389,Compensating Open Space; Single Family Residential (PAE 1/PAE 2),1,5/9/2019
77389,Compensating Open Space; Single Family Residential (PAE 1/PAE 2),1,5/9/2019
77084,Unrestricted,1,5/9/2019
77449,Lift Station,1,5/9/2019
77066,Unrestricted,1,5/9/2019
77084,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,5/9/2019
77075,Single Family Residential (Public Street),1,5/9/2019
77006,Residential Guest Parking; Single Family Residential (Shared Driveways),1,5/9/2019
77429,Commercial,1,5/9/2019
77007,Single Family Residential (Public Street),1,5/9/2019
77091,Commercial; Single Family Residential (Public Street),1,5/9/2019
77493,Unrestricted,1,5/9/2019
77493,Landscape or Open Space; Single Family Residential (Public Street),1,5/9/2019
77339,Unrestricted,1,5/9/2019
77009,Unrestricted,1,5/9/2019
77375,"Church, School and Institutional",1,5/9/2019
77009,Single Family Residential (Public Street),1,5/9/2019
77009,Single Family Residential (Public Street),1,5/9/2019
77449,Commercial; Drainage or Detention,1,5/9/2019
77020,Single Family Residential (Public Street),1,5/9/2019
77020,Single Family Residential (Public Street),1,5/9/2019
77020,Single Family Residential (Public Street),1,5/9/2019
77021,Single Family Residential (PAE 1/PAE 2),1,5/9/2019
77098,Unrestricted,1,5/9/2019
77024,Single Family Residential (PAE 1/PAE 2),1,5/9/2019
77493,General Plan,1,5/9/2019
77006,Unrestricted,1,5/9/2019
77532,Single Family Residential (Public Street),1,5/9/2019
77006,Unrestricted,1,5/9/2019
77377,Unrestricted,1,5/9/2019
77049,General Plan,1,5/9/2019
77014,"Water Treatment, Production or Repressurization",1,5/9/2019
77018,Single Family Residential (Public Street),1,5/9/2019
77006,Unrestricted,1,5/9/2019
77009,Commercial,1,5/9/2019
77073,Unrestricted,1,5/9/2019
77093,Commercial,1,5/9/2019
77007,Single Family Residential (Public Street),1,5/9/2019
77407,Single Family Residential (Public Street),1,5/9/2019
77055,Compensating Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,5/9/2019
77055,Compensating Open Space; Drainage or Detention; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,5/9/2019
77065,Unrestricted,1,5/9/2019
77357,Landscape or Open Space,1,5/9/2019
77021,Single Family Residential (Public Street),1,5/9/2019
77048,Commercial,1,5/9/2019
77091,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,5/9/2019
77066,Compensating Open Space; Single Family Residential (Public Street),1,5/9/2019
77066,Single Family Residential (Public Street),1,5/9/2019
77007,Unrestricted,1,5/9/2019
77021,Single Family Residential (Public Street),1,5/9/2019
77007,Single Family Residential (Shared Driveways),1,5/9/2019
77068,General Plan,1,5/9/2019
77009,Single Family Residential (Public Street),1,5/9/2019
77004,Single Family Residential (Public Street); Single Family Residential (Shared Driveways),1,5/9/2019
77008,Unrestricted,1,5/9/2019
77008,Single Family Residential (Public Street),1,5/9/2019
77027,Unrestricted,1,5/9/2019
77057,Unrestricted,1,5/9/2019
77057,Unrestricted,1,5/9/2019
77018,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,5/9/2019
77375,Single Family Residential (PAE 1/PAE 2),1,5/9/2019
77433,Unrestricted; Single Family Residential (PAE 1/PAE 2),1,5/9/2019
77064,Unrestricted,1,5/9/2019
77447,Landscape or Open Space; Single Family Residential (Public Street),1,5/9/2019
77336,Single Family Residential (Public Street),1,5/9/2019
77339,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,5/9/2019
77375,Unrestricted,1,5/9/2019
77377,Unrestricted,1,5/9/2019
