STATE,ZIPCODE,AGI_STUB,N1,MARS2,PREP,N2,NUMDEP,A00100,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00900,A00900,SCHF,N01000,A01000,N01400,A01400,N01700,A01700,N02300,A02300,N02500,A02500,N03300,A03300,N04470,A04470,N18425,A18425,N18450,A18450,N18500,A18500,N18300,A18300,N19300,A19300,N19700,A19700,N04800,A04800,N07100,A07100,N07220,A07220,N07180,A07180,N07260,A07260,N59660,A59660,N59720,A59720,N11070,A11070,N09600,A09600,N06500,A06500,N10300,A10300,N11901,A11901,N11902,A11902
TX,0,0,11229245,4186321,5804318,23941128,9153812,669546212,9568683,482064708,3078945,7128015,1601356,12411384,1437560,8661126,2101564,27346382,225790,1326783,25915982,781838,14171027,1677200,34121559,674289,4784855,1003558,11993593,56301,1137728,2819594,66942629,122441,989771,2307002,4219877,2425624,12657704,2754506,18486144,2166539,18962058,2181582,13078547,8352615,463205334,3814185,5275528,2082566,2461623,525387,295548,258328,93006,2700200,6821751,2419992,5957904,2223631,3063668,239060,1072703,7054923,86293538,7955599,90810916,1742374,9027988,9062928,28697403
TX,75001,0,8535,1730,3911,13083,3085,558152,7418,435052,2568,9135,1703,17574,1556,10304,1498,22354,33,1538,10052,535,10512,805,13652,543,4153,514,6921,75,1211,2264,54502,207,1567,1748,3093,1700,9619,2161,14561,1468,14029,1740,10079,7213,419332,2306,4392,643,618,232,132,153,82,1076,2102,887,1856,806,1105,197,1153,6520,81499,6932,85044,1760,8544,6424,17648
TX,75002,0,28437,13865,10987,64737,25033,2212316,25249,1831594,11318,13093,6482,27371,5845,17745,5478,72261,240,5390,43675,2292,42873,3990,75385,1833,14549,2182,27668,173,2716,13129,296126,421,2800,10978,20687,12230,66000,12980,89996,11602,105315,10786,52108,23507,1586777,11546,15522,6525,9085,2202,1221,950,312,3307,7262,2811,6066,2840,3977,1033,3162,21277,287981,22762,300694,5534,25067,21904,65714
TX,75006,0,23164,7656,12605,50110,20381,1049190,19945,829152,5712,6741,3240,15489,2867,8438,4437,52481,71,2651,6763,1711,27967,2846,47778,1486,11069,1882,24238,92,1273,5339,96847,179,719,4409,6637,4638,17647,5233,25689,4188,29666,4132,16797,17094,660058,7896,7926,4164,4197,977,526,579,254,4919,12236,4342,10385,5722,8859,175,511,13792,104847,15756,112673,3599,10446,18807,53264
TX,75007,0,25466,10734,11711,52886,18637,1564849,22378,1282294,8769,8940,5017,16179,4441,9815,5089,66623,103,4035,16730,1958,33474,3438,58910,1722,13158,2087,25842,138,1924,9263,184977,231,1144,7824,13413,8430,36085,9109,52022,7891,61483,7530,36742,20347,1083887,9442,10713,4700,5685,1535,829,956,307,3920,8663,3331,7256,3296,4571,475,1282,17909,184540,19651,195473,5002,19047,19520,53553
TX,75009,0,3724,1968,1806,8990,3594,277579,3156,209867,1358,2337,691,3949,622,2175,853,15301,205,592,5153,324,7299,627,14035,222,1757,391,5327,0.0001,0.0001,1549,40271,59,338,1294,2425,1411,7922,1522,10869,1310,14679,1233,6452,2976,191825,1420,1766,856,1184,227,136,121,45,464,1095,394,907,514,798,144,586,2646,34366,2898,36676,748,4993,2829,9295
TX,75010,0,11285,4538,4942,22910,7876,782937,10266,668028,3898,3564,2042,6497,1840,4337,2164,32541,29,1730,5475,665,10568,1298,18778,778,6149,615,7737,75,1336,4139,90173,191,1032,3364,6500,3604,19179,4060,27167,3460,32045,3335,15671,9515,563774,4310,5330,2124,2657,809,459,303,90,1452,3087,1244,2487,1069,1338,310,982,8586,101388,9235,106506,2288,9245,8649,24254
TX,75013,0,14468,8278,5965,35194,13671,1733950,12791,1430276,7733,14969,5257,23409,4857,14417,2813,56686,93,4743,33310,1289,29931,2006,45537,841,6954,1084,15860,179,3516,8237,224105,430,4088,6978,15744,7680,58280,8156,79110,7252,83212,7062,34584,12592,1344435,6115,9277,2743,3684,1418,751,470,169,906,1728,739,1371,691,873,1528,5159,11848,285239,12339,294024,3691,24531,10094,36457
TX,75019,0,18687,9261,8520,41649,15688,2202504,16591,1686854,9196,16045,6405,40181,5887,28136,3724,80691,136,5684,92696,1647,35682,2404,48047,1037,8200,1297,18415,316,6840,9285,270370,435,4274,7938,17441,8534,67503,9206,91759,7752,79757,8095,69796,15837,1724748,7602,10420,3084,3994,1388,743,806,277,1358,2612,1122,2176,1078,1418,1795,6603,14742,377202,15468,390179,4641,31912,12945,48251
TX,75020,0,9458,3612,5023,18765,6168,409896,7728,285461,2366,4611,1215,5953,1104,3414,1438,17465,154,991,4039,984,14049,1971,37496,614,4501,1348,13829,27,362,1699,39559,103,409,1416,2264,1469,5403,1664,8250,1153,8426,1265,7020,6856,252672,2677,2713,1515,1682,304,154,208,61,2366,5500,2113,4957,1699,2157,60,143,5947,40631,6562,43324,1374,5280,7641,20352
TX,75021,0,3824,1601,2212,7561,2304,161412,3051,113024,994,1861,515,5345,463,2516,669,6549,183,425,955,390,5375,821,15123,272,1882,576,5796,0.0001,0.0001,682,15489,57,174,549,796,567,1941,669,3037,464,3433,461,2152,2812,97483,1035,1018,566,653,110,56,97,56,898,2060,801,1843,622,796,24,131,2466,14160,2738,15246,574,1626,3088,8761
TX,75022,0,9442,5702,4405,23590,9652,1458563,8298,1032462,5433,13034,3840,26490,3557,18021,1927,48566,98,3395,161084,957,27278,1320,31168,492,3946,775,12178,146,3064,5802,182629,315,3735,4965,11817,5521,45480,5770,61736,5154,65511,5182,34940,7969,1171256,3970,6975,1661,2300,710,366,427,122,386,711,311,557,370,511,1164,4684,7537,257353,7849,263965,2459,24017,6442,27672
TX,75023,0,22814,9550,9225,45024,14324,1489452,19572,1168524,8852,12010,5421,27237,4862,15155,4420,63407,104,4393,18642,2345,48103,3626,69674,1522,12212,2523,34828,185,2918,8005,158386,302,1474,6609,11374,7168,28725,7859,43496,6510,49919,6561,29199,18753,1070612,8029,9310,3698,4608,1198,686,783,252,2844,6107,2408,5173,2215,3021,418,1302,16963,184112,18215,194109,4654,18223,17120,45726
TX,75024,0,18412,8193,8251,38020,12567,1958341,16410,1550994,8300,17591,5452,41494,4976,25297,3313,56114,50,4992,100290,1251,31646,1914,35813,1029,8048,989,14478,236,5319,7461,197267,671,6755,5934,13269,6270,42618,7299,63646,5806,65612,6020,32404,16254,1551556,6949,11895,2815,3502,1240,646,465,167,1210,2118,967,1695,819,990,1279,4647,15287,324889,15913,334855,4513,29533,13026,43502
TX,75025,0,23436,11947,9049,52944,19725,2207435,20643,1845641,11565,16412,7919,32258,7302,19715,4400,70429,66,6966,63705,1923,39397,3017,56828,1423,11966,1664,23447,228,3918,10699,237442,582,3460,8900,18270,9811,54149,10581,78530,9091,80103,9104,42777,19877,1695886,9756,13945,4493,5991,1866,944,881,258,1895,3581,1538,2883,1301,1588,1401,3780,18463,333927,19440,344838,5668,35567,16579,50654
