Zip Code,Size of adjusted gross income,Number of returns,Real estate taxes,Mortgage interest paid,Total Charitable Contributions,Taxable income,Income tax
,,,Amount,Amount,Amount,Amount,Amount
,,-1,-37,-41,-43,-45,-63
0,Total,11229245,12657704,18962058,13078547,463205334,86293538
0,"$1 under $25,000",4741176,513268,816306,299610,11760627,960205
0,"$25,000 under $50,000",2756676,1246656,2231957,990058,50231544,4916233
0,"$50,000 under $75,000",1391070,1605869,2858032,1312321,55576511,6908497
0,"$75,000 under $100,000",850681,1637636,2817970,1358288,52372195,7150191
0,"$100,000 under $200,000",1104679,3975773,6236156,3382215,114982085,20090924
0,"$200,000 or more",384963,3678502,4001637,5736055,178282372,46267488
,,,,,,,
75001,,8535,9619,14029,10079,419332,81499
75001,"$1 under $25,000",2644,562,729,254,9908,831
75001,"$25,000 under $50,000",2442,812,1223,668,56677,6578
75001,"$50,000 under $75,000",1426,1264,2460,1003,65105,9919
75001,"$75,000 under $100,000",720,1139,1757,837,49204,8525
75001,"$100,000 under $200,000",938,2903,4518,2176,104054,20648
75001,"$200,000 or more",365,2939,3342,5141,134384,34998
,,,,,,,
75002,,28437,66000,105315,52108,1586777,287981
75002,"$1 under $25,000",8616,2146,3378,902,23581,2031
75002,"$25,000 under $50,000",5064,5261,8877,2985,94425,9284
75002,"$50,000 under $75,000",3741,8149,14124,4659,147547,17931
75002,"$75,000 under $100,000",3431,10222,17342,6616,206577,27131
75002,"$100,000 under $200,000",5954,26421,42464,21584,614494,105361
75002,"$200,000 or more",1631,13801,19130,15362,500153,126243
,,,,,,,
75006,,23164,17647,29666,16797,660058,104847
75006,"$1 under $25,000",9935,1231,2138,703,25506,2037
75006,"$25,000 under $50,000",6622,2864,5279,1929,115836,11115
75006,"$50,000 under $75,000",2854,3337,6370,2717,116840,15362
75006,"$75,000 under $100,000",1570,2998,5196,2682,99834,14617
75006,"$100,000 under $200,000",1811,5336,8440,5979,191221,34253
75006,"$200,000 or more",372,1881,2243,2787,110821,27463
,,,,,,,
75007,,25466,36085,61483,36742,1083887,184540
75007,"$1 under $25,000",8589,1542,2831,860,22582,1880
75007,"$25,000 under $50,000",5947,4234,8195,2963,110363,10862
75007,"$50,000 under $75,000",3584,5936,11179,4344,142999,18056
75007,"$75,000 under $100,000",2625,5829,10538,5156,162462,22589
75007,"$100,000 under $200,000",3814,13023,21714,12639,400917,70550
75007,"$200,000 or more",907,5521,7026,10780,244564,60603
,,,,,,,
75009,,3724,7922,14679,6452,191825,34366
75009,"$1 under $25,000",1199,397,539,176,3003,258
75009,"$25,000 under $50,000",741,597,1088,345,13045,1245
75009,"$50,000 under $75,000",495,827,1773,522,18230,2071
75009,"$75,000 under $100,000",417,1081,2265,754,24751,3208
75009,"$100,000 under $200,000",661,3142,5895,2516,67324,11352
75009,"$200,000 or more",211,1878,3119,2139,65472,16232
,,,,,,,
75010,,11285,19179,32045,15671,563774,101388
