"ZIP
code [1]",Size of adjusted gross income,Number of returns,Real estate taxes,Mortgage interest paid,Total Charitable Contributions,Taxable income,Income tax
,,,,,,,
,,-1,-60,-64,-66,-68,-100
0,Total,11730370,12869486,15928383,14857460,528956740,104335892
0,"$1 under $25,000",4772560,427613,581113,290592,10948046,936321
0,"$25,000 under $50,000",2833340,1068489,1640706,1028208,50274107,4992682
0,"$50,000 under $75,000",1469910,1433871,2154964,1336957,58311090,7228723
0,"$75,000 under $100,000",920950,1527986,2230399,1390983,56699023,7728273
0,"$100,000 under $200,000",1266910,4186805,5488781,3751476,133990571,23116750
0,"$200,000 or more",466700,4224722,3832420,7059244,218733903,60333143
,,,,,,,
75001,,9110,10206,11913,17155,561572,119287
75001,"$1 under $25,000",2500,374,427,283,8732,748
75001,"$25,000 under $50,000",2540,673,895,809,58599,6906
75001,"$50,000 under $75,000",1580,1066,1557,972,72765,11136
75001,"$75,000 under $100,000",890,1175,1767,1041,61345,10641
75001,"$100,000 under $200,000",1090,3036,3818,2378,123158,23838
75001,"$200,000 or more",510,3882,3449,11672,236973,66018
,,,,,,,
75002,,28990,63527,84196,55254,1778468,341413
75002,"$1 under $25,000",8630,1980,2476,939,22338,1987
75002,"$25,000 under $50,000",5130,4172,6090,2574,93915,9494
75002,"$50,000 under $75,000",3690,6732,9773,4291,144613,17550
75002,"$75,000 under $100,000",3260,8462,11738,6264,197456,26127
75002,"$100,000 under $200,000",6260,26139,34325,21739,653444,110542
75002,"$200,000 or more",2020,16042,19794,19447,666702,175713
,,,,,,,
75006,,23460,15725,22933,17970,731714,119700
75006,"$1 under $25,000",9290,811,1426,590,23062,1903
75006,"$25,000 under $50,000",6950,2208,3903,2270,121149,12114
75006,"$50,000 under $75,000",3050,2723,4478,2529,122515,15837
75006,"$75,000 under $100,000",1690,2544,3730,2663,106876,15731
75006,"$100,000 under $200,000",2030,5266,7160,6181,217186,38518
75006,"$200,000 or more",450,2173,2236,3737,140926,35597
,,,,,,,
75007,,26020,31566,45949,37388,1170684,203896
75007,"$1 under $25,000",8710,1228,1971,807,22350,1937
75007,"$25,000 under $50,000",6050,3208,5993,2567,111063,11167
75007,"$50,000 under $75,000",3550,4824,7458,4111,143758,18244
75007,"$75,000 under $100,000",2620,4826,7504,4602,164204,23035
75007,"$100,000 under $200,000",4090,12207,17231,13752,434013,75230
75007,"$200,000 or more",1000,5273,5792,11549,295296,74283
,,,,,,,
75009,,4140,8424,13316,7392,239648,45942
75009,"$1 under $25,000",1270,249,325,161,3062,281
75009,"$25,000 under $50,000",780,597,1035,433,12761,1213
75009,"$50,000 under $75,000",510,780,1178,584,19049,2178
75009,"$75,000 under $100,000",460,1146,1959,874,26946,3318
75009,"$100,000 under $200,000",850,3628,5844,3112,87560,14674
75009,"$200,000 or more",270,2024,2975,2228,90270,24278
,,,,,,,
75010,,12210,19673,27144,19843,679181,127733
75010,"$1 under $25,000",3290,512,777,267,9170,775
75010,"$25,000 under $50,000",2890,1575,2417,1479,59244,6246
75010,"$50,000 under $75,000",1890,2188,3425,1654,78795,10439
75010,"$75,000 under $100,000",1320,2638,3841,2232,83217,11920
75010,"$100,000 under $200,000",2100,7717,10216,7264,221126,38330
75010,"$200,000 or more",720,5043,6468,6947,227629,60023
,,,,,,,
75013,,15730,65221,72948,40190,1628001,357852
75013,"$1 under $25,000",3440,999,1119,353,8159,730
75013,"$25,000 under $50,000",1940,2106,2445,1042,38732,4116
75013,"$50,000 under $75,000",1510,3240,4058,1605,60967,7795
75013,"$75,000 under $100,000",1430,5620,6556,2668,86136,11644
75013,"$100,000 under $200,000",4550,27002,31203,13969,500895,87227
75013,"$200,000 or more",2860,26254,27567,20553,933112,246340
,,,,,,,
75019,,19340,68091,64904,66805,1914239,437214
75019,"$1 under $25,000",4840,1098,1110,381,12253,1076
75019,"$25,000 under $50,000",2940,2413,2724,1395,60673,6589
75019,"$50,000 under $75,000",2170,4410,4513,2425,89123,11749
75019,"$75,000 under $100,000",1770,5375,5803,3180,109951,15436
75019,"$100,000 under $200,000",4640,25563,24779,15307,510600,89390
75019,"$200,000 or more",2980,29232,25975,44117,1131639,312974
,,,,,,,
75020,,9520,4995,6081,6570,266056,43946
75020,"$1 under $25,000",4380,312,294,206,10628,966
75020,"$25,000 under $50,000",2520,656,787,746,44117,4513
75020,"$50,000 under $75,000",1150,716,948,849,45794,5681
75020,"$75,000 under $100,000",630,683,930,1002,38220,4982
75020,"$100,000 under $200,000",680,1684,2127,1902,69445,11604
75020,"$200,000 or more",160,944,995,1865,57852,16200
,,,,,,,
75021,,3700,1791,2521,2197,101247,15187
75021,"$1 under $25,000",1580,116,183,117,3653,338
75021,"$25,000 under $50,000",990,239,436,299,17002,1758
75021,"$50,000 under $75,000",490,272,393,314,19103,2303
75021,"$75,000 under $100,000",320,312,494,382,20202,2700
75021,"$100,000 under $200,000",270,461,730,797,27291,4458
75021,"$200,000 or more",50,391,285,288,13996,3630
,,,,,,,
75022,,9690,46236,53222,41035,1286590,307738
75022,"$1 under $25,000",2480,589,603,215,5530,533
75022,"$25,000 under $50,000",840,1318,1187,590,15924,1713
75022,"$50,000 under $75,000",650,2035,2313,1204,24111,2920
75022,"$75,000 under $100,000",700,3062,3681,1593,40702,5322
75022,"$100,000 under $200,000",2890,17750,22136,11104,317379,54998
75022,"$200,000 or more",2130,21482,23302,26329,882944,242252
,,,,,,,
75023,,22820,26825,37606,28506,1118435,195340
75023,"$1 under $25,000",7040,1310,1818,676,18811,1637
75023,"$25,000 under $50,000",4950,2768,4239,2059,96022,10022
75023,"$50,000 under $75,000",3410,3795,6114,3091,140867,18172
75023,"$75,000 under $100,000",2430,4279,6367,3546,153704,21772
75023,"$100,000 under $200,000",4030,10476,14664,11459,433124,75697
75023,"$200,000 or more",960,4197,4404,7675,275907,68040
,,,,,,,
75024,,18830,44557,51836,38642,1826752,414280
75024,"$1 under $25,000",4050,887,1141,421,11858,1048
75024,"$25,000 under $50,000",3270,1728,2238,1008,73850,8396
75024,"$50,000 under $75,000",2780,2759,3756,1746,120356,16730
75024,"$75,000 under $100,000",2050,3905,5115,2629,130399,19079
75024,"$100,000 under $200,000",4280,16556,20118,10258,474441,84264
75024,"$200,000 or more",2400,18722,19468,22580,1015848,284763
,,,,,,,
75025,,23580,52148,61974,42624,1817373,361747
75025,"$1 under $25,000",6130,1215,1569,545,14939,1334
75025,"$25,000 under $50,000",3660,2737,3694,1815,72912,7614
75025,"$50,000 under $75,000",2660,4082,5558,2558,109852,14181
75025,"$75,000 under $100,000",2420,5951,7845,3653,150439,20506
75025,"$100,000 under $200,000",6100,23232,28093,16617,672665,117112
75025,"$200,000 or more",2610,14931,15215,17436,796566,201000
,,,,,,,
75028,,19820,54075,70686,44823,1515405,302759
75028,"$1 under $25,000",5190,1056,1326,513,13302,1204
75028,"$25,000 under $50,000",2620,2532,3472,1612,51455,5435
75028,"$50,000 under $75,000",2200,4180,6079,2683,87340,10851
75028,"$75,000 under $100,000",2170,6165,8656,4383,131765,17541
75028,"$100,000 under $200,000",5600,25160,33237,18595,601696,103511
75028,"$200,000 or more",2040,14982,17916,17037,629847,164217
,,,,,,,
75032,,13010,34851,47375,37082,1061634,236368
75032,"$1 under $25,000",3930,1023,1261,548,8946,789
75032,"$25,000 under $50,000",2160,1859,2650,1369,38200,3853
75032,"$50,000 under $75,000",1560,2895,4099,2221,60309,7334
75032,"$75,000 under $100,000",1370,3675,5339,2604,82554,10943
75032,"$100,000 under $200,000",2510,11434,16490,8855,264166,44941
75032,"$200,000 or more",1480,13965,17536,21485,607459,168508
,,,,,,,
75034,,24330,87250,106908,80286,2646938,633095
