Zip Code,Size of adjusted gross income,Number of returns,Real Estates,Mortgage,Charity,Taxable income,Income tax,Year
,,,Amount,Amount,Amount,Amount,Amount,2014
,,-1,-63,-67,-69,-71,-113,2014
0,Total,11841170,13585202,15345358,15705695,584343290,117308035,2014
0,"$1 under $25,000",4617350,385578,479554,263650,10806017,937338,2014
0,"$25,000 under $50,000",2869540,998573,1397279,1011225,51054723,5107142,2014
0,"$50,000 under $75,000",1521650,1414501,1939689,1344751,60302416,7497121,2014
0,"$75,000 under $100,000",949530,1519459,2028615,1391155,58437898,7992868,2014
0,"$100,000 under $200,000",1356690,4430836,5404707,3912686,143971640,24680246,2014
0,"$200,000 or more",526410,4836255,4095514,7782228,259770596,71093320,2014
,,,,,,,,2014
75001,,9350,10134,10189,22403,734457,160314,2014
75001,"$1 under $25,000",2310,351,335,241,8228,690,2014
75001,"$25,000 under $50,000",2610,470,573,690,61018,7190,2014
75001,"$50,000 under $75,000",1700,1317,1144,1001,78853,11988,2014
75001,"$75,000 under $100,000",940,1047,1260,1142,64709,11075,2014
75001,"$100,000 under $200,000",1210,2819,3505,2131,135856,26190,2014
75001,"$200,000 or more",580,4130,3372,17198,385793,103181,2014
,,,,,,,,2014
75002,,29400,66600,79839,58829,1898932,369794,2014
75002,"$1 under $25,000",8720,1754,1933,811,22746,1986,2014
75002,"$25,000 under $50,000",5100,4070,5155,2518,93489,9510,2014
75002,"$50,000 under $75,000",3630,6636,8360,4337,142534,17401,2014
75002,"$75,000 under $100,000",3220,8356,10618,5793,195250,26105,2014
75002,"$100,000 under $200,000",6450,27530,32586,21989,681770,115047,2014
75002,"$200,000 or more",2280,18254,21187,23381,763143,199745,2014
,,,,,,,,2014
75006,,23830,15095,20730,18677,788431,130186,2014
75006,"$1 under $25,000",9010,755,1200,618,23236,1979,2014
75006,"$25,000 under $50,000",7130,1940,3214,2094,125452,12582,2014
75006,"$50,000 under $75,000",3240,2520,3857,2873,130717,16998,2014
75006,"$75,000 under $100,000",1720,2342,3523,2280,109403,15969,2014
75006,"$100,000 under $200,000",2220,5396,6765,7005,239114,42025,2014
75006,"$200,000 or more",510,2142,2171,3807,160509,40633,2014
,,,,,,,,2014
75007,,26070,31984,41171,37738,1250224,221659,2014
75007,"$1 under $25,000",8390,1289,1850,788,21438,1848,2014
75007,"$25,000 under $50,000",6090,2912,4590,2470,114526,11823,2014
75007,"$50,000 under $75,000",3550,4521,6678,3785,143614,18430,2014
75007,"$75,000 under $100,000",2670,4966,6705,4600,167059,23262,2014
75007,"$100,000 under $200,000",4250,12376,15600,13631,456185,78844,2014
75007,"$200,000 or more",1120,5920,5748,12464,347402,87452,2014
,,,,,,,,2014
75009,,4410,9470,13858,8662,299123,57911,2014
75009,"$1 under $25,000",1280,249,327,110,2826,246,2014
75009,"$25,000 under $50,000",820,568,803,429,13547,1294,2014
75009,"$50,000 under $75,000",560,779,1172,473,21122,2403,2014
75009,"$75,000 under $100,000",460,1153,1779,841,26735,3318,2014
75009,"$100,000 under $200,000",910,3883,5935,3388,94394,15614,2014
75009,"$200,000 or more",380,2838,3842,3421,140499,35036,2014
,,,,,,,,2014
75010,,12680,20961,26632,20654,736961,138195,2014
75010,"$1 under $25,000",3320,506,676,237,9418,825,2014
75010,"$25,000 under $50,000",2940,1395,1895,1230,60898,6467,2014
75010,"$50,000 under $75,000",1980,2287,3176,1834,81988,10886,2014
75010,"$75,000 under $100,000",1370,2695,3589,2555,85270,12248,2014
75010,"$100,000 under $200,000",2270,8420,10558,7547,242456,42051,2014
75010,"$200,000 or more",800,5658,6738,7251,256931,65718,2014
,,,,,,,,2014
75013,,16260,69775,72070,44473,1807277,405460,2014
75013,"$1 under $25,000",3610,1023,946,360,8504,769,2014
75013,"$25,000 under $50,000",1930,1969,2041,945,38320,4068,2014
75013,"$50,000 under $75,000",1480,3339,3263,1723,59548,7571,2014
75013,"$75,000 under $100,000",1450,5191,5453,2631,88418,12205,2014
75013,"$100,000 under $200,000",4600,28459,30553,13682,509275,88319,2014
75013,"$200,000 or more",3190,29794,29814,25132,1103212,292528,2014
,,,,,,,,2014
75019,,19740,70330,61957,61762,2332551,526157,2014
75019,"$1 under $25,000",4820,1205,1155,386,12251,1122,2014
75019,"$25,000 under $50,000",3040,2318,2340,1449,63753,6963,2014
75019,"$50,000 under $75,000",2200,4178,3902,2317,90607,11983,2014
75019,"$75,000 under $100,000",1740,4885,4808,2897,108758,15522,2014
75019,"$100,000 under $200,000",4710,25505,23637,15522,519829,90494,2014
75019,"$200,000 or more",3230,32239,26115,39191,1537353,400073,2014
,,,,,,,,2014
75020,,9700,5056,5456,7709,299950,51048,2014
75020,"$1 under $25,000",4320,285,273,301,10285,933,2014
75020,"$25,000 under $50,000",2560,589,635,614,45355,4608,2014
75020,"$50,000 under $75,000",1230,679,790,885,48586,5932,2014
75020,"$75,000 under $100,000",670,687,819,1104,40449,5238,2014
75020,"$100,000 under $200,000",730,1757,1957,2299,73901,12156,2014
75020,"$200,000 or more",190,1059,982,2506,81374,22181,2014
,,,,,,,,2014
75021,,3670,1712,2083,2170,104894,16303,2014
75021,"$1 under $25,000",1540,143,130,145,3426,327,2014
75021,"$25,000 under $50,000",980,183,238,276,17054,1760,2014
75021,"$50,000 under $75,000",500,227,374,403,20486,2544,2014
75021,"$75,000 under $100,000",330,294,403,383,20254,2716,2014
