Zip Code,Size of adjusted gross income,Number of returns,Real Estates,Mortgage,Charity,Taxable income,Income tax,Year
,,,,,,,,2015
,,-1,-67,-71,-73,-75,-117,2015
0,Total,11991090,14758360,15660788,16315375,591629040,118253353,2015
0,"$1 under $25,000",4579490,416043,466777,289170,10588206,926528,2015
0,"$25,000 under $50,000",2931350,1039409,1345495,1092538,51524170,5166807,2015
0,"$50,000 under $75,000",1546870,1477656,1894565,1427352,60826281,7568201,2015
0,"$75,000 under $100,000",961080,1581986,1977906,1441614,58900415,8097644,2015
0,"$100,000 under $200,000",1418900,4870951,5604993,4179332,150241572,25653179,2015
0,"$200,000 or more",553400,5372315,4371052,7885369,259548396,70840994,2015
,,,,,,,,2015
75001,,9480,10931,10016,19847,758963,163176,2015
75001,"$1 under $25,000",2300,498,311,205,7999,688,2015
75001,"$25,000 under $50,000",2490,481,529,858,57681,6773,2015
75001,"$50,000 under $75,000",1740,954,1035,1122,80587,12141,2015
75001,"$75,000 under $100,000",1050,1043,1282,1128,72289,12403,2015
75001,"$100,000 under $200,000",1330,3229,3586,2420,150346,28971,2015
75001,"$200,000 or more",570,4726,3273,14114,390061,102200,2015
,,,,,,,,2015
75002,,29910,72191,78175,63261,2033154,402731,2015
75002,"$1 under $25,000",8850,1741,1898,833,22953,2077,2015
75002,"$25,000 under $50,000",5100,3936,4355,2511,94198,9717,2015
75002,"$50,000 under $75,000",3640,6929,7826,4215,142009,17423,2015
75002,"$75,000 under $100,000",3150,8429,9762,5796,190597,25479,2015
75002,"$100,000 under $200,000",6660,29421,31904,23792,706851,119393,2015
75002,"$200,000 or more",2510,21735,22430,26114,876546,228642,2015
,,,,,,,,2015
75006,,24470,15968,20150,20543,843030,142638,2015
75006,"$1 under $25,000",8890,735,1027,623,22484,1929,2015
75006,"$25,000 under $50,000",7490,1982,2946,2405,132264,13404,2015
75006,"$50,000 under $75,000",3390,2628,3663,3093,136558,17774,2015
75006,"$75,000 under $100,000",1800,2459,3172,2403,113912,16761,2015
75006,"$100,000 under $200,000",2330,5637,6950,7065,249536,43785,2015
75006,"$200,000 or more",570,2527,2392,4954,188276,48985,2015
,,,,,,,,2015
75007,,26100,32858,40150,37452,1325388,240078,2015
75007,"$1 under $25,000",8290,1441,1723,844,20956,1835,2015
75007,"$25,000 under $50,000",5930,2816,4004,2428,109759,11350,2015
75007,"$50,000 under $75,000",3630,4652,6001,4067,146691,18836,2015
75007,"$75,000 under $100,000",2610,4597,6261,4642,163034,22946,2015
75007,"$100,000 under $200,000",4460,13174,16322,14381,478128,82646,2015
75007,"$200,000 or more",1180,6178,5839,11090,406820,102465,2015
,,,,,,,,2015
75009,,5010,12627,17351,10876,371470,73754,2015
75009,"$1 under $25,000",1350,288,341,109,3012,277,2015
75009,"$25,000 under $50,000",850,659,802,499,14280,1423,2015
75009,"$50,000 under $75,000",590,1047,1411,784,21357,2423,2015
75009,"$75,000 under $100,000",550,1518,2076,1030,31654,3918,2015
75009,"$100,000 under $200,000",1210,5661,7797,4325,125497,20821,2015
75009,"$200,000 or more",460,3454,4924,4129,175670,44892,2015
,,,,,,,,2015
75010,,13570,24162,29304,23683,817403,156836,2015
75010,"$1 under $25,000",3690,652,763,385,9865,841,2015
75010,"$25,000 under $50,000",3010,1538,1876,1229,61780,6661,2015
75010,"$50,000 under $75,000",2030,2372,2870,2069,84347,11310,2015
75010,"$75,000 under $100,000",1420,2987,3905,2394,88376,12966,2015
75010,"$100,000 under $200,000",2470,9726,11863,8300,262536,45347,2015
75010,"$200,000 or more",950,6887,8027,9306,310499,79711,2015
,,,,,,,,2015
75013,,17190,78028,74912,47802,1941009,434324,2015
75013,"$1 under $25,000",3820,1161,865,439,8953,836,2015
75013,"$25,000 under $50,000",2100,1962,1758,1062,41866,4518,2015
75013,"$50,000 under $75,000",1540,3390,3122,1656,62521,8078,2015
75013,"$75,000 under $100,000",1470,5539,5525,2529,88827,12443,2015
75013,"$100,000 under $200,000",4660,30067,30145,14346,519793,90441,2015
75013,"$200,000 or more",3600,35909,33497,27770,1219049,318008,2015
,,,,,,,,2015
75019,,20020,73885,61944,58988,2245936,517390,2015
75019,"$1 under $25,000",4710,1273,1034,371,11588,1032,2015
75019,"$25,000 under $50,000",2970,2435,2143,1586,60949,6671,2015
75019,"$50,000 under $75,000",2280,3874,3560,2498,93913,12501,2015
75019,"$75,000 under $100,000",1750,5035,4556,2985,109212,15652,2015
75019,"$100,000 under $200,000",4840,26232,23127,15710,533732,92561,2015
75019,"$200,000 or more",3470,35036,27524,35838,1436542,388973,2015
,,,,,,,,2015
75020,,9640,4948,6003,7226,311727,51474,2015
75020,"$1 under $25,000",4170,264,264,214,9983,919,2015
75020,"$25,000 under $50,000",2590,496,623,642,45495,4700,2015
75020,"$50,000 under $75,000",1190,558,799,778,47769,5940,2015
75020,"$75,000 under $100,000",710,743,820,1031,43061,5621,2015
75020,"$100,000 under $200,000",780,1818,2337,2121,79185,13005,2015
75020,"$200,000 or more",200,1069,1160,2440,86234,21289,2015
,,,,,,,,2015
75021,,3720,1777,2076,2271,111585,17528,2015
75021,"$1 under $25,000",1520,133,110,108,3655,352,2015
75021,"$25,000 under $50,000",990,175,252,236,17048,1766,2015
75021,"$50,000 under $75,000",530,285,325,369,20874,2593,2015
75021,"$75,000 under $100,000",300,245,387,382,18183,2413,2015
75021,"$100,000 under $200,000",320,555,741,790,32289,5290,2015
75021,"$200,000 or more",60,384,261,386,19536,5114,2015
,,,,,,,,2015
75022,,10330,53139,53022,42949,1565972,383164,2015
75022,"$1 under $25,000",2580,711,591,121,5962,548,2015
75022,"$25,000 under $50,000",910,1193,916,524,17544,1948,2015
75022,"$50,000 under $75,000",710,1944,1860,1109,27505,3472,2015
75022,"$75,000 under $100,000",670,2765,2834,1447,39846,5388,2015
75022,"$100,000 under $200,000",2870,18797,20654,11138,317958,54662,2015
75022,"$200,000 or more",2590,27729,26167,28610,1157157,317146,2015
,,,,,,,,2015
75023,,23240,28712,34090,28957,1200874,211631,2015
75023,"$1 under $25,000",6960,1377,1610,666,17292,1547,2015
75023,"$25,000 under $50,000",4970,2500,3148,1949,95946,10225,2015
75023,"$50,000 under $75,000",3380,3727,4960,2921,138380,17949,2015
75023,"$75,000 under $100,000",2480,4238,5579,3487,157179,22618,2015
75023,"$100,000 under $200,000",4310,11686,13941,12119,466855,80726,2015
75023,"$200,000 or more",1140,5184,4852,7815,325222,78566,2015
,,,,,,,,2015
75024,,19530,49149,48519,43702,2081485,473873,2015
75024,"$1 under $25,000",4080,981,896,378,11186,1017,2015
75024,"$25,000 under $50,000",3020,1642,1616,1065,67431,7607,2015
75024,"$50,000 under $75,000",2830,2669,2728,1834,124171,17399,2015
75024,"$75,000 under $100,000",2180,3325,3637,2499,139087,20477,2015
75024,"$100,000 under $200,000",4600,17411,18503,10093,510369,90136,2015
75024,"$200,000 or more",2820,23121,21139,27833,1229241,337237,2015
,,,,,,,,2015
75025,,23950,57344,56002,46733,1993700,407667,2015
75025,"$1 under $25,000",6230,1327,1460,605,15184,1355,2015
75025,"$25,000 under $50,000",3530,2562,2553,1763,69992,7459,2015
75025,"$50,000 under $75,000",2680,4642,4471,2597,109892,14207,2015
75025,"$75,000 under $100,000",2300,5443,6078,3449,143498,20046,2015
75025,"$100,000 under $200,000",6180,24916,25110,16694,682929,117829,2015
75025,"$200,000 or more",3030,18454,16330,21625,972205,246771,2015
,,,,,,,,2015
75028,,20380,58833,67657,52759,1676013,341732,2015
75028,"$1 under $25,000",5320,993,1083,483,12762,1187,2015
75028,"$25,000 under $50,000",2650,2364,2550,1388,52020,5610,2015
75028,"$50,000 under $75,000",2150,4151,5028,2647,85651,10751,2015
75028,"$75,000 under $100,000",2130,5778,7324,3884,129786,17742,2015
75028,"$100,000 under $200,000",5640,26146,31079,18963,613282,104881,2015
75028,"$200,000 or more",2490,19401,20593,25394,782512,201561,2015
,,,,,,,,2015
75032,,13740,40069,47628,45273,1219932,277913,2015
75032,"$1 under $25,000",4080,885,874,403,9108,819,2015
75032,"$25,000 under $50,000",2220,1815,2106,1261,39559,4052,2015
75032,"$50,000 under $75,000",1550,2782,3566,1879,59744,7256,2015
75032,"$75,000 under $100,000",1310,3461,4417,2552,78602,10690,2015
75032,"$100,000 under $200,000",2820,13560,17066,10727,299726,50840,2015
75032,"$200,000 or more",1760,17566,19599,28451,733193,204256,2015
,,,,,,,,2015
75034,,27660,110203,119567,93371,3325842,799391,2015
75034,"$1 under $25,000",6210,2122,2084,804,15472,1413,2015
75034,"$25,000 under $50,000",4450,3626,3870,2104,89142,9580,2015
75034,"$50,000 under $75,000",3170,5461,6300,3455,129956,17369,2015
75034,"$75,000 under $100,000",2600,7273,8602,4704,161321,23425,2015
75034,"$100,000 under $200,000",6420,36620,42979,21019,694982,120940,2015
75034,"$200,000 or more",4810,55101,55732,61285,2234969,626664,2015
,,,,,,,,2015
75035,,26740,85869,107919,54793,2158883,420269,2015
75035,"$1 under $25,000",6120,1715,1897,649,14938,1365,2015
75035,"$25,000 under $50,000",3390,3579,4602,2054,63640,6640,2015
75035,"$50,000 under $75,000",2930,6176,7784,3796,114888,14370,2015
75035,"$75,000 under $100,000",2830,8777,11505,5058,171237,23506,2015
75035,"$100,000 under $200,000",8170,40794,51540,22155,882505,150868,2015
75035,"$200,000 or more",3300,24828,30591,21081,911675,223520,2015
,,,,,,,,2015
75038,,15510,13400,11579,23475,1007859,224990,2015
75038,"$1 under $25,000",5660,259,417,332,15079,1181,2015
75038,"$25,000 under $50,000",4510,447,729,1962,83083,8453,2015
75038,"$50,000 under $75,000",2260,718,1038,1645,94833,12736,2015
75038,"$75,000 under $100,000",1230,976,1197,1225,78703,11604,2015
75038,"$100,000 under $200,000",1290,2856,2862,2964,134453,23579,2015
75038,"$200,000 or more",560,8144,5336,15347,601708,167437,2015
,,,,,,,,2015
75039,,9860,18305,19036,13717,898876,197615,2015
75039,"$1 under $25,000",1470,144,219,116,5119,436,2015
75039,"$25,000 under $50,000",1950,373,499,714,46938,5584,2015
75039,"$50,000 under $75,000",2050,732,819,1289,94114,14223,2015
75039,"$75,000 under $100,000",1350,1182,1477,1302,90933,14904,2015
75039,"$100,000 under $200,000",2000,5886,6723,3668,223155,41505,2015
75039,"$200,000 or more",1040,9988,9299,6628,438617,120963,2015
,,,,,,,,2015
75040,,28740,12695,18627,18732,706536,100073,2015
75040,"$1 under $25,000",12230,759,1421,647,28546,2448,2015
75040,"$25,000 under $50,000",8410,2296,3814,3149,138982,13505,2015
75040,"$50,000 under $75,000",3740,2659,4186,3248,143213,17284,2015
75040,"$75,000 under $100,000",2060,2382,3424,3319,126443,17260,2015
75040,"$100,000 under $200,000",2070,3907,5064,6827,210706,35427,2015
75040,"$200,000 or more",230,692,718,1542,58646,14149,2015
,,,,,,,,2015
75041,,13670,3810,5498,6284,257678,35124,2015
75041,"$1 under $25,000",6520,293,494,358,13525,1136,2015
75041,"$25,000 under $50,000",4250,750,1278,1137,64241,5845,2015
75041,"$50,000 under $75,000",1590,890,1421,1267,59983,7169,2015
75041,"$75,000 under $100,000",690,683,897,1116,41716,5551,2015
75041,"$100,000 under $200,000",560,925,1199,1952,56969,9586,2015
75041,"$200,000 or more",60,269,209,454,21244,5837,2015
,,,,,,,,2015
75042,,17500,3690,5452,5975,296211,39392,2015
75042,"$1 under $25,000",8870,343,558,393,19711,1661,2015
75042,"$25,000 under $50,000",5380,1010,1859,1391,80690,7639,2015
75042,"$50,000 under $75,000",1880,846,1375,1364,69183,8137,2015
75042,"$75,000 under $100,000",740,561,769,930,44723,6010,2015
75042,"$100,000 under $200,000",570,565,694,1254,57489,9731,2015
75042,"$200,000 or more",60,365,197,643,24415,6214,2015
,,,,,,,,2015
75043,,28290,18061,25513,27243,833249,125735,2015
75043,"$1 under $25,000",11170,1078,1821,994,27083,2297,2015
75043,"$25,000 under $50,000",8100,2560,4313,3527,141207,13939,2015
75043,"$50,000 under $75,000",3870,3184,4815,4526,149718,18458,2015
75043,"$75,000 under $100,000",2220,3156,4644,4611,134275,18255,2015
75043,"$100,000 under $200,000",2540,6275,8187,9685,257517,43137,2015
75043,"$200,000 or more",390,1808,1733,3900,123449,29649,2015
,,,,,,,,2015
75044,,20860,25220,26405,28790,956037,175103,2015
75044,"$1 under $25,000",7180,953,1188,443,18454,1672,2015
75044,"$25,000 under $50,000",5220,2315,2822,1887,96465,9999,2015
75044,"$50,000 under $75,000",3000,2938,3772,2666,121860,15746,2015
75044,"$75,000 under $100,000",1810,3191,3631,2847,113767,16222,2015
75044,"$100,000 under $200,000",2650,9053,8987,9399,283976,49206,2015
75044,"$200,000 or more",1000,6770,6005,11548,321515,82258,2015
,,,,,,,,2015
75048,,11130,24045,29004,19567,619545,106754,2015
75048,"$1 under $25,000",2960,603,709,320,7669,679,2015
75048,"$25,000 under $50,000",2100,1613,1990,1068,39499,4118,2015
75048,"$50,000 under $75,000",1560,2869,3627,1845,60591,7482,2015
75048,"$75,000 under $100,000",1280,3508,4326,2272,77554,10363,2015
75048,"$100,000 under $200,000",2610,11414,13751,8815,273930,46145,2015
75048,"$200,000 or more",620,4038,4601,5247,160302,37967,2015
,,,,,,,,2015
75050,,19370,6633,8103,16115,519404,82751,2015
75050,"$1 under $25,000",8120,264,480,779,19071,1573,2015
75050,"$25,000 under $50,000",6270,775,1189,3643,104696,10082,2015
75050,"$50,000 under $75,000",2490,1240,1681,3140,96032,12169,2015
75050,"$75,000 under $100,000",1140,1041,1426,1927,71672,10365,2015
75050,"$100,000 under $200,000",1140,2389,2612,3941,118505,20469,2015
75050,"$200,000 or more",210,924,715,2685,109428,28093,2015
,,,,,,,,2015
75051,,17070,3961,6023,9197,269218,33337,2015
75051,"$1 under $25,000",8410,298,511,934,17395,1399,2015
75051,"$25,000 under $50,000",5550,1038,1800,3422,83770,7470,2015
75051,"$50,000 under $75,000",1920,1121,1827,2180,68760,7806,2015
75051,"$75,000 under $100,000",710,589,986,1022,42169,5519,2015
75051,"$100,000 under $200,000",440,915,899,1290,41680,6769,2015
75051,"$200,000 or more",40,0,0,349,15444,4374,2015
,,,,,,,,2015
75052,,42710,40129,53910,54349,1365768,203875,2015
75052,"$1 under $25,000",15400,1947,3111,1763,37193,3097,2015
75052,"$25,000 under $50,000",11390,5857,8920,8303,196712,18874,2015
75052,"$50,000 under $75,000",6410,8043,11160,10551,242460,28990,2015
75052,"$75,000 under $100,000",4030,7689,10366,9002,241692,32528,2015
75052,"$100,000 under $200,000",4880,14006,17651,20042,488824,81426,2015
75052,"$200,000 or more",600,2587,2702,4688,158887,38960,2015
,,,,,,,,2015
75054,,5270,19141,23687,15291,361803,65029,2015
75054,"$1 under $25,000",1130,431,517,208,2835,249,2015
75054,"$25,000 under $50,000",680,877,1092,728,12527,1278,2015
75054,"$50,000 under $75,000",660,1799,2312,1507,25006,3073,2015
75054,"$75,000 under $100,000",680,3039,3879,2207,38647,5143,2015
75054,"$100,000 under $200,000",1710,9969,12363,7630,175860,29859,2015
75054,"$200,000 or more",410,3026,3524,3011,106928,25427,2015
,,,,,,,,2015
75056,,28590,59990,64853,46799,1854284,374866,2015
75056,"$1 under $25,000",7800,1335,1416,590,21764,1881,2015
75056,"$25,000 under $50,000",6540,3426,3845,2503,133206,14550,2015
75056,"$50,000 under $75,000",4260,4819,6026,3457,176753,23522,2015
75056,"$75,000 under $100,000",2860,6204,7297,4513,178706,25842,2015
75056,"$100,000 under $200,000",4910,21995,24613,14974,525422,91483,2015
75056,"$200,000 or more",2220,22211,21656,20762,818433,217588,2015
,,,,,,,,2015
75057,,6790,1581,2164,3322,178332,28532,2015
75057,"$1 under $25,000",2670,58,0,123,6767,603,2015
75057,"$25,000 under $50,000",2340,219,479,557,41918,4323,2015
75057,"$50,000 under $75,000",990,307,418,703,40108,5261,2015
75057,"$75,000 under $100,000",380,197,286,387,24770,3698,2015
75057,"$100,000 under $200,000",350,478,673,740,37172,6523,2015
75057,"$200,000 or more",60,322,308,812,27597,8124,2015
,,,,,,,,2015
75058,,1340,2646,3668,2838,73665,13328,2015
75058,"$1 under $25,000",430,0,0,0,1153,113,2015
75058,"$25,000 under $50,000",250,171,258,141,3850,393,2015
75058,"$50,000 under $75,000",150,242,386,190,5649,637,2015
75058,"$75,000 under $100,000",140,352,450,215,8031,995,2015
75058,"$100,000 under $200,000",290,1301,1835,963,29073,4616,2015
