"RegionName","StateName","RegionType","CBSA Title","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"United States",,"Country",,1,151,150.75,149.25,141.25,126.75,116,112,112.5,116.75,121.5,125.75,131,136.75,140,138.25,131.75,123.25,117.75,117.25,120,124.75,129.5,133,136,138.25,138.75,135.5,125.5,113,106.75,107.25,110.25,113.75,116.75,120,125,129.75,130.25,123,109.75,98.75,93.75,92.5,93.5,96,99.75,104.25,110,117,120.5,114.75,101.75,91.5,87.75,88,91.25,95.75,100.5,105.5,111.5,118.25,120,110.25,94.5,85.25,83.75,85.5,88.75,92.5,97.25,102.25,108,115,117,107.5,92.25,83.25,81.5,82.5,85.25,88.75,92.25,96,101.25,107.25,107.75,98,84.5,76.5,73.75,73.75,76
"Ada","ID","County","""Boise City, ID""",169,145,151.5,161.75,155,134.75,123.5,126.125,130.875,125.375,120.375,123.5,126.75,121.75,111.75,105.5,102.25,101.25,99,93.5,94.75,100,100,103,114.125,117.25,108.375,104.375,99.875,87.375,75.375,71.875,75.125,78.25,83.25,94.125,105.875,111.25,108.75,95.75,77.5,67.375,64.875,64.375,66.625,70.5,77,87.75,97.625,104,106.625,95.25,74,63.5,66.25,74.125,79,77.625,79.5,87.75,93.75,94.125,89,76.875,64.75,62,64,65,66.5,68.25,72.375,79.75,90,100,94.625,74.25,59.625,56,56.625,60.5,64.25,65.25,69.75,77.25,84,89.25,83,65.25,52.75,50.75,52,52.25,52
"Bay","FL","County","""Panama City, FL""",338,152.5,186.875,191.25,201.5,210,200.5,192.5,163.875,142.125,147.5,153,164.375,161.375,151.875,150.375,130.875,119.875,125.5,128,136.25,147.875,151.25,136.125,120,137,154.666666666667,158,164.75,154.5,138.75,133.25,128.75,123.25,126.25,139.125,152,152,150.25,159,161.25,144.125,125.5,125.75,128.75,124.375,133.875,143.375,137.875,139.75,137.25,127,125.25,126.5,126.375,121,117.25,121.5,130.875,141.25,148.625,148.75,139.875,133.25,125,113.75,110.5,111.875,111.75,117.375,130.75,137.5,141.5,149,151,146.5,140,129,119.125,119.125,124.625,126.125,120.375,116.5,125.125,132.5,127,123.75,118.75,107.5,98.25,95.125,101.5
"Lee","FL","County","""Cape Coral-Fort Myers, FL""",101,177,146.75,140.25,154.25,159.25,139.875,122.75,117.125,117.25,127.125,134,128.375,124.25,130.5,138.875,145.75,151.125,141.5,111.75,88.5,88.25,100,110.375,116.75,122.625,125.875,127.625,126,123.5,130.875,140.375,141.875,137.25,130.5,123,122.5,131,134.125,133.5,131.125,127.5,131.375,132,120.5,107,101.375,103.25,109.125,116.25,119.75,120,117.5,114.75,117.875,122.25,124.625,124.75,122.25,117.5,115.5,120.25,119,110.25,105.5,108.5,113.75,118,122.25,117.75,108.75,105.5,103.875,104.25,105.125,103,103.375,111.25,117.5,117,116.125,115.5,113.75,114,119.25,125.5,126.5,120.375,115,117.125,125.5,131.75,128
"Bell","TX","County","""Killeen-Temple, TX""",206,131,137.5,120.375,100.625,97.125,102.625,106.125,106.875,108.625,115.375,133,143.625,137.625,125.25,109.375,110.625,126.625,137.25,146.5,148,140.875,138,138.625,136.75,135.625,143,151,143.375,126.25,118.125,119,124.125,133.5,140.125,141.25,137.625,134.625,139.625,137.375,117.25,107.25,118,127,126.875,123.25,125,126.75,125,129.25,134.625,132.625,120.25,107.625,105.75,108,106.625,104.5,111.875,126,127.25,121.75,122.25,118,110.25,105.875,105.5,106.25,107.625,111.375,116.125,122.75,126,126.75,124.375,110.125,93.875,89.125,90.25,89.75,93.25,100.25,103.25,106.375,110.25,109.125,105.25,100,91.5,88.375,91.5,91.75,91.5
"Cass","ND","County","""Fargo, ND-MN""",363,200,147.625,138.125,157.375,151,121.25,107.375,109.75,114.75,118.875,115.75,104.833333333333,110.75,131.5,129.875,123.166666666667,115.75,107,102.375,109.25,127.625,139.75,128.625,126.5,147,149.75,141.25,131.375,108,92.375,88.5,84.6666666666667,81.5,84.8333333333333,89.75,96.625,111,138.375,147.375,114.375,82.625,74.75,71.375,71.25,74.875,74.75,75,83.375,98.5,108.875,97.5,76.25,70.25,71.75,69.375,70.25,73.875,72.5,66.5,66.5,80.375,89,81.5,74,69.125,66.25,67.875,71,72.75,73.25,76.125,80.625,93.375,111.875,109.875,93,83.75,78.125,74,75.125,80,84.375,87.625,94.25,112.125,129.75,120.5,96.375,82.75,76,74.5,83
"Clay","FL","County","""Jacksonville, FL""",310,224.5,204.375,195.5,170,150.625,150,142.5,135.5,138.125,143.5,150.625,148.75,144.375,154.75,155.375,138.25,127.75,125.25,129.25,134.75,141.5,150.375,153.75,150.125,139.75,140.25,148.25,142.625,136.125,136.875,134.5,133.125,135.875,138.75,140,141.5,141.25,127.875,115.25,121.25,120.25,100.75,95.5,112.625,124.25,122.625,120.25,123.5,137.75,146.625,137.5,132.125,131.25,121.5,107.75,101,110.75,124,125.25,125.875,135.25,138.125,130.5,121.75,109.75,102.75,102.75,107.375,112.375,117.375,125.125,124.5,123.5,125.75,119,106.125,98.5,94.375,88.375,88.125,97.125,106.875,110.125,110.25,113.125,107.25,91.75,83.25,81.25,80,77.75,75
"Clay","MO","County","""Kansas City, MO-KS""",278,123.5,130.375,139.25,136.75,119.625,106,104.625,105.375,107.625,122.625,139.25,146.75,148.25,140.25,137.5,142.25,132.625,122.625,131.25,139.625,135.625,133.5,143,149.5,153.125,160.75,155,132.75,112.125,108.375,113.5,116.625,122.25,131.5,132.25,122,117.5,121,122.5,118,109.5,103.75,99.25,95,98,108.625,118.125,117.625,114.375,121,119.75,101,92.25,97.25,102.125,104.25,104.625,106.375,104.875,97.375,101.125,112.25,101.75,80.25,71.25,74.75,81.5,82.75,79.5,80.5,88.875,97.5,107.375,113.75,101.5,80.5,69.25,66,66.25,68,68.375,70.25,74.125,79.25,85.625,82,68.375,60.25,58.25,57.5,56.75,56
"Cobb","GA","County","""Atlanta-Sandy Springs-Roswell, GA""",86,157.5,147,148.75,151.625,141.5,127.625,121,119,123.125,128.875,134.375,144.125,151.375,155.625,153.875,139.5,123.625,118,119.375,123.25,131.75,136.25,130,123.5,124.75,129.25,127,115.25,101.75,97.5,101.25,103.5,105.5,106.5,105.75,109.5,111.75,108.625,101.25,88.125,79.75,79.5,79.5,80.625,82.5,82.625,84.625,92.5,102,104.125,96.125,82.375,74.25,74.5,76.625,79.5,84.125,90.125,93.25,93.375,96.875,95,81.375,70.5,67.25,67,68,69.25,72,77.75,85.25,94.5,103,98.875,81.5,67.375,63.75,64.5,65.5,68.25,72.25,74.5,77.25,82,85.125,80.25,67.625,58.75,57,57.5,59,61
"Cook","IL","County","""Chicago-Naperville-Elgin, IL-IN-WI""",2,201,200.375,204.875,204.125,181.125,150.5,137,134.75,137.75,141.25,149.25,161.5,165.25,166,164.25,153,139.625,133,133.125,139.5,151.5,159.5,159,158.5,159.5,160.875,157,140.125,121.75,115,117,119.75,121.5,122.75,126,134,141.5,146.25,147.5,136.5,117.25,107.5,106.75,105.5,106.125,107.5,106.625,110.25,120.25,128.75,126.25,110.75,96,91.5,93.25,99.5,107.5,111.25,113.75,121,128.75,131.125,123.25,106.375,94,92.5,97,102,106.5,110.5,113.5,120.375,131.5,135.625,122.5,101.5,91,90.25,91.5,95.5,100.5,103.75,107.5,115.25,124.25,125.5,111.75,91.25,82,82.5,84,87
