"RegionName","StateName","RegionType","CBSA Title","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"United States",,"Country",,1,151,150.75,149.25,141.25,126.75,116,112,112.5,116.75,121.5,125.75,131,136.75,140,138.25,131.75,123.25,117.75,117.25,120,124.75,129.5,133,136,138.25,138.75,135.5,125.5,113,106.75,107.25,110.25,113.75,116.75,120,125,129.75,130.25,123,109.75,98.75,93.75,92.5,93.5,96,99.75,104.25,110,117,120.5,114.75,101.75,91.5,87.75,88,91.25,95.75,100.5,105.5,111.5,118.25,120,110.25,94.5,85.25,83.75,85.5,88.75,92.5,97.25,102.25,108,115,117,107.5,92.25,83.25,81.5,82.5,85.25,88.75,92.25,96,101.25,107.25,107.75,98,84.5,76.5,73.75,73.75,76
"Abilene, TX","TX","Metro","""Abilene, TX""",214,137.5,141.5,131.875,109.625,91.5,87.25,95.625,100.75,96.8333333333333,110,128.666666666667,132.875,147.875,152.625,132.375,114.75,107.75,98.75,88.75,87.25,98.5,114,119.25,121.625,126.875,126.375,114.125,94.875,92.75,97.625,96,97,103.25,115.75,119.75,124.25,144,153.875,134.25,105.5,91.375,87.875,84.875,77.75,78.75,86.5,86.25,86.25,95.25,100.25,89.5,76.625,71.75,72.375,75.75,74.5,70.75,74.625,80.875,85.625,94.125,96.125,84.25,73.875,72,71.75,73,74.75,73.875,72,76.625,86.125,90.25,86.875,79.375,76.5,77.125,76.25,75,71.5,70.75,75.5,81.5,92.25,103.5,102,94.25,85.75,74.125,68.375,68,64.5
"Akron, OH","OH","Metro","""Akron, OH""",73,170.5,181.625,183.25,156.625,125.5,108.375,104.25,115.375,133.25,142.375,144.125,150.875,160.25,165.125,157.625,151.25,147.75,130.625,117.125,120.125,129.25,137.75,147.625,145.5,138.25,149.25,153,140,126,113.125,110.625,118.625,122.625,120,124.375,131.75,140.5,151.625,147.5,127.875,110.875,106.5,104.75,101.25,99.75,102.75,113.5,124.75,134.75,137.5,127,111,92.75,81.875,82.875,88.875,94,96.875,103,118.375,131.625,126.875,117.25,107.875,95,87,85,89,93.75,95.75,100.75,107.375,118.5,125.875,115.5,99,87,80.25,79,82.5,86.875,86.75,89.625,99.875,107.875,106,92.875,79.625,73,68.5,67,69
"Albany, NY","NY","Metro","""Albany-Schenectady-Troy, NY""",60,150.5,156.25,164.375,156.125,131.625,118.625,119.375,121.875,128.75,134,140.75,157.5,166.75,162.25,156.75,152.25,139,118,109,118.25,132,146.5,159.875,163,167.625,182.25,186.75,180.5,168.75,148.375,134.25,131.125,135,140.75,145.75,158,177.25,186.5,182.375,179.375,166.875,138.875,119.625,116.875,123.375,133.875,143.75,152.75,159.5,164.25,168.75,170.125,154.625,127.625,114.125,115,121.875,131.75,142.375,150,158.75,174.125,181,173.625,150.875,121,108.5,109.25,112.875,121.875,133.5,142.125,149.25,157.875,161.75,149.625,126,109.75,103.25,105.25,112.75,117,121.5,126.5,132.875,139,134.625,123.375,110.125,96.125,87.875,87
"Albuquerque, NM","NM","Metro","""Albuquerque, NM""",59,127,137.25,133.75,122.625,116.625,110,106,110.375,115.625,119.5,124.5,128.875,125.625,124.875,134.625,137.5,130,122,116.75,114.75,121.25,131.5,133.75,133.25,137.375,141.5,131.625,111.25,97,90,92.125,99.75,105.375,109.625,112.5,114.625,115.875,120.625,122.125,109.125,95.25,93.625,94,92.625,99.125,111.25,117,119.625,127.125,131.625,125.25,108.125,94.5,95.875,101,102.125,106,112.875,119.75,130,139.125,138.25,128.375,111.75,93.75,86.5,91.25,96.5,96.75,100,108.5,114.875,119.5,119.875,109.75,94.625,83.25,79.625,80.5,82.25,88.25,93,92.75,99,109.5,109.5,97.5,83.25,74,71.25,73.25,77
"Allentown, PA","PA","Metro","""Allentown-Bethlehem-Easton, PA-NJ""",67,155.5,141.875,142.375,146.75,132,113.125,107.375,108.125,114.625,127.5,135.875,142.75,158.375,160.25,149,153,153,133.25,123.25,130.5,138,144.625,157.75,173.625,174.375,170.375,176,164.125,138,125,120.625,122.25,130.25,130.75,131.75,147.875,162.25,162.125,154.75,139.5,120.375,113,112.125,110.75,114,118.5,119,124.75,131.125,131.375,143.125,150.625,132.25,109.25,103.25,111.5,118.75,121,129,144.5,156.25,160,159,150.25,131.625,114,107.375,105.75,107.5,115.375,124.375,135.125,146.25,153.375,156.5,141.875,112.625,98.125,99.5,102.875,107.5,110,112,118,122.5,125,120,106.25,93.5,85.375,84.5,88
"Amarillo, TX","TX","Metro","""Amarillo, TX""",178,153.5,151.125,149.875,137.75,115.75,103.75,101.25,96.75,93.375,96.75,104.125,113.25,115.75,112.75,115.375,115.25,112.875,113.875,110.25,102.875,99.5,102.25,109.125,122,134.875,135.25,126,113,106.75,109.125,105.375,99.75,101.125,104.125,107.375,110,121.25,139.25,136.875,115.875,100.75,96.375,94.5,98,101,98.5,97,99.5,111.625,126,122,101,86.375,83.5,87.5,92.25,89.25,83.375,83.5,91.625,103.875,114.75,110.375,93.25,81.75,78.5,79.5,78,75.875,79.75,88.25,100.25,107.875,104.875,95.5,85.125,80.5,77.625,78,83.625,86.375,88.25,92.625,98.5,107.125,108.75,97.875,91,88,81,72.375,65.5
"Anchorage, AK","AK","Metro","""Anchorage, AK""",131,129,150.25,146.5,113.75,91.5,88.625,85.75,89.75,97.5,100.625,106.875,117.5,130.625,139.375,134.75,117.375,100.125,91.75,86.625,89.5,97.625,102,110.625,117.5,119.5,130,135.625,118.75,94.375,80.75,78,80.5,84.75,92.25,103.5,118.5,135.5,137.5,116.875,92.25,78.125,73.75,75.5,79,82,88.25,98.75,109.25,113.25,106.25,93.5,81.5,75.75,75.875,75.625,74.875,76.875,85.25,98.625,106,103.625,91.75,74.5,66.75,67,69.125,71.75,73.375,77.375,84,91,97.25,97.625,92.875,89.5,83.125,78,79.75,83.5,90,98.25,105.25,111.75,114.125,115,118.375,108.625,86.5,74.375,73,75,81
"Ann Arbor, MI","MI","Metro","""Ann Arbor, MI""",145,157,204,198.5,176.25,155,128.5,117.875,110.5,109,127.75,144.125,151.25,154,154.25,169.5,169.25,130.75,106.5,108,113,123,136.75,144.75,157.375,168.75,162.625,165.25,154.75,115.875,97.25,101.625,107.125,107,107.875,119.5,136.75,143.5,139.75,126.5,99.25,80.125,77.25,81.375,86.25,87,86.75,92.125,102.375,110.125,111.625,104.25,90.75,79.75,76.625,77.125,80.125,87.625,94.25,100.75,111,128.75,135.25,112.25,88,77.25,70.75,70.5,76.25,81.75,86.5,90.75,98.25,113.75,119,100.625,77.75,68.5,67.75,70.625,75.25,78.5,84.25,92.25,104.75,118.25,108.875,82.125,66.625,61.875,60.25,60.5,59
"Appleton, WI","WI","Metro","""Appleton, WI""",188,176,148.25,143.375,133.25,104.25,93.25,106.75,121,124,122.625,127.125,139.375,164.375,179,166.25,152.5,142,126.666666666667,118,126.666666666667,137.25,154.5,160.25,151.5,148.5,162.875,166.625,147.375,129.5,125,132.5,133,127.625,138,146.75,146,150.75,160,175,167.875,132.5,110.125,101.25,98.125,103,111.375,121.75,126.5,123,131.75,152.666666666667,145.125,119.25,105.75,110.75,115.25,117.875,116.875,117.25,122.375,124.125,127.5,127.5,111.25,92,86.5,92.75,104.5,110,103.25,103.5,115.5,126.25,139.375,138,108.875,84.5,77.5,75.875,76.75,77.625,81.875,87,87.375,95.75,108.5,102.125,81.75,71.125,69.25,67.125,65.5
"Asheville, NC","NC","Metro","""Asheville, NC""",116,236,240.75,230,207,167.166666666667,155.75,176.666666666667,168.625,163.25,161.875,162.25,156.375,158,170.5,170.25,163,142.25,115.625,110.75,121.625,138.5,150.75,162.75,183.75,194.75,190.25,190.75,183.25,150.75,127.875,129.875,134.875,140.5,151,162.125,167.5,173.25,185.25,186.25,170.25,140.5,114.25,106.75,105.75,110.25,119,124.25,129.625,143,156.75,155.5,142.875,123.25,106.25,103.5,107,115.125,123.5,132.5,150.75,162.375,159,149.5,130.25,104.625,90.5,87.875,91.5,102.875,118.125,129.75,139.125,152.625,162.5,156.5,132,102.25,89.5,95.25,101.5,102.75,103.5,108.5,119,129.75,136.5,130,106,83.75,80,87.25,98
"Athens, GA","GA","Metro","""Athens-Clarke County, GA""",204,245,190,180.5,184,164.25,150.375,146,147.375,151.375,143.25,143.75,159.375,170.5,160.625,135,140.5,160.666666666667,149.75,146,146,138.25,131.5,132.875,148.5,152.375,127,110.125,118.25,128.125,115,99.75,105.75,118.5,133.75,151.5,156.25,157.5,159.75,148,141.25,143,143.625,144.5,146.875,152,148.25,137,121.5,120.5,128.25,137,136,127.75,126.75,128.875,129,136.75,150.125,157.5,154.875,150.5,153.375,144,112.625,96.5,105,111,118.25,132.5,147.25,159.25,152.5,147.375,159.75,155.625,126.5,99.5,92.5,101.625,110.625,108.375,104.625,111.125,120.5,129.125,129.5,114,99,91.25,86.25,81.75,76
"Atlanta, GA","GA","Metro","""Atlanta-Sandy Springs-Roswell, GA""",9,149,147.75,147,145,135.75,122.5,113.5,111,114,118,123,128.5,132.75,136.75,136.5,130,122,120,122.75,125,126.75,124.5,119.75,118,118.25,119.5,115.75,105.25,98.75,99,100.75,101.5,101.25,102.75,106.5,111.25,116.75,117,107.25,93.75,86.5,86.25,87.25,87.75,89.5,92.75,94.75,98,104,106,100,88.75,81.25,81,83.25,86.5,90.75,94.75,96.75,99.75,105.25,103.25,91,78.5,72.75,73.75,76.5,79.75,85.25,92.25,99.25,105.5,111.75,112,98.75,81.25,73.625,73.25,73.875,77,82,86,89.5,94.5,98.75,94.25,80.75,70.25,66,64.25,64.75,66
"Egg Harbor Township, NJ","NJ","Metro","""Atlantic City-Hammonton, NJ""",164,209.5,217.625,220.75,208,181.5,157.125,161,166.125,159.875,154.5,147.125,154,175.125,188.25,185.625,182.5,183.5,178.5,161.5,152.625,159.25,164.625,170,174,194.25,235.375,243.875,224.75,206.875,177.375,159.625,155.625,156.375,173.875,194,205.625,213.75,210.5,197.25,184.375,175.25,174.375,172,161.375,153.25,154.5,163.125,169.25,171.25,181.5,184.625,176.5,166,146.75,132.75,134.75,146.5,160,165.5,167,177,197.5,209.25,199.25,185.875,174.5,163.125,155.5,153.5,163.5,173,171.25,170.25,172.75,168.875,168.25,170.75,161.5,151.125,146.5,140.875,131.75,134.375,152,160.75,156.75,155.625,161,157.625,145.375,141.875,145.5
"Augusta, GA","SC","Metro","""Augusta-Richmond County, GA-SC""",93,203,190.5,164.375,154.625,167.875,167.625,149.75,142.75,153,163.625,167.75,165.375,166.625,166.75,153.875,146.25,142.5,137.75,138.25,138.625,147.75,167,177,172.375,172.75,172.5,165,171.625,162,126.375,116.75,140.75,154.375,147.5,152.125,162,159.625,157,156.75,151.125,138.75,124.625,115.875,115.25,120.5,128.5,135,137.25,141.25,144.75,144.5,139.5,125.75,115.25,111.375,110.75,115.875,121,125.25,130.875,134.75,132.875,127.25,123,113.75,99,91.375,92.75,97.875,103.125,115,133.125,139.625,135.25,122.875,104,93.75,93.375,94.25,95.75,101.25,109.25,116.25,123.5,131.375,130.875,123.125,113.75,101.5,91.5,87,89
"Austin, TX","TX","Metro","""Austin-Round Rock, TX""",35,129,124.625,114.375,100.375,94,95.75,99.25,103.75,110.25,116.25,120,124,129.625,131.5,125.875,115.5,104,98.375,99.5,103.375,110,115.25,116.75,117,116.25,116.25,108.75,89.5,76.75,75.25,76.75,81.25,87.75,95,99.375,99.25,102.25,100.75,84.625,69,65.25,66.5,66,65.25,67.25,71.125,75.875,84.375,92.375,86.5,70.5,60.5,60.75,65.5,68.5,69.75,73.75,79.75,82,81.5,80.25,72.75,61.75,56,55.25,56,57.25,59.25,62.5,67.25,73,79.5,84.5,80,66.5,57.75,57.25,58,59,62,66.75,70.5,72.25,75.5,79.25,75,62.625,54.5,52.875,53.25,56.25,61
"Bakersfield, CA","CA","Metro","""Bakersfield, CA""",63,127,144.375,138.875,135.875,130.125,116.75,104.375,97,96.125,96.25,95.75,107,118.25,115.125,116.75,123.75,122,115.875,113.75,115.375,119.625,122,120.125,117.375,112,103.125,92.5,89.125,95.5,98.25,102,111.625,119.875,121.625,115,110.25,107.625,102.25,99.25,97.875,97.125,93.875,85.125,80.5,79.25,78.625,81.5,88.125,94.375,88.75,80.375,78.75,76.25,74,75.5,79.125,83,84.875,87.5,94.5,102.25,103.875,95.25,85.125,85,90.125,90.5,86.75,87.75,96.125,103.5,105.5,109,114.25,109.75,95.25,85.125,85.25,87.625,86.75,85.75,87,90,97.875,108.5,111.125,101.625,89.5,80.875,75.125,75,77
"Baltimore, MD","MD","Metro","""Baltimore-Columbia-Towson, MD""",20,167,178.25,180.25,174.75,160,138.5,127,125.75,126.75,131,136.75,144.75,153.75,157.75,157.875,156.625,146.125,131.375,129.25,134.25,143.5,154.375,154.375,152.875,156,158,158.125,145.75,124.375,114.25,115.875,120.25,125,131.75,137,140.5,150,158,151.5,131.25,109.75,99.5,98.75,101.25,104.75,108,110.25,115.5,126.5,134.75,135,123.75,104.5,93.75,94.25,100.25,107.25,112,116.75,123.5,131.25,136.5,134.25,119,97.75,87,90.5,100,105.75,108.25,113,120.25,129,135.25,130,110,91.5,86.25,89,95.25,102,108,112,114.25,120.625,124.25,112.375,93.75,83.75,82,82.75,86
"East Falmouth, MA","MA","Metro","""Barnstable Town, MA""",191,185,217.25,225.25,211,189.75,155.875,133.5,133.625,135.375,143.625,161.75,180.25,206.5,219.375,195.625,179.75,171.75,151.75,143.5,148.25,155,160.75,166.875,169.25,176.875,196.25,204.5,193.5,182.375,171.875,156.125,146.875,146.125,153.625,165.625,174.375,176.5,172.75,174,173,150.75,121.5,113.375,124,136.75,142.75,138.75,133,141.125,163.125,183.5,176.375,143.25,120.75,115.75,118.75,127.125,140,147.625,148,159.75,175.125,177,165.125,136.375,103.5,92.875,103.5,118.5,129.625,134.5,148.875,168.25,168.5,168.25,157.25,122.25,103.375,104.5,107.625,110.25,114,119.25,120.125,125,147.125,161.75,137,101.75,91,90.75,87
"Baton Rouge, LA","LA","Metro","""Baton Rouge, LA""",69,160,159,129.125,111.5,100.75,96.5,97.25,93,101,114.25,113.375,114.75,125,124.75,125.125,132,122.25,107.875,106.75,105.875,104.875,110.25,112,108.75,114.125,130,135.5,117.375,98.5,95.125,96.5,98.375,107.5,115.375,114.75,117,127,131,126.5,123.125,118,115.125,115,109,101.5,103.625,108.5,107.875,112.5,124.5,124.25,108.75,96.75,89.25,87,92,98.25,104.5,108.5,113.375,119.5,121.625,128.125,129.75,112.625,97.75,93.625,92.25,91.125,89.875,96,108.875,116.25,116.125,110.75,98.875,87,81.25,82,85.25,86,85.625,84.875,84.375,86,87,84.375,80.25,73.75,65,62.25,64
"Beaumont, TX","TX","Metro","""Beaumont-Port Arthur, TX""",128,130,127.125,125.375,113.375,109.625,115.625,123.25,129.625,138.125,148.625,149.375,140.875,142.75,145.5,128,117.875,123.25,131.375,143,154.5,163.125,158.5,155,154,139.75,138,149,147.75,134.375,124.375,119,115.625,122,135.625,151.375,156.25,142.375,139.25,154.75,151.375,138.25,136,127.75,113.25,103.25,107.75,127,140.75,139.75,137.875,142,135.5,118,111.125,111.75,111.625,108.75,109.375,117.75,122,126.125,130.25,134.375,130.25,109.25,98.5,101.5,101.625,98.125,97.875,108.25,123.75,137.375,137.875,119.5,98.875,91,91.5,89.625,87,87.25,92.5,95.125,93.125,99.25,100.125,89.5,85,85.5,81.25,77.5,81
"Bellingham, WA","WA","Metro","""Bellingham, WA""",199,139,144.5,136,113.25,103.75,110.75,119.375,129,138.375,144,144,159.25,185.625,194.75,193,182.25,151.375,115,109.625,125.375,125.75,130.5,170.125,202,195.125,186.25,164.75,134.5,132,117,92.6666666666667,96.375,105.25,117.125,131.5,144,145.75,148.625,137.75,106.125,88.25,83.125,80.25,85,93.75,98.875,104,116.125,134,143,131,108.75,90,80.625,80.75,88.875,98.625,107.375,124.625,144.375,149,137,114.625,87,69.625,69.75,73,75.875,81.5,89.875,99.75,110.75,120.125,105.75,78.625,70.25,71.25,68.875,69.625,72.625,76.875,86.125,92,93.375,99.75,104.375,89.5,64.875,53,51.5,52.875,55.5
"Bend, OR","OR","Metro","""Bend-Redmond, OR""",220,142,156.333333333333,213.5,238.166666666667,203.125,172.125,156.25,141.25,131.5,134.5,144.5,152,153.625,154.75,145.875,122.125,109.5,112.875,113.5,108.5,111.5,120,116.5,110.625,126.375,142.625,131.875,112.25,102.875,101.625,98.5,98.75,108.875,118.125,127.5,133.625,127,120,121.375,116,97.375,81.75,76.5,77.375,80.75,90.125,106.25,122.125,126.875,121.25,112.875,93.25,76.5,75.75,79.875,87,97.75,107,111.375,119.75,133.25,129,105.5,85.75,78.25,79,80.25,81.25,86.25,94.75,105.125,116.875,128.25,129.75,115.375,97.875,85.75,78.25,75.75,78.625,86.25,94.875,102.375,109.875,117.375,116.625,98.625,76.5,68.625,69.25,71.25,75
"Billings, MT","MT","Metro","""Billings, MT""",219,107,109,92.8333333333333,98,114.833333333333,108.5,104.75,113.125,119.125,113.875,119,127,143,165.333333333333,154,118.125,90.25,78.625,76.625,88.25,101.875,108.25,113.75,124.25,124,111.333333333333,94.25,85.6666666666667,78.625,71.875,71.125,73.625,78.875,82,83.5,90.75,101.375,108.5,96.125,73.625,66.75,69.875,72.25,70.375,68,69.5,73.25,82.5,91.875,90.5,82.125,77.875,77.25,71.25,65.5,71,78.125,80.25,84.125,91.25,109.25,115.25,95.625,83,81.75,85.75,89.125,84.25,79.5,82.125,91.5,96,88.625,87.25,90.625,80.75,70.375,69.125,71.125,79.875,90,85.625,79.5,87.375,95.875,100.875,101.5,86.125,69.625,66.25,68.75,75
"Town of Binghamton, NY","NY","Metro","""Binghamton, NY""",179,128,164.75,174.5,157,134,132.5,133.75,143,163.75,176.125,175.75,174.25,177.75,185,184,182.75,172.25,140.75,117,109,129.75,158,158.375,163.5,189.5,199,164,134,131.125,131.25,126.625,138.5,152.875,147.75,150.125,169.75,187,191.625,179,165.875,166.5,152.625,130.625,125.25,137.875,149.625,146,157.25,182.75,198.75,200.25,202.5,214.875,204.375,163,124.875,109.5,128,167.333333333333,182.875,195,201.375,192.25,186.75,181,150.75,126,124.125,140.75,155.25,154,164.125,180.75,185,189.75,183.5,153.75,131.25,129.75,134.625,141.5,155.875,159.75,150.25,161.125,177.75,172.125,151.125,133.25,129.875,127.625,115.5
"Birmingham, AL","AL","Metro","""Birmingham-Hoover, AL""",49,179.5,158.375,166,173.5,163.5,151.5,146.5,140,135.5,139.125,150.125,159.875,162.25,162.5,147.125,124.25,118.25,122.75,132,146.5,155.75,148.875,141.625,143.875,144.875,146.25,146.625,147,140.875,123,115.5,123.75,131.25,132.75,136.25,141,143.5,146,145.25,138.375,126.5,118.875,118,119.375,121.125,125.875,131.375,130.5,137,151,150.75,135.125,118.125,110.875,111.125,112.5,115.25,116.375,118.375,128.125,140.125,144.625,134.75,112.625,97.625,96.75,98.625,102,111.5,119.375,122.5,127.5,130.25,128.625,119.5,102.25,89.75,87.875,93.5,98.375,98,97,98.75,106.5,119.25,122.625,107.5,90.375,83.25,80,78.25,77
"Boise, ID","ID","Metro","""Boise City, ID""",84,138,139.625,142.375,137.875,126.25,119.5,117.375,118,120,120,120,119.25,114.5,109.25,104.75,100.25,99.25,99.5,97.75,98.625,100,98.75,99.5,106.625,111.25,103.5,96.75,94.5,88,80,77.5,80.25,83.875,89,96.375,104.375,110.75,109.5,96.5,79.75,70.5,67.625,67.25,70.75,74.5,80.25,91,99.75,107.25,112,101.5,81,68,67.75,75.5,82.25,83,84.25,90.5,96.75,99.75,94.625,79.75,67.375,65.5,67.75,68.75,70.5,73.5,78.25,85,93,100.75,96.25,77.25,61.75,57.5,58.5,61.5,64.5,66.5,72.25,80.75,86.125,89.5,86.625,71.75,56.25,51,51.75,53.25,55
"Boston, MA","MA","Metro","""Boston-Cambridge-Newton, MA-NH""",10,142,147.75,146,134,113.5,102,101.5,105.25,113.75,118.875,115.25,116.125,127.75,139,135.75,115.25,96.5,91.25,95.5,105.75,117.25,122.5,123.75,129.75,140,150.5,146.5,121.5,98.75,92.25,94.75,98.5,101.75,103.5,103.5,109.5,122,129.5,119.75,97.25,83.25,81,81,82.25,83.75,83.5,84.5,91,103.75,110,98.25,82.5,76.75,76.5,77,79.75,83,83.25,84,91,104.25,113.75,106.5,87.25,73.25,70,72.25,76.25,79.5,80,80.75,88.25,103.25,112.25,102.25,83.75,74.25,73.5,75,76,74.5,72.375,74.375,83.375,95.125,109,108.75,84.25,68,67.5,68.5,71
"Boulder, CO","CO","Metro","""Boulder, CO""",159,193,208.5,167.125,124,102.375,94.125,93.75,102.375,110.625,112.75,120.625,138.75,165.125,173,146.625,114.75,100,97.75,103.375,108.75,112.875,127.75,139.5,133.75,135.75,144.875,142.5,126.875,96.25,80.25,85.5,84.625,81.5,87.875,96.125,104,107.625,99.5,84.5,70.25,64.875,63.25,60.375,61.5,66.25,73.25,82.25,88.5,85.875,75.875,64.375,55.875,55.25,58,58.75,62,68.25,71,69,72.5,79,76.75,67,55.25,50.5,52.5,53.25,53.25,54.25,57.625,63.25,71.125,77.125,70.25,57.625,53.5,52.75,50.25,50.75,55.25,60.375,65,67.875,73.5,78.5,68.5,54.25,50.25,50.125,50.75,53.125,55
"Bremerton, WA","WA","Metro","""Bremerton-Silverdale, WA""",181,118,135,137.625,128.25,111.75,103.5,107.5,112.25,119.875,123.5,119.333333333333,148.5,179.833333333333,180,175,151.75,126.625,116.5,106.5,95,100.5,113.25,127.25,147.75,147.25,137.625,136.125,123.625,109.625,101.75,100.75,104,109.5,123.75,134.25,132.5,134.5,146.5,143.875,119,97.375,91.625,94,94.625,93.25,95,99.875,105.5,120.875,131.75,121.5,123.375,123,94.625,80,87.5,94.5,100.875,107,117.375,127.25,120,102.25,83,70.5,69.5,70.75,74.25,78.5,79.5,81.875,90.5,100.625,96.25,79.25,66.75,62,61.25,63.25,67.75,72.75,78.375,83,87.125,93.5,92,78.25,63.5,54.75,53,55.625,57.5
"Bridgeport, CT","CT","Metro","""Bridgeport-Stamford-Norwalk, CT""",58,208,206,205.75,195.375,166.375,131.625,118.375,127.5,146.25,153.625,149.25,152.125,150.25,148.5,151.5,145.125,132,118.125,115.75,126.5,135.375,144.75,158.375,170.375,179.375,187.625,190.625,172,142.125,129.375,131.25,135.875,145.625,157.125,168.25,175.625,179.125,182.5,172.625,149.375,129.875,120.625,113.625,111,121,133.5,139.5,140.25,144.75,157.625,162.75,148.25,122,103.875,104.625,115,123.125,126.5,131.75,142.25,150.75,158.125,159.5,140.75,118.25,109.375,108.5,115,128,134.5,137.25,149.75,164.5,173.5,171.75,151,125.5,112.5,112.5,122,131.5,133.25,130.75,130.25,135.5,148.25,149.25,129,112.5,106,102.75,105
"Brownsville, TX","TX","Metro","""Brownsville-Harlingen, TX""",125,94,101.5,109,125.5,145.333333333333,138.25,124.25,114.875,108,124.625,145.25,136,120.875,113,132.75,147.166666666667,135.5,136,144.75,147.125,146.375,143,154.875,192.75,221.5,208.5,168.75,137,124.25,120.25,123.5,133.25,140.25,142.75,138.75,139.875,150.625,156.875,153.875,146.5,134.75,131,141,150.25,147.75,131.666666666667,119,126,135,154.333333333333,162.5,149.5,130.25,131.25,137,139.25,130.25,117,116,128.833333333333,137.625,139.875,142.75,166.75,172.125,140,117.125,114.5,122.375,139.25,153.75,151.75,137.5,130.375,137.5,135.625,114.875,101.875,99.625,97.375,97.5,107.25,123,126.25,129.25,134.75,128.125,120.25,117.125,119.25,124.25,138
"Buffalo, NY","NY","Metro","""Buffalo-Cheektowaga-Niagara Falls, NY""",47,148,159.25,161.5,151.5,127.75,109.25,104.625,109,117.125,121.5,126.375,134.25,144.375,156.625,168,163.875,137.875,116,113.125,116.5,119.5,124.25,129.5,139.25,156.875,174.25,184.125,182.25,157.5,123.25,109.875,113.75,122.125,139.75,156.75,164,173,179.75,179.5,166,133,104.5,94.875,96.5,102.875,109.125,113.5,119.875,133,147.25,151.5,138,114,98.25,92.75,92.25,99.25,108.5,114.25,123,133,140.25,144.75,132.5,106.75,92.5,92,94.25,97.5,103.125,111.75,120.375,126,131.75,133.5,120.75,103,89.75,81.25,84.625,95,101.625,106,110.25,114,113.75,105.75,96.25,88.75,83.75,83.25,86
