Zip Code,Land Use,Count,Date
77407,Landscape or Open Space; Single Family Residential (Public Street),1,12/14/2017
77407,Landscape or Open Space; Single Family Residential (Public Street),1,12/14/2017
77075,Unrestricted,1,12/14/2017
77379,Single Family Residential (PAE 1/PAE 2),1,12/14/2017
77494,Landscape or Open Space; Single Family Residential (Public Street),1,12/14/2017
77346,Unrestricted; Other,1,12/14/2017
77008,Single Family Residential (Shared Driveways),1,12/14/2017
77080,Single Family Residential (Public Street),1,12/14/2017
77346,Single Family Residential (PAE 1/PAE 2),1,12/14/2017
77433,Unrestricted,1,12/14/2017
77433,Lift Station,1,12/14/2017
77433,Lift Station,1,12/14/2017
77433,Single Family Residential (Public Street),1,12/14/2017
77388,Unrestricted,1,12/14/2017
77388,Unrestricted,1,12/14/2017
77056,Single Family Residential (PAE 1/PAE 2),1,12/14/2017
77407,Unrestricted,1,12/14/2017
77003,Single Family Residential (Shared Driveways),1,12/14/2017
77026,Unrestricted,1,12/14/2017
77002,Unrestricted,1,12/14/2017
77447,Street Dedication,1,12/14/2017
77449,Recreation,1,12/14/2017
77447,Landscape or Open Space; Single Family Residential (Public Street),1,12/14/2017
77447,Single Family Residential (Public Street),1,12/14/2017
77091,Landscape or Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways),1,12/14/2017
77008,Unrestricted,1,12/14/2017
77003,Residential Guest Parking; Single Family Residential (Shared Driveways),1,12/14/2017
77498,Unrestricted,1,12/14/2017
77396,Commercial,1,12/14/2017
77009,Unrestricted,1,12/14/2017
77019,Unrestricted,1,12/14/2017
77389,Unrestricted,1,12/14/2017
77346,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,12/14/2017
77075,Single Family Residential (Public Street),1,12/14/2017
77009,Single Family Residential (Public Street),1,12/14/2017
77095,Unrestricted,1,12/14/2017
77406,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,12/14/2017
77406,Street Dedication,1,12/14/2017
77008,Single Family Residential (Shared Driveways),1,12/14/2017
77396,Unrestricted,1,12/14/2017
77338,Unrestricted,1,12/14/2017
77055,Single Family Residential (Shared Driveways),1,12/14/2017
77389,Commercial,1,12/14/2017
77004,Unrestricted Intended for Multifamily,1,12/14/2017
77377,General Plan,1,12/14/2017
77094,Unrestricted,1,12/14/2017
77093,Unrestricted,1,12/14/2017
77007,Unrestricted,1,12/14/2017
77094,Unrestricted,1,12/14/2017
77493,Drainage or Detention,1,12/14/2017
77339,Other,1,12/14/2017
77098,Unrestricted,1,12/14/2017
77007,Single Family Residential (Public Street),1,12/14/2017
77007,Single Family Residential (Public Street),1,12/14/2017
77060,Single Family Residential (Public Street),1,12/14/2017
77012,Single Family Residential (Public Street),1,12/14/2017
77025,Commercial,1,12/14/2017
77073,Unrestricted,1,12/14/2017
77013,Unrestricted,1,12/14/2017
77088,Single Family Residential (Shared Driveways),1,12/14/2017
77070,Compensating Open Space; Single Family Residential (Public Street),1,12/14/2017
77493,Single Family Residential (Public Street),1,12/14/2017
77375,Single Family Residential (PAE 1/PAE 2),1,12/14/2017
77027,Single Family Residential (Public Street),1,12/14/2017
77021,Single Family Residential (Public Street),1,12/14/2017
77357,Street Dedication,1,12/14/2017
77090,Commercial,1,12/14/2017
77407,Commercial,1,12/14/2017
77493,General Plan,1,12/14/2017
77493,Unrestricted; Landscape or Open Space; Single Family Residential (Public Street),1,12/14/2017
77336,Compensating Open Space; Drainage or Detention; Single Family Residential (PAE 1/PAE 2),1,12/14/2017
77396,Commercial,1,12/14/2017
77085,Unrestricted,1,12/14/2017
77077,Single Family Residential (PAE 1/PAE 2),1,12/14/2017
77386,Commercial,1,12/14/2017
77064,General Plan,1,12/14/2017
77064,Unrestricted,1,12/14/2017
77013,Unrestricted,1,12/14/2017
77007,Single Family Residential (Public Street),1,12/14/2017
77082,Compensating Open Space; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways),1,12/14/2017
77044,Unrestricted,1,12/14/2017
77447,Single Family Residential (Public Street),1,12/14/2017
77389,Unrestricted,1,12/14/2017
77389,Street Dedication,1,12/14/2017
77429,Unrestricted,1,12/14/2017
77346,Street Dedication,1,12/14/2017
77004,Single Family Residential (Shared Driveways),1,12/14/2017
77055,Unrestricted,1,12/14/2017
77357,Unrestricted,1,12/14/2017
77007,Commercial; Single Family Residential (Public Street),1,12/14/2017
77449,Landscape or Open Space; Recreation,1,12/14/2017
77092,Single Family Residential (Shared Driveways),1,12/14/2017
77009,Single Family Residential (Public Street),1,12/14/2017
77016,Landscape or Open Space; Single Family Residential (Public Street); Other,1,12/14/2017
77407,Unrestricted,1,12/14/2017
77027,Single Family Residential (Shared Driveways),1,12/14/2017
77057,Single Family Residential (Shared Driveways),1,12/14/2017
77083,Unrestricted,1,12/14/2017
77365,Landscape or Open Space; Single Family Residential (Public Street),1,12/14/2017
77008,Unrestricted,1,12/14/2017
