Zip Code,Land Use,Count,Date
77429,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Single Family Residential (PAE 1/PAE 2),1,2/2/2017
77407,"Drainage or Detention; Landscape or Open Space; Water Treatment, Production or Repressurization",1,2/2/2017
77386,Landscape or Open Space; Single Family Residential (Public Street),1,2/2/2017
77045,Single Family Residential (Public Street),1,2/2/2017
77006,Single Family Residential (Shared Driveways),1,2/2/2017
77095,Unrestricted,1,2/2/2017
77546,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Lift Station,1,2/2/2017
77375,"Water Treatment, Production or Repressurization",1,2/2/2017
77433,Unrestricted,1,2/2/2017
77365,"Church, School and Institutional; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street)",1,2/2/2017
77365,Single Family Residential (Public Street),1,2/2/2017
77545,Landscape or Open Space; Single Family Residential (Public Street),1,2/2/2017
77407,Unrestricted,1,2/2/2017
77004,Single Family Residential (Public Street),1,2/2/2017
77598,Unrestricted,1,2/2/2017
77004,Single Family Residential (Shared Driveways),1,2/2/2017
77449,Commercial,1,2/2/2017
77429,Unrestricted,1,2/2/2017
77033,Commercial,1,2/2/2017
77098,Unrestricted,1,2/2/2017
77007,Single Family Residential (Public Street),1,2/2/2017
77063,Single Family Residential (PAE 1/PAE 2),1,2/2/2017
77493,Street Dedication,1,2/2/2017
77493,Single Family Residential (Public Street),1,2/2/2017
77038,Drainage or Detention; Single Family Residential (Public Street); Other,1,2/2/2017
77022,Unrestricted,1,2/2/2017
77020,Single Family Residential (Shared Driveways),1,2/2/2017
77032,Commercial,1,2/2/2017
77494,Unrestricted,1,2/2/2017
77084,General Plan,1,2/2/2017
77084,Single Family Residential (Public Street),1,2/2/2017
77084,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,2/2/2017
77346,Unrestricted,1,2/2/2017
77386,Unrestricted,1,2/2/2017
77406,Unrestricted,1,2/2/2017
77429,General Plan,1,2/2/2017
77377,Drainage or Detention; Landscape or Open Space; Street Dedication,1,2/2/2017
77002,Unrestricted,1,2/2/2017
77336,"Church, School and Institutional",1,2/2/2017
77070,Unrestricted,1,2/2/2017
77433,Commercial,1,2/2/2017
77026,Unrestricted,1,2/2/2017
77013,Unrestricted,1,2/2/2017
77493,Landscape or Open Space,1,2/2/2017
77389,General Plan,1,2/2/2017
77389,Unrestricted,1,2/2/2017
77021,Single Family Residential (Public Street); Single Family Residential (Shared Driveways),1,2/2/2017
77377,Unrestricted; Landscape or Open Space; Lift Station,1,2/2/2017
77379,Landscape or Open Space; Single Family Residential (Public Street),1,2/2/2017
77004,Single Family Residential (Public Street),1,2/2/2017
77004,Single Family Residential (Public Street),1,2/2/2017
77022,Single Family Residential (Public Street),1,2/2/2017
77447,Unrestricted,1,2/2/2017
77532,Single Family Residential (PAE 1/PAE 2),1,2/2/2017
77357,Commercial,1,2/2/2017
77406,Landscape or Open Space,1,2/2/2017
77023,Residential Guest Parking; Single Family Residential (Shared Driveways),1,2/2/2017
77070,Single Family Residential (Public Street),1,2/2/2017
77092,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,2/2/2017
77023,Single Family Residential (Public Street),1,2/2/2017
77047,Unrestricted,1,2/2/2017
77045,Unrestricted,1,2/2/2017
77532,Single Family Residential (Public Street),1,2/2/2017
77532,Single Family Residential (Public Street),1,2/2/2017
77015,Unrestricted,1,2/2/2017
77388,Unrestricted,1,2/2/2017
77407,Unrestricted; Landscape or Open Space,1,2/2/2017
77061,Unrestricted,1,2/2/2017
77429,Unrestricted,1,2/2/2017
77336,Single Family Residential (Public Street),1,2/2/2017
77530,Single Family Residential (Public Street),1,2/2/2017
77530,Single Family Residential (Public Street),1,2/2/2017
77023,Single Family Residential (Public Street),1,2/2/2017
77093,Unrestricted,1,2/2/2017
77044,"Church, School and Institutional",1,2/2/2017
77406,Street Dedication,1,2/2/2017
77406,Single Family Residential (Public Street),1,2/2/2017
77406,Single Family Residential (Public Street),1,2/2/2017
77012,Unrestricted,1,2/2/2017
77386,Unrestricted,1,2/2/2017
77055,Single Family Residential (Public Street),1,2/2/2017
77377,Commercial; Other,1,2/2/2017
77080,Single Family Residential (Public Street),1,2/2/2017
77004,Single Family Residential (Public Street),1,2/2/2017
77532,Street Dedication,1,2/2/2017
77532,Single Family Residential (Public Street),1,2/2/2017
77055,Unrestricted,1,2/2/2017
77429,Commercial,1,2/2/2017
77084,Unrestricted,1,2/2/2017
77021,Landscape or Open Space; Single Family Residential (Shared Driveways); Other,1,2/2/2017
77379,"Church, School and Institutional",1,2/2/2017
77493,Commercial,1,2/2/2017
77004,Unrestricted,1,2/2/2017
77498,Commercial,1,2/2/2017
77027,Single Family Residential (Public Street),1,2/2/2017
77042,Unrestricted,1,2/2/2017
77027,Commercial,1,2/2/2017
77086,Single Family Residential (Public Street),1,2/2/2017
77375,Commercial,1,2/2/2017
77095,Commercial,1,2/2/2017
77375,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Other,1,2/2/2017
