Date Submitted,Zip Code,Land Use,Count,Date
12/16/2016,77407,Landscape or Open Space; Single Family Residential (Public Street),1,1/5/2017
12/16/2016,77407,Landscape or Open Space; Single Family Residential (Public Street),1,1/5/2017
12/17/2016,77084,Unrestricted,1,1/5/2017
10/31/2016,77004,Single Family Residential (Shared Driveways),1,1/5/2017
11/11/2016,77484,Single Family Residential (Public Street); Single Family Residential (PAE 1/PAE 2),1,1/5/2017
12/16/2016,77373,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,1/5/2017
12/16/2016,77373,Single Family Residential (Public Street),1,1/5/2017
12/02/2016,77433,Street Dedication,1,1/5/2017
12/19/2016,77433,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,1/5/2017
12/19/2016,77433,Compensating Open Space; Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77433,General Plan,1,1/5/2017
12/19/2016,77433,Landscape or Open Space; Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77433,Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77433,Landscape or Open Space; Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77545,Landscape or Open Space; Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77545,Landscape or Open Space; Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77007,Unrestricted,1,1/5/2017
12/16/2016,77021,Single Family Residential (Public Street),1,1/5/2017
10/17/2016,77007,Single Family Residential (Shared Driveways),1,1/5/2017
12/05/2016,77433,Landscape or Open Space; Single Family Residential (Public Street); Other,1,1/5/2017
12/05/2016,77008,Unrestricted,1,1/5/2017
12/02/2016,77023,Commercial,1,1/5/2017
12/16/2016,77041,Commercial,1,1/5/2017
12/05/2016,77008,Commercial,1,1/5/2017
12/19/2016,77018,Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77498,Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77038,Drainage or Detention; Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77493,Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77493,Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77493,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street),1,1/5/2017
12/16/2016,77090,Unrestricted,1,1/5/2017
12/05/2016,77022,Unrestricted,1,1/5/2017
12/02/2016,77449,Unrestricted,1,1/5/2017
12/16/2016,77084,General Plan,1,1/5/2017
12/16/2016,77084,Single Family Residential (Public Street),1,1/5/2017
12/16/2016,77084,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,1/5/2017
12/18/2016,77084,Unrestricted,1,1/5/2017
12/19/2016,77346,Landscape or Open Space; Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77386,Unrestricted,1,1/5/2017
12/19/2016,77386,General Plan,1,1/5/2017
12/19/2016,77386,Landscape or Open Space; Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77386,Landscape or Open Space; Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77346,Drainage or Detention; Landscape or Open Space,1,1/5/2017
12/19/2016,77406,Landscape or Open Space,1,1/5/2017
12/19/2016,77406,Street Dedication,1,1/5/2017
12/19/2016,77008,Commercial,1,1/5/2017
12/19/2016,77008,Unrestricted,1,1/5/2017
11/14/2016,77055,Single Family Residential (Shared Driveways),1,1/5/2017
12/05/2016,77039,General Plan; Landscape or Open Space,1,1/5/2017
12/19/2016,77002,Unrestricted,1,1/5/2017
12/19/2016,77044,Single Family Residential (Public Street),1,1/5/2017
12/02/2016,77006,Single Family Residential (Public Street),1,1/5/2017
12/16/2016,77091,Commercial,1,1/5/2017
12/19/2016,77049,General Plan,1,1/5/2017
12/19/2016,77049,Landscape or Open Space; Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77365,Commercial,1,1/5/2017
12/02/2016,77493,Lift Station; Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77375,"Church, School and Institutional",1,1/5/2017
12/02/2016,77429,Commercial,1,1/5/2017
12/05/2016,77493,General Plan,1,1/5/2017
12/05/2016,77493,Drainage or Detention,1,1/5/2017
12/05/2016,77493,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,1/5/2017
12/19/2016,77088,Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77008,Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77047,Unrestricted,1,1/5/2017
12/19/2016,77007,Unrestricted,1,1/5/2017
12/02/2016,77020,Unrestricted,1,1/5/2017
12/19/2016,77346,Street Dedication,1,1/5/2017
11/14/2016,77447,General Plan,1,1/5/2017
12/16/2016,77406,Landscape or Open Space; Single Family Residential (Public Street),1,1/5/2017
12/16/2016,77004,Unrestricted,1,1/5/2017
12/19/2016,77433,Landscape or Open Space; Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77004,Single Family Residential (Public Street),1,1/5/2017
11/11/2016,77379,Commercial,1,1/5/2017
12/16/2016,77006,Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77336,Commercial,1,1/5/2017
12/16/2016,77346,Unrestricted,1,1/5/2017
12/19/2016,77008,Single Family Residential (Public Street),1,1/5/2017
11/11/2016,77023,Single Family Residential (Public Street),1,1/5/2017
12/05/2016,77051,Unrestricted,1,1/5/2017
11/11/2016,77023,Single Family Residential (Public Street),1,1/5/2017
12/18/2016,77008,Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77084,Unrestricted,1,1/5/2017
12/17/2016,77065,Unrestricted,1,1/5/2017
12/19/2016,77014,General Plan,1,1/5/2017
12/19/2016,77014,Single Family Residential (Public Street),1,1/5/2017
12/19/2016,77377,Unrestricted,1,1/5/2017
