Zip Code,Land Use,Count,Date
77038,Unrestricted,1,3/13/2017
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,3/13/2017
77449,Unrestricted,1,3/13/2017
77099,Unrestricted Intended for Multifamily,1,3/13/2017
77022,Single Family Residential (Public Street),1,3/13/2017
77433,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,3/13/2017
77346,Unrestricted,1,3/13/2017
77545,Single Family Residential (Public Street),1,3/13/2017
77433,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,3/13/2017
77029,Unrestricted,1,3/13/2017
77084,Unrestricted,1,3/13/2017
77004,Residential Guest Parking; Single Family Residential (Shared Driveways),1,3/13/2017
77004,Single Family Residential (Public Street),1,3/13/2017
77020,Single Family Residential (Shared Driveways),1,3/13/2017
77429,Unrestricted,1,3/13/2017
77026,Commercial,1,3/13/2017
77044,Street Dedication,1,3/13/2017
77336,Single Family Residential (Shared Driveways),1,3/13/2017
77041,Unrestricted,1,3/13/2017
77059,Landscape or Open Space; Single Family Residential (Public Street),1,3/13/2017
77059,Landscape or Open Space,1,3/13/2017
77484,Unrestricted,1,3/13/2017
77493,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,3/13/2017
77386,Unrestricted,1,3/13/2017
77018,Single Family Residential (Shared Driveways),1,3/13/2017
77009,Single Family Residential (Public Street),1,3/13/2017
77388,General Plan,1,3/13/2017
77018,Commercial,1,3/13/2017
77016,Unrestricted; Single Family Residential (Public Street),1,3/13/2017
77004,Unrestricted,1,3/13/2017
77373,Unrestricted,1,3/13/2017
77433,Lift Station,1,3/13/2017
77433,"Water Treatment, Production or Repressurization",1,3/13/2017
77433,"Water Treatment, Production or Repressurization",1,3/13/2017
77449,Unrestricted,1,3/13/2017
77008,Unrestricted,1,3/13/2017
77008,Single Family Residential (Shared Driveways),1,3/13/2017
77346,Street Dedication,1,3/13/2017
77016,Unrestricted,1,3/13/2017
77338,General Plan,1,3/13/2017
77338,Commercial,1,3/13/2017
77389,Unrestricted,1,3/13/2017
77051,Unrestricted Intended for Multifamily,1,3/13/2017
77017,Unrestricted,1,3/13/2017
77493,Unrestricted,1,3/13/2017
77091,Single Family Residential (Shared Driveways),1,3/13/2017
77049,Single Family Residential (Public Street),1,3/13/2017
77028,Single Family Residential (Public Street),1,3/13/2017
77088,Single Family Residential (Public Street),1,3/13/2017
77009,Commercial,1,3/13/2017
77007,Single Family Residential (Public Street),1,3/13/2017
77346,Commercial; Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,3/13/2017
77002,Unrestricted,1,3/13/2017
77070,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,3/13/2017
77013,Commercial,1,3/13/2017
77018,Single Family Residential (PAE 1/PAE 2),1,3/13/2017
77022,Single Family Residential (Public Street),1,3/13/2017
77375,General Plan,1,3/13/2017
77375,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,3/13/2017
77006,Single Family Residential (Public Street),1,3/13/2017
77032,Unrestricted,1,3/13/2017
77027,Unrestricted,1,3/13/2017
77049,Drainage or Detention,1,3/13/2017
77530,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,3/13/2017
77070,Commercial,1,3/13/2017
77003,Single Family Residential (Public Street),1,3/13/2017
77087,Commercial,1,3/13/2017
77020,Unrestricted,1,3/13/2017
77447,Single Family Residential (Public Street),1,3/13/2017
77007,Unrestricted,1,3/13/2017
77030,Single Family Residential (Public Street),1,3/13/2017
77494,Landscape or Open Space; Single Family Residential (Public Street),1,3/13/2017
77014,Compensating Open Space; Single Family Residential (Public Street),1,3/13/2017
77003,Single Family Residential (Public Street),1,3/13/2017
77048,Single Family Residential (Public Street),1,3/13/2017
77098,Unrestricted,1,3/13/2017
77044,Landscape or Open Space; Single Family Residential (Public Street),1,3/13/2017
77007,Unrestricted,1,3/13/2017
77080,Street Dedication,1,3/13/2017
77011,General Plan,1,3/13/2017
77011,Commercial,1,3/13/2017
77084,Unrestricted,1,3/13/2017
77433,Single Family Residential (PAE 1/PAE 2),1,3/13/2017
77338,Landscape or Open Space; Single Family Residential (Public Street),1,3/13/2017
77338,Single Family Residential (Public Street),1,3/13/2017
77008,Single Family Residential (Shared Driveways),1,3/13/2017
77033,Single Family Residential (Public Street),1,3/13/2017
77449,Unrestricted,1,3/13/2017
77407,Unrestricted,1,3/13/2017
77498,Commercial,1,3/13/2017
77008,Single Family Residential (Shared Driveways),1,3/13/2017
77008,Single Family Residential (Shared Driveways),1,3/13/2017
77449,Unrestricted,1,3/13/2017
77038,Landscape or Open Space,1,3/13/2017
77396,Landscape or Open Space; Single Family Residential (Public Street),1,3/13/2017
,,,3/13/2017
