Zip Code,Land Use,Count,Date
77009,Single Family Residential (Public Street),1,11/30/2017
77088,Other,1,11/30/2017
77026,Unrestricted,1,11/30/2017
77007,Single Family Residential (Public Street),1,11/30/2017
77007,Single Family Residential (Public Street),1,11/30/2017
77089,Single Family Residential (PAE 1/PAE 2),1,11/30/2017
77080,Compensating Open Space; Single Family Residential (Shared Driveways),1,11/30/2017
77447,Single Family Residential (Public Street),1,11/30/2017
77018,Single Family Residential (Shared Driveways),1,11/30/2017
77051,Unrestricted,1,11/30/2017
77373,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,11/30/2017
77074,Single Family Residential (Public Street),1,11/30/2017
77056,Single Family Residential (Public Street),1,11/30/2017
77450,Unrestricted,1,11/30/2017
77007,Single Family Residential (Public Street),1,11/30/2017
77009,Single Family Residential (Public Street),1,11/30/2017
77336,Single Family Residential (Public Street),1,11/30/2017
77002,Unrestricted,1,11/30/2017
77449,Landscape or Open Space; Recreation,1,11/30/2017
77013,Commercial,1,11/30/2017
77406,Unrestricted,1,11/30/2017
77003,Single Family Residential (Public Street),1,11/30/2017
77011,Single Family Residential (Public Street),1,11/30/2017
77003,Residential Guest Parking; Single Family Residential (Shared Driveways),1,11/30/2017
77009,Unrestricted,1,11/30/2017
77406,Unrestricted,1,11/30/2017
77386,Drainage or Detention; Single Family Residential (Public Street),1,11/30/2017
77022,Single Family Residential (Public Street),1,11/30/2017
77061,Commercial,1,11/30/2017
77379,Unrestricted Intended for Multifamily,1,11/30/2017
77019,Unrestricted,1,11/30/2017
77054,Unrestricted,1,11/30/2017
77433,Single Family Residential (Public Street),1,11/30/2017
77073,Unrestricted,1,11/30/2017
77493,Other,1,11/30/2017
77406,Landscape or Open Space; Single Family Residential (Public Street),1,11/30/2017
77406,Landscape or Open Space; Single Family Residential (Public Street); Other,1,11/30/2017
77008,Unrestricted,1,11/30/2017
77092,Residential Guest Parking; Single Family Residential (Shared Driveways),1,11/30/2017
77389,Street Dedication,1,11/30/2017
77080,Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,11/30/2017
77008,Single Family Residential (Public Street),1,11/30/2017
77498,Unrestricted,1,11/30/2017
77004,Unrestricted Intended for Multifamily,1,11/30/2017
77449,Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,11/30/2017
77373,Commercial,1,11/30/2017
77007,Unrestricted,1,11/30/2017
77493,Unrestricted,1,11/30/2017
77339,Unrestricted,1,11/30/2017
77007,Single Family Residential (Shared Driveways),1,11/30/2017
77004,Single Family Residential (Public Street),1,11/30/2017
77060,Single Family Residential (Public Street),1,11/30/2017
77449,Unrestricted,1,11/30/2017
77009,Single Family Residential (Shared Driveways),1,11/30/2017
77008,Single Family Residential (Public Street),1,11/30/2017
77007,Single Family Residential (Shared Driveways),1,11/30/2017
77024,Unrestricted,1,11/30/2017
77080,Unrestricted,1,11/30/2017
77377,General Plan,1,11/30/2017
77377,Unrestricted,1,11/30/2017
77086,Landscape or Open Space; Single Family Residential (Public Street),1,11/30/2017
77098,Single Family Residential (Public Street),1,11/30/2017
77064,Unrestricted,1,11/30/2017
77493,General Plan,1,11/30/2017
77493,Unrestricted; Landscape or Open Space; Single Family Residential (Public Street),1,11/30/2017
77045,Compensating Open Space; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,11/30/2017
77038,Unrestricted,1,11/30/2017
77090,Unrestricted,1,11/30/2017
77530,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,11/30/2017
77530,Single Family Residential (Public Street),1,11/30/2017
77530,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Other,1,11/30/2017
77085,Unrestricted,1,11/30/2017
77077,Single Family Residential (PAE 1/PAE 2),1,11/30/2017
77023,Single Family Residential (Public Street),1,11/30/2017
77080,Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,11/30/2017
77098,Single Family Residential (Shared Driveways),1,11/30/2017
77064,General Plan,1,11/30/2017
77064,Unrestricted,1,11/30/2017
77365,Single Family Residential (Public Street),1,11/30/2017
77493,Single Family Residential (Public Street),1,11/30/2017
77026,Single Family Residential (Public Street),1,11/30/2017
77093,Single Family Residential (Shared Driveways),1,11/30/2017
77040,Commercial,1,11/30/2017
77406,Single Family Residential (Public Street),1,11/30/2017
77406,Landscape or Open Space; Single Family Residential (Public Street),1,11/30/2017
77044,Unrestricted,1,11/30/2017
77044,Landscape or Open Space; Single Family Residential (Public Street),1,11/30/2017
77030,Single Family Residential (Public Street),1,11/30/2017
77014,Landscape or Open Space; Single Family Residential (Public Street),1,11/30/2017
77085,General Plan,1,11/30/2017
77447,Single Family Residential (Public Street),1,11/30/2017
77373,Unrestricted,1,11/30/2017
77450,Commercial,1,11/30/2017
77004,Single Family Residential (Public Street),1,11/30/2017
77084,Unrestricted,1,11/30/2017
77494,Single Family Residential (Public Street),1,11/30/2017
77007,Commercial; Single Family Residential (Public Street),1,11/30/2017
77009,Single Family Residential (Public Street),1,11/30/2017
77027,Single Family Residential (Shared Driveways),1,11/30/2017
77057,Single Family Residential (Shared Driveways),1,11/30/2017
77057,Single Family Residential (Shared Driveways),1,11/30/2017
