Zip Code,Land Use,Count,Date
77039,Unrestricted,1,9/14/2017
77008,Single Family Residential (Public Street),1,9/14/2017
77080,Unrestricted,1,9/14/2017
77006,Unrestricted,1,9/14/2017
77396,Single Family Residential (Public Street),1,9/14/2017
77396,Single Family Residential (Public Street),1,9/14/2017
77396,Street Dedication,1,9/14/2017
77386,Single Family Residential (Public Street),1,9/14/2017
77007,Single Family Residential (Public Street),1,9/14/2017
77085,Unrestricted,1,9/14/2017
77084,Unrestricted,1,9/14/2017
77031,Commercial,1,9/14/2017
77007,Single Family Residential (Public Street),1,9/14/2017
77057,Unrestricted,1,9/14/2017
77433,Landscape or Open Space; Single Family Residential (Public Street),1,9/14/2017
77346,General Plan,1,9/14/2017
77346,Landscape or Open Space; Single Family Residential (Public Street); Single Family Residential (PAE 1/PAE 2),1,9/14/2017
77365,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,9/14/2017
77090,Unrestricted,1,9/14/2017
77082,Unrestricted,1,9/14/2017
77007,Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways),1,9/14/2017
77055,Single Family Residential (Public Street),1,9/14/2017
77407,Unrestricted,1,9/14/2017
77076,Residential Guest Parking; Single Family Residential (Shared Driveways),1,9/14/2017
77047,Single Family Residential (PAE 1/PAE 2),1,9/14/2017
77006,Unrestricted,1,9/14/2017
77041,Unrestricted,1,9/14/2017
77016,Unrestricted,1,9/14/2017
77098,Unrestricted,1,9/14/2017
77396,Unrestricted,1,9/14/2017
77396,Unrestricted,1,9/14/2017
77009,Single Family Residential (Public Street),1,9/14/2017
77073,Unrestricted,1,9/14/2017
77060,Unrestricted,1,9/14/2017
77375,"Water Treatment, Production or Repressurization",1,9/14/2017
77388,Unrestricted,1,9/14/2017
77016,Commercial,1,9/14/2017
77373,Single Family Residential (Public Street),1,9/14/2017
77084,Unrestricted Intended for Multifamily,1,9/14/2017
77087,Unrestricted,1,9/14/2017
77054,Unrestricted,1,9/14/2017
77484,Single Family Residential (PAE 1/PAE 2),1,9/14/2017
77073,Unrestricted,1,9/14/2017
77091,Single Family Residential (PAE 1/PAE 2),1,9/14/2017
77055,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,9/14/2017
77449,Single Family Residential (Public Street),1,9/14/2017
77449,Single Family Residential (Public Street),1,9/14/2017
77493,Single Family Residential (Public Street),1,9/14/2017
77083,Single Family Residential (PAE 1/PAE 2),1,9/14/2017
77406,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,9/14/2017
77022,Single Family Residential (Public Street),1,9/14/2017
77484,"Church, School and Institutional",1,9/14/2017
77020,Single Family Residential (Public Street),1,9/14/2017
77035,Commercial,1,9/14/2017
77055,Single Family Residential (Public Street),1,9/14/2017
77055,Single Family Residential (Public Street),1,9/14/2017
77433,Single Family Residential (Public Street),1,9/14/2017
77018,Single Family Residential (Public Street),1,9/14/2017
77027,Single Family Residential (Public Street),1,9/14/2017
77373,Unrestricted,1,9/14/2017
77018,Single Family Residential (Shared Driveways),1,9/14/2017
77336,Unrestricted; Single Family Residential (Public Street); Single Family Residential (PAE 1/PAE 2),1,9/14/2017
77004,Single Family Residential (Shared Driveways),1,9/14/2017
77377,Single Family Residential (Public Street),1,9/14/2017
77377,Single Family Residential (Public Street),1,9/14/2017
77373,Unrestricted,1,9/14/2017
77061,General Plan,1,9/14/2017
77061,Commercial,1,9/14/2017
77055,Single Family Residential (Shared Driveways); Other,1,9/14/2017
77044,General Plan,1,9/14/2017
77429,Commercial,1,9/14/2017
77598,Unrestricted,1,9/14/2017
77019,Single Family Residential (Public Street),1,9/14/2017
77008,Landscape or Open Space; Residential Guest Parking,1,9/14/2017
77003,Single Family Residential (Public Street),1,9/14/2017
77047,"Church, School and Institutional",1,9/14/2017
77015,Commercial,1,9/14/2017
77365,Unrestricted,1,9/14/2017
77388,Commercial,1,9/14/2017
77020,Single Family Residential (Public Street),1,9/14/2017
77009,Unrestricted,1,9/14/2017
77449,Single Family Residential (Public Street),1,9/14/2017
77038,Single Family Residential (Public Street),1,9/14/2017
77429,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,9/14/2017
77447,Single Family Residential (Public Street),1,9/14/2017
77057,Single Family Residential (Shared Driveways),1,9/14/2017
77381,"Church, School and Institutional; Drainage or Detention",1,9/14/2017
77065,Commercial,1,9/14/2017
