Zip Code,Land Use,Count,Date
77026,Single Family Residential (Public Street),1,8/27/2018
77027,Single Family Residential (Public Street),1,8/27/2018
77045,Single Family Residential (PAE 1/PAE 2),1,8/27/2018
77008,Single Family Residential (Public Street),1,8/27/2018
77407,General Plan,1,8/27/2018
77407,Landscape or Open Space,1,8/27/2018
77407,Landscape or Open Space,1,8/27/2018
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,8/27/2018
77373,Unrestricted,1,8/27/2018
77034,Commercial,1,8/27/2018
77065,Unrestricted Intended for Multifamily,1,8/27/2018
77015,Commercial,1,8/27/2018
77379,Unrestricted; Commercial,1,8/27/2018
77078,Commercial; Drainage or Detention; Single Family Residential (PAE 1/PAE 2),1,8/27/2018
77015,Commercial,1,8/27/2018
77447,Unrestricted,1,8/27/2018
77546,Unrestricted,1,8/27/2018
77085,Commercial,1,8/27/2018
77007,Single Family Residential (Public Street),1,8/27/2018
77054,Landscape or Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways),1,8/27/2018
77373,Drainage or Detention; Single Family Residential (Public Street),1,8/27/2018
77433,Street Dedication,1,8/27/2018
77433,General Plan,1,8/27/2018
77433,Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,8/27/2018
77433,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,8/27/2018
77433,Compensating Open Space; Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,8/27/2018
77433,Street Dedication,1,8/27/2018
77346,Drainage or Detention; Single Family Residential (Public Street),1,8/27/2018
77011,Single Family Residential (Public Street),1,8/27/2018
77011,Commercial,1,8/27/2018
77007,Single Family Residential (Public Street),1,8/27/2018
77003,Unrestricted Intended for Multifamily,1,8/27/2018
77029,Unrestricted,1,8/27/2018
77023,General Plan,1,8/27/2018
77023,Lift Station,1,8/27/2018
77007,Single Family Residential (Public Street),1,8/27/2018
77007,Single Family Residential (Public Street),1,8/27/2018
77429,Commercial,1,8/27/2018
77008,Residential Guest Parking; Single Family Residential (Shared Driveways),1,8/27/2018
77532,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,8/27/2018
77018,Single Family Residential (PAE 1/PAE 2); Other,1,8/27/2018
77068,Single Family Residential (Public Street),1,8/27/2018
77007,Single Family Residential (Shared Driveways),1,8/27/2018
77530,Commercial,1,8/27/2018
77377,Commercial,1,8/27/2018
77346,Unrestricted Intended for Multifamily,1,8/27/2018
77008,Single Family Residential (Shared Driveways),1,8/27/2018
77008,Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways),1,8/27/2018
77493,Drainage or Detention; Single Family Residential (Public Street),1,8/27/2018
77004,Unrestricted,1,8/27/2018
77493,Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,8/27/2018
77011,Single Family Residential (Public Street),1,8/27/2018
77003,Single Family Residential (Shared Driveways),1,8/27/2018
77003,Single Family Residential (Shared Driveways),1,8/27/2018
77007,Single Family Residential (Public Street),1,8/27/2018
77407,Unrestricted,1,8/27/2018
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,8/27/2018
77493,Unrestricted,1,8/27/2018
77346,Single Family Residential (Public Street),1,8/27/2018
77346,Single Family Residential (Public Street),1,8/27/2018
77009,Unrestricted,1,8/27/2018
77084,Landscape or Open Space; Single Family Residential (Public Street),1,8/27/2018
77008,Single Family Residential (Shared Driveways),1,8/27/2018
77049,Landscape or Open Space; Single Family Residential (Public Street),1,8/27/2018
77091,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,8/27/2018
77098,Single Family Residential (Public Street),1,8/27/2018
77379,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,8/27/2018
77084,Commercial,1,8/27/2018
77044,"Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,8/27/2018
77379,"Landscape or Open Space; Recreation; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,8/27/2018
77080,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,8/27/2018
77080,Unrestricted Intended for Multifamily,1,8/27/2018
77025,Unrestricted,1,8/27/2018
77002,Unrestricted,1,8/27/2018
77093,Unrestricted,1,8/27/2018
77048,Drainage or Detention; Single Family Residential (Public Street),1,8/27/2018
77433,Unrestricted,1,8/27/2018
77009,Single Family Residential (Shared Driveways),1,8/27/2018
77009,Single Family Residential (Shared Driveways),1,8/27/2018
77028,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,8/27/2018
77019,Unrestricted,1,8/27/2018
77429,General Plan,1,8/27/2018
77373,Unrestricted,1,8/27/2018
77396,Unrestricted,1,8/27/2018
77003,Unrestricted,1,8/27/2018
77022,Single Family Residential (Shared Driveways),1,8/27/2018
77008,Unrestricted,1,8/27/2018
77008,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways),1,8/27/2018
77003,Single Family Residential (Shared Driveways),1,8/27/2018
77003,Single Family Residential (Shared Driveways),1,8/27/2018
77003,Single Family Residential (Shared Driveways),1,8/27/2018
77003,Single Family Residential (Shared Driveways),1,8/27/2018
77017,Unrestricted,1,8/27/2018
77494,Unrestricted,1,8/27/2018
77493,Landscape or Open Space; Single Family Residential (Public Street),1,8/27/2018
77006,Single Family Residential (Public Street),1,8/27/2018
77056,Unrestricted,1,8/27/2018
77449,Street Dedication,1,8/27/2018
77003,Single Family Residential (Shared Driveways),1,8/27/2018
77003,Single Family Residential (Shared Driveways),1,8/27/2018
77073,Single Family Residential (Public Street),1,8/27/2018
77083,Unrestricted,1,8/27/2018
77069,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,8/27/2018
77055,Single Family Residential (PAE 1/PAE 2),1,8/27/2018
77019,Unrestricted,1,8/27/2018
77007,Single Family Residential (Public Street),1,8/27/2018
77377,Landscape or Open Space,1,8/27/2018
77021,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,8/27/2018
77055,Single Family Residential (PAE 1/PAE 2),1,8/27/2018
77083,Unrestricted,1,8/27/2018
77007,Unrestricted,1,8/27/2018
77008,Unrestricted,1,8/27/2018
77009,Single Family Residential (Public Street),1,8/27/2018
77389,Street Dedication,1,8/27/2018
77389,Unrestricted,1,8/27/2018
77026,Single Family Residential (Public Street); Street Dedication,1,8/27/2018
77083,Unrestricted,1,8/27/2018
77429,Unrestricted,1,8/27/2018
77083,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,8/27/2018
77026,Unrestricted,1,8/27/2018
77433,Landscape or Open Space; Single Family Residential (Public Street),1,8/27/2018
77044,Commercial,1,8/27/2018
77066,Compensating Open Space; Single Family Residential (Public Street),1,8/27/2018
77057,Unrestricted,1,8/27/2018
77449,Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,8/27/2018
77015,Unrestricted,1,8/27/2018
77023,Single Family Residential (Shared Driveways),1,8/27/2018
77008,Commercial,1,8/27/2018
77098,Single Family Residential (Public Street),1,8/27/2018
77346,General Plan,1,8/27/2018
77027,Single Family Residential (Public Street),1,8/27/2018
77022,Drainage or Detention; Single Family Residential (PAE 1/PAE 2),1,8/27/2018
77375,Street Dedication,1,8/27/2018
77377,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,8/27/2018
77336,Landscape or Open Space; Single Family Residential (Public Street),1,8/27/2018
77336,Single Family Residential (Public Street),1,8/27/2018
77336,Single Family Residential (Public Street),1,8/27/2018
77336,Landscape or Open Space; Single Family Residential (Public Street),1,8/27/2018
77336,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,8/27/2018
