Zip Code,Land Use,Count,Date
77045,Single Family Residential (PAE 1/PAE 2),1,7/19/2018
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,7/19/2018
77007,Residential Guest Parking; Single Family Residential (Shared Driveways),1,7/19/2018
77017,Unrestricted,1,7/19/2018
77017,Unrestricted,1,7/19/2018
77017,Unrestricted,1,7/19/2018
77493,Unrestricted Intended for Multifamily,1,7/19/2018
77032,Unrestricted,1,7/19/2018
77079,Commercial,1,7/19/2018
77008,Commercial,1,7/19/2018
77038,Unrestricted,1,7/19/2018
77346,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,7/19/2018
77346,Single Family Residential (Public Street),1,7/19/2018
77447,Compensating Open Space; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,7/19/2018
77447,Landscape or Open Space; Single Family Residential (Public Street),1,7/19/2018
77447,Single Family Residential (Public Street),1,7/19/2018
77073,Unrestricted,1,7/19/2018
77039,Unrestricted,1,7/19/2018
77009,Single Family Residential (Shared Driveways),1,7/19/2018
77020,Single Family Residential (Public Street),1,7/19/2018
77030,Other,1,7/19/2018
77373,General Plan,1,7/19/2018
77433,Landscape or Open Space; Single Family Residential (Public Street),1,7/19/2018
77365,Unrestricted; Compensating Open Space; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,7/19/2018
77484,Commercial,1,7/19/2018
77357,Unrestricted,1,7/19/2018
77047,Unrestricted,1,7/19/2018
77051,Residential Guest Parking; Single Family Residential (Shared Driveways),1,7/19/2018
77377,Single Family Residential (Public Street),1,7/19/2018
77406,Single Family Residential (Public Street),1,7/19/2018
77022,Unrestricted,1,7/19/2018
77008,Single Family Residential (Public Street),1,7/19/2018
77093,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,7/19/2018
77020,Unrestricted,1,7/19/2018
77007,Single Family Residential (Public Street),1,7/19/2018
77091,Single Family Residential (Shared Driveways),1,7/19/2018
77075,Lift Station,1,7/19/2018
77026,Single Family Residential (Shared Driveways),1,7/19/2018
77091,Commercial,1,7/19/2018
77093,Single Family Residential (Public Street),1,7/19/2018
77379,Unrestricted,1,7/19/2018
77007,Single Family Residential (Shared Driveways),1,7/19/2018
77007,Single Family Residential (Public Street),1,7/19/2018
77396,Unrestricted,1,7/19/2018
77407,Unrestricted,1,7/19/2018
77064,Unrestricted,1,7/19/2018
77084,Landscape or Open Space; Single Family Residential (Public Street),1,7/19/2018
77375,Landscape or Open Space; Single Family Residential (Public Street),1,7/19/2018
77346,Landscape or Open Space; Single Family Residential (Public Street),1,7/19/2018
77049,Unrestricted,1,7/19/2018
77095,Commercial,1,7/19/2018
77373,Unrestricted,1,7/19/2018
77032,Unrestricted,1,7/19/2018
77406,Street Dedication,1,7/19/2018
77070,Commercial,1,7/19/2018
77076,Unrestricted,1,7/19/2018
77091,Single Family Residential (Shared Driveways),1,7/19/2018
77004,Other,1,7/19/2018
77049,Unrestricted,1,7/19/2018
77450,Unrestricted,1,7/19/2018
77055,Unrestricted,1,7/19/2018
77091,Single Family Residential (PAE 1/PAE 2),1,7/19/2018
77086,Unrestricted,1,7/19/2018
77012,Commercial,1,7/19/2018
77007,Single Family Residential (Public Street),1,7/19/2018
77007,Single Family Residential (Public Street),1,7/19/2018
77449,Commercial,1,7/19/2018
77493,General Plan,1,7/19/2018
77493,Unrestricted,1,7/19/2018
77084,General Plan,1,7/19/2018
77346,Unrestricted,1,7/19/2018
77407,Single Family Residential (Public Street),1,7/19/2018
77044,Drainage or Detention; Landscape or Open Space; Street Dedication,1,7/19/2018
77044,Drainage or Detention; Street Dedication,1,7/19/2018
77389,Unrestricted,1,7/19/2018
77003,Unrestricted,1,7/19/2018
77080,Unrestricted Intended for Multifamily,1,7/19/2018
77433,Unrestricted Intended for Multifamily,1,7/19/2018
77484,Single Family Residential (Public Street),1,7/19/2018
77003,Unrestricted,1,7/19/2018
77020,Single Family Residential (Public Street),1,7/19/2018
