Zip Code,Land Use,Count,Date
77449,Compensating Open Space; Single Family Residential (Public Street),1,3/1/2018
77076,Unrestricted,1,3/1/2018
77088,Other,1,3/1/2018
77407,Landscape or Open Space,1,3/1/2018
77047,Commercial,1,3/1/2018
77048,Unrestricted,1,3/1/2018
77379,Unrestricted; Drainage or Detention; Single Family Residential (PAE 1/PAE 2),1,3/1/2018
77096,Single Family Residential (PAE 1/PAE 2),1,3/1/2018
77022,Single Family Residential (Public Street),1,3/1/2018
77006,Unrestricted Intended for Multifamily,1,3/1/2018
77396,Single Family Residential (Public Street),1,3/1/2018
77346,Single Family Residential (Public Street),1,3/1/2018
77396,General Plan,1,3/1/2018
77030,Single Family Residential (Shared Driveways),1,3/1/2018
77433,Landscape or Open Space; Single Family Residential (Public Street),1,3/1/2018
77407,Unrestricted,1,3/1/2018
77055,Unrestricted Intended for Multifamily,1,3/1/2018
77088,Unrestricted,1,3/1/2018
77006,Single Family Residential (Shared Driveways),1,3/1/2018
77009,Single Family Residential (Shared Driveways),1,3/1/2018
77007,Single Family Residential (Public Street),1,3/1/2018
77007,Unrestricted,1,3/1/2018
77066,Unrestricted,1,3/1/2018
77406,Single Family Residential (Public Street),1,3/1/2018
77449,Commercial; Drainage or Detention,1,3/1/2018
77007,Single Family Residential (Public Street),1,3/1/2018
77019,Unrestricted,1,3/1/2018
77091,Single Family Residential (PAE 1/PAE 2),1,3/1/2018
77447,Drainage or Detention; Recreation; Single Family Residential (Public Street),1,3/1/2018
77447,Single Family Residential (Public Street),1,3/1/2018
77447,Single Family Residential (Public Street),1,3/1/2018
77377,Other,1,3/1/2018
77003,Single Family Residential (Shared Driveways),1,3/1/2018
77020,Landscape or Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways),1,3/1/2018
77051,Unrestricted,1,3/1/2018
77023,Residential Guest Parking; Single Family Residential (Shared Driveways),1,3/1/2018
77083,General Plan,1,3/1/2018
77083,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,3/1/2018
77338,Single Family Residential (Public Street),1,3/1/2018
77338,Single Family Residential (Public Street),1,3/1/2018
77429,Landscape or Open Space; Single Family Residential (Public Street),1,3/1/2018
77003,Single Family Residential (Public Street),1,3/1/2018
77045,Unrestricted,1,3/1/2018
