Zip Code,Land Use,Count,Date
77060,Commercial,1,5/24/2018
77407,Landscape or Open Space; Single Family Residential (Public Street),1,5/24/2018
77007,Single Family Residential (Shared Driveways),1,5/24/2018
77377,Street Dedication,1,5/24/2018
77082,Unrestricted,1,5/24/2018
77004,Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways),1,5/24/2018
77075,Commercial,1,5/24/2018
77346,Single Family Residential (PAE 1/PAE 2),1,5/24/2018
77447,Single Family Residential (Public Street),1,5/24/2018
77057,Unrestricted,1,5/24/2018
77056,Unrestricted,1,5/24/2018
77042,Single Family Residential (Public Street),1,5/24/2018
77063,Street Dedication,1,5/24/2018
77098,Unrestricted,1,5/24/2018
77433,Single Family Residential (Public Street),1,5/24/2018
77433,Single Family Residential (Public Street),1,5/24/2018
77433,Landscape or Open Space; Single Family Residential (Public Street); Other,1,5/24/2018
77433,Landscape or Open Space; Single Family Residential (Public Street),1,5/24/2018
77433,Landscape or Open Space; Single Family Residential (Public Street),1,5/24/2018
77433,Street Dedication,1,5/24/2018
77377,Unrestricted,1,5/24/2018
77055,Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,5/24/2018
77045,Unrestricted,1,5/24/2018
77073,Unrestricted,1,5/24/2018
77406,Landscape or Open Space; Single Family Residential (Public Street),1,5/24/2018
77532,Single Family Residential (Public Street),1,5/24/2018
77493,Unrestricted,1,5/24/2018
77447,Street Dedication,1,5/24/2018
77090,Landscape or Open Space; Single Family Residential (Public Street),1,5/24/2018
77093,Single Family Residential (Shared Driveways),1,5/24/2018
77051,Single Family Residential (Public Street),1,5/24/2018
77493,Landscape or Open Space; Single Family Residential (Public Street),1,5/24/2018
77429,Landscape or Open Space; Single Family Residential (Public Street),1,5/24/2018
77433,Commercial,1,5/24/2018
77389,Single Family Residential (Public Street),1,5/24/2018
77493,Unrestricted,1,5/24/2018
77044,Unrestricted,1,5/24/2018
77407,Landscape or Open Space; Single Family Residential (Public Street),1,5/24/2018
77407,Landscape or Open Space; Single Family Residential (Public Street),1,5/24/2018
77407,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street),1,5/24/2018
77407,Unrestricted,1,5/24/2018
77375,Commercial,1,5/24/2018
77406,General Plan,1,5/24/2018
77406,Drainage or Detention; Single Family Residential (Public Street),1,5/24/2018
77406,Single Family Residential (Public Street),1,5/24/2018
77047,Unrestricted,1,5/24/2018
77008,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,5/24/2018
77093,Unrestricted,1,5/24/2018
77066,Unrestricted,1,5/24/2018
77336,Unrestricted,1,5/24/2018
77006,Single Family Residential (Public Street),1,5/24/2018
77049,Single Family Residential (Public Street),1,5/24/2018
77007,Unrestricted,1,5/24/2018
77032,Unrestricted,1,5/24/2018
77484,Commercial,1,5/24/2018
77091,Single Family Residential (Public Street),1,5/24/2018
77375,Unrestricted; Commercial,1,5/24/2018
77375,Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,5/24/2018
77076,Commercial,1,5/24/2018
77377,Street Dedication,1,5/24/2018
77080,Unrestricted Intended for Multifamily,1,5/24/2018
77035,Single Family Residential (PAE 1/PAE 2),1,5/24/2018
77449,Unrestricted,1,5/24/2018
77498,Unrestricted,1,5/24/2018
77022,Single Family Residential (Public Street),1,5/24/2018
77096,Single Family Residential (Public Street),1,5/24/2018
77406,Street Dedication,1,5/24/2018
77043,Single Family Residential (Shared Driveways),1,5/24/2018
77098,Unrestricted,1,5/24/2018
77033,Unrestricted,1,5/24/2018
77008,Single Family Residential (Public Street),1,5/24/2018
77008,Commercial,1,5/24/2018
77375,Unrestricted; Street Dedication,1,5/24/2018
77084,Single Family Residential (Public Street),1,5/24/2018
77008,Unrestricted; Compensating Open Space; Landscape or Open Space; Recreation; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways),1,5/24/2018
77386,Unrestricted,1,5/24/2018
77006,Single Family Residential (Public Street),1,5/24/2018
77028,Single Family Residential (Shared Driveways),1,5/24/2018
77048,Single Family Residential (Public Street),1,5/24/2018
77389,Single Family Residential (Public Street),1,5/24/2018
77055,Unrestricted,1,5/24/2018
77080,Compensating Open Space; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,5/24/2018
77076,Unrestricted,1,5/24/2018
77008,Unrestricted,1,5/24/2018
77073,Single Family Residential (Public Street),1,5/24/2018
77008,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,5/24/2018
77090,Street Dedication,1,5/24/2018
77377,Landscape or Open Space,1,5/24/2018
