Zip Code,Land Use,Count,Date
77011,Unrestricted,1,11/29/2018
77365,Commercial; Drainage or Detention,1,11/29/2018
77033,Single Family Residential (Public Street),1,11/29/2018
77019,Unrestricted Intended for Multifamily,1,11/29/2018
77396,Commercial,1,11/29/2018
77346,Single Family Residential (Public Street),1,11/29/2018
77346,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,11/29/2018
77023,Single Family Residential (Shared Driveways),1,11/29/2018
77406,Unrestricted,1,11/29/2018
77024,Unrestricted,1,11/29/2018
77011,Single Family Residential (Public Street),1,11/29/2018
77433,Drainage or Detention; Landscape or Open Space; Lift Station; Other,1,11/29/2018
77056,Single Family Residential (Public Street),1,11/29/2018
77011,Residential Guest Parking; Single Family Residential (Shared Driveways),1,11/29/2018
77447,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,11/29/2018
77051,Single Family Residential (Public Street),1,11/29/2018
77022,Unrestricted,1,11/29/2018
77055,Single Family Residential (Public Street),1,11/29/2018
77090,Compensating Open Space; Single Family Residential (Public Street),1,11/29/2018
77530,Commercial,1,11/29/2018
77087,Unrestricted,1,11/29/2018
77076,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,11/29/2018
77003,Single Family Residential (Public Street),1,11/29/2018
77075,General Plan,1,11/29/2018
77075,Landscape or Open Space; Single Family Residential (Public Street),1,11/29/2018
77026,Residential Guest Parking; Single Family Residential (Shared Driveways),1,11/29/2018
77429,Unrestricted,1,11/29/2018
77006,Unrestricted,1,11/29/2018
77407,Unrestricted,1,11/29/2018
77091,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,11/29/2018
77032,Unrestricted,1,11/29/2018
77346,Landscape or Open Space; Single Family Residential (Public Street),1,11/29/2018
77396,"Water Treatment, Production or Repressurization",1,11/29/2018
77447,Unrestricted,1,11/29/2018
77080,Unrestricted,1,11/29/2018
77016,Unrestricted,1,11/29/2018
77029,Unrestricted,1,11/29/2018
77073,Unrestricted,1,11/29/2018
77493,Unrestricted; Single Family Residential (Public Street),1,11/29/2018
77493,Single Family Residential (Public Street),1,11/29/2018
77037,Unrestricted,1,11/29/2018
77449,Commercial,1,11/29/2018
77018,Single Family Residential (Public Street),1,11/29/2018
77067,Commercial,1,11/29/2018
77379,Single Family Residential (PAE 1/PAE 2),1,11/29/2018
77429,Unrestricted,1,11/29/2018
77407,Commercial,1,11/29/2018
77007,Unrestricted,1,11/29/2018
77012,Single Family Residential (Public Street),1,11/29/2018
77093,Single Family Residential (Public Street),1,11/29/2018
77406,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,11/29/2018
77061,Unrestricted,1,11/29/2018
77003,Unrestricted,1,11/29/2018
77433,Street Dedication,1,11/29/2018
77433,General Plan,1,11/29/2018
77433,Landscape or Open Space; Single Family Residential (Public Street),1,11/29/2018
77084,Unrestricted,1,11/29/2018
77493,"Landscape or Open Space; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,11/29/2018
77004,Single Family Residential (Public Street),1,11/29/2018
77018,Residential Guest Parking; Single Family Residential (Shared Driveways),1,11/29/2018
77532,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,11/29/2018
77018,Single Family Residential (PAE 1/PAE 2),1,11/29/2018
77073,Unrestricted,1,11/29/2018
77084,Unrestricted,1,11/29/2018
77015,Unrestricted,1,11/29/2018
77080,Unrestricted,1,11/29/2018
77007,Residential Guest Parking; Single Family Residential (Shared Driveways),1,11/29/2018
77377,Unrestricted,1,11/29/2018
77365,"Water Treatment, Production or Repressurization",1,11/29/2018
77022,Compensating Open Space; Drainage or Detention,1,11/29/2018
77020,Unrestricted,1,11/29/2018
77008,Unrestricted,1,11/29/2018
77008,Unrestricted,1,11/29/2018
77008,Unrestricted,1,11/29/2018
77008,Unrestricted,1,11/29/2018
77070,Unrestricted,1,11/29/2018
77386,Commercial,1,11/29/2018
77065,Unrestricted Intended for Multifamily,1,11/29/2018
77407,Single Family Residential (PAE 1/PAE 2),1,11/29/2018
77007,Unrestricted,1,11/29/2018
77346,Unrestricted,1,11/29/2018
77007,Single Family Residential (Public Street),1,11/29/2018
77088,Single Family Residential (Public Street),1,11/29/2018
77070,Unrestricted,1,11/29/2018
77070,Unrestricted,1,11/29/2018
77007,Single Family Residential (Public Street),1,11/29/2018
77087,Commercial,1,11/29/2018
77016,General Plan,1,11/29/2018
77016,Landscape or Open Space; Single Family Residential (Public Street),1,11/29/2018
77030,Unrestricted,1,11/29/2018
77003,Unrestricted,1,11/29/2018
77057,Single Family Residential (Public Street),1,11/29/2018
77080,Street Dedication,1,11/29/2018
77545,Compensating Open Space; Landscape or Open Space,1,11/29/2018
77380,Unrestricted,1,11/29/2018
77018,Drainage or Detention; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,11/29/2018
