Zip Code,Land Use,Count,Date
77407,Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019
77493,Unrestricted Intended for Multifamily,1,8/22/2019
77004,Unrestricted Intended for Multifamily,1,8/22/2019
77007,Residential Guest Parking; Single Family Residential (Shared Driveways),1,8/22/2019
77396,Drainage or Detention; Landscape or Open Space,1,8/22/2019
77447,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,8/22/2019
77447,Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019
77447,Unrestricted; Street Dedication,1,8/22/2019
77493,Street Dedication,1,8/22/2019
77447,"Water Treatment, Production or Repressurization",1,8/22/2019
77396,General Plan,1,8/22/2019
77396,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019
77063,Unrestricted,1,8/22/2019
77373,Lift Station,1,8/22/2019
77433,Street Dedication,1,8/22/2019
77433,Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019
77056,Single Family Residential (Shared Driveways),1,8/22/2019
77365,Unrestricted; Compensating Open Space; Drainage or Detention; Landscape or Open Space; Lift Station,1,8/22/2019
77019,Unrestricted,1,8/22/2019
77019,Commercial,1,8/22/2019
77051,Unrestricted,1,8/22/2019
77008,Single Family Residential (Public Street),1,8/22/2019
77022,Single Family Residential (Public Street),1,8/22/2019
77373,Unrestricted,1,8/22/2019
77007,Commercial,1,8/22/2019
77020,Single Family Residential (Public Street),1,8/22/2019
77545,Unrestricted,1,8/22/2019
77055,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,8/22/2019
77098,Unrestricted Intended for Multifamily,1,8/22/2019
77051,Unrestricted,1,8/22/2019
77406,Single Family Residential (Public Street),1,8/22/2019
77095,General Plan,1,8/22/2019
77095,Unrestricted,1,8/22/2019
77084,Commercial; Drainage or Detention; Street Dedication,1,8/22/2019
77373,"Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Water Treatment, Production or Repressurization",1,8/22/2019
77088,Single Family Residential (Public Street),1,8/22/2019
77007,Unrestricted,1,8/22/2019
77059,Single Family Residential (PAE 1/PAE 2),1,8/22/2019
77447,Unrestricted,1,8/22/2019
77018,Residential Guest Parking; Single Family Residential (Shared Driveways),1,8/22/2019
77018,Residential Guest Parking; Single Family Residential (Shared Driveways),1,8/22/2019
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019
77022,Single Family Residential (Public Street),1,8/22/2019
77002,Unrestricted,1,8/22/2019
77034,Unrestricted,1,8/22/2019
77379,Commercial,1,8/22/2019
77044,Unrestricted,1,8/22/2019
77007,Commercial,1,8/22/2019
77407,Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,8/22/2019
77407,Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019
77336,Drainage or Detention; Single Family Residential (Public Street),1,8/22/2019
77044,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019
77346,Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019
77346,Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019
77346,Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019
77017,Unrestricted Intended for Multifamily,1,8/22/2019
77373,Single Family Residential (Public Street),1,8/22/2019
77023,Unrestricted,1,8/22/2019
77020,Single Family Residential (Public Street),1,8/22/2019
77011,Single Family Residential (Shared Driveways),1,8/22/2019
77336,Commercial,1,8/22/2019
77004,Unrestricted Intended for Multifamily,1,8/22/2019
77070,General Plan,1,8/22/2019
77406,General Plan,1,8/22/2019
77020,Single Family Residential (Public Street),1,8/22/2019
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019
77406,Single Family Residential (Public Street),1,8/22/2019
77009,Single Family Residential (Public Street),1,8/22/2019
77044,Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019
77449,Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019
77449,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019
77080,Unrestricted Intended for Multifamily,1,8/22/2019
77021,Single Family Residential (Public Street),1,8/22/2019
77429,Commercial,1,8/22/2019
77406,Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019
77406,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,8/22/2019
77449,Single Family Residential (Public Street),1,8/22/2019
77055,Single Family Residential (Public Street),1,8/22/2019
77022,Single Family Residential (Public Street); Other,1,8/22/2019
77377,Single Family Residential (Public Street),1,8/22/2019
77021,Single Family Residential (Public Street),1,8/22/2019
77098,Unrestricted,1,8/22/2019
77493,Drainage or Detention; Single Family Residential (Public Street),1,8/22/2019
77039,Commercial,1,8/22/2019
77357,Lift Station,1,8/22/2019
77020,Single Family Residential (Public Street),1,8/22/2019
77020,Single Family Residential (Public Street),1,8/22/2019
77354,Drainage or Detention,1,8/22/2019
77091,Residential Guest Parking; Single Family Residential (Shared Driveways),1,8/22/2019
77009,Single Family Residential (Public Street),1,8/22/2019
77018,Unrestricted,1,8/22/2019
77447,Unrestricted,1,8/22/2019
77044,Landscape or Open Space; Street Dedication,1,8/22/2019
77003,Single Family Residential (Public Street),1,8/22/2019
