Zip Code,Land Use,Count,Date
77449,Landscape or Open Space,1,1/3/2019
77377,Landscape or Open Space; Single Family Residential (Public Street),1,1/3/2019
77377,Landscape or Open Space; Single Family Residential (Public Street),1,1/3/2019
77053,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (Public Street),1,1/3/2019
77089,Single Family Residential (Public Street),1,1/3/2019
77447,Unrestricted,1,1/3/2019
77045,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,1/3/2019
77447,General Plan,1,1/3/2019
77447,Single Family Residential (Public Street),1,1/3/2019
77447,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,1/3/2019
77407,Street Dedication,1,1/3/2019
77095,Unrestricted,1,1/3/2019
77007,Unrestricted,1,1/3/2019
77040,Unrestricted,1,1/3/2019
77027,Unrestricted,1,1/3/2019
77380,Unrestricted,1,1/3/2019
77489,Single Family Residential (PAE 1/PAE 2),1,1/3/2019
77493,Unrestricted,1,1/3/2019
77040,Unrestricted,1,1/3/2019
77034,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,1/3/2019
77019,Unrestricted,1,1/3/2019
77098,Unrestricted Intended for Multifamily,1,1/3/2019
77063,Single Family Residential (Public Street),1,1/3/2019
77055,Single Family Residential (Public Street),1,1/3/2019
77494,Commercial,1,1/3/2019
77377,Drainage or Detention; Landscape or Open Space,1,1/3/2019
77009,Unrestricted; Single Family Residential (Shared Driveways),1,1/3/2019
77008,Single Family Residential (Shared Driveways),1,1/3/2019
77004,Single Family Residential (Shared Driveways),1,1/3/2019
77388,Unrestricted,1,1/3/2019
77429,Single Family Residential (Public Street),1,1/3/2019
77040,Unrestricted,1,1/3/2019
77003,Single Family Residential (Public Street),1,1/3/2019
77009,Single Family Residential (Public Street),1,1/3/2019
77386,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street),1,1/3/2019
77021,Single Family Residential (Public Street),1,1/3/2019
77049,Commercial,1,1/3/2019
77447,Unrestricted; Drainage or Detention,1,1/3/2019
77377,Unrestricted,1,1/3/2019
77449,General Plan,1,1/3/2019
77066,Unrestricted,1,1/3/2019
77346,Street Dedication,1,1/3/2019
77346,Landscape or Open Space; Single Family Residential (Public Street),1,1/3/2019
77406,Commercial,1,1/3/2019
77004,Single Family Residential (Shared Driveways),1,1/3/2019
77598,Unrestricted,1,1/3/2019
77396,Drainage or Detention,1,1/3/2019
77346,Landscape or Open Space,1,1/3/2019
77053,Unrestricted,1,1/3/2019
77093,Commercial,1,1/3/2019
77029,Unrestricted,1,1/3/2019
77009,Unrestricted,1,1/3/2019
77011,Single Family Residential (Shared Driveways),1,1/3/2019
77075,Single Family Residential (Public Street),1,1/3/2019
77088,Unrestricted,1,1/3/2019
77033,Single Family Residential (Public Street),1,1/3/2019
77449,Other,1,1/3/2019
77493,General Plan,1,1/3/2019
77493,Landscape or Open Space; Single Family Residential (Public Street),1,1/3/2019
77493,Recreation,1,1/3/2019
77080,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,1/3/2019
77053,Commercial,1,1/3/2019
77493,"Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (PAE 1/PAE 2); Water Treatment, Production or Repressurization",1,1/3/2019
77407,Single Family Residential (Public Street),1,1/3/2019
77407,Landscape or Open Space; Single Family Residential (Public Street),1,1/3/2019
77044,Unrestricted,1,1/3/2019
77055,Single Family Residential (Public Street),1,1/3/2019
77407,Landscape or Open Space; Single Family Residential (Public Street),1,1/3/2019
77379,Unrestricted,1,1/3/2019
77008,Unrestricted,1,1/3/2019
77493,Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,1/3/2019
77093,Single Family Residential (Public Street),1,1/3/2019
77047,Commercial,1,1/3/2019
77433,Landscape or Open Space; Street Dedication,1,1/3/2019
77433,Single Family Residential (Public Street),1,1/3/2019
77429,Unrestricted,1,1/3/2019
77498,Single Family Residential (PAE 1/PAE 2),1,1/3/2019
77080,Residential Guest Parking; Single Family Residential (Shared Driveways),1,1/3/2019
77530,Commercial,1,1/3/2019
77532,Landscape or Open Space; Single Family Residential (Public Street),1,1/3/2019
77011,Single Family Residential (Public Street),1,1/3/2019
77336,Other,1,1/3/2019
