Zip Code,Land Use,Count,Date
77449,Compensating Open Space; Drainage or Detention; Landscape or Open Space,1,7/25/2019
77407,Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77093,Single Family Residential (Public Street),1,7/25/2019
77007,Unrestricted,1,7/25/2019
77449,Single Family Residential (Public Street),1,7/25/2019
77346,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street); Other,1,7/25/2019
77346,Landscape or Open Space,1,7/25/2019
77386,Unrestricted,1,7/25/2019
77493,Street Dedication,1,7/25/2019
77447,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77447,"Water Treatment, Production or Repressurization",1,7/25/2019
77396,General Plan,1,7/25/2019
77396,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77386,Other,1,7/25/2019
77088,Landscape or Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways),1,7/25/2019
77099,Commercial,1,7/25/2019
77433,Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,7/25/2019
77433,Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77433,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,7/25/2019
77433,Street Dedication,1,7/25/2019
77043,General Plan,1,7/25/2019
77043,Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,7/25/2019
77056,Single Family Residential (Shared Driveways),1,7/25/2019
77493,Compensating Open Space; Single Family Residential (Public Street),1,7/25/2019
77073,Unrestricted,1,7/25/2019
77066,General Plan,1,7/25/2019
77047,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,7/25/2019
77079,"Water Treatment, Production or Repressurization",1,7/25/2019
77018,Single Family Residential (Public Street),1,7/25/2019
77055,Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,7/25/2019
77429,Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77429,Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77406,Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77095,Unrestricted,1,7/25/2019
77379,Unrestricted,1,7/25/2019
77379,Unrestricted,1,7/25/2019
77090,Compensating Open Space; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,7/25/2019
77338,Unrestricted; Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77060,Single Family Residential (PAE 1/PAE 2),1,7/25/2019
77447,Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77598,General Plan,1,7/25/2019
77072,Unrestricted,1,7/25/2019
77389,Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77375,"Unrestricted; Water Treatment, Production or Repressurization",1,7/25/2019
77019,Single Family Residential (Public Street),1,7/25/2019
77090,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77003,Unrestricted,1,7/25/2019
77020,Unrestricted,1,7/25/2019
77020,Unrestricted,1,7/25/2019
77433,Compensating Open Space; Drainage or Detention; Landscape or Open Space,1,7/25/2019
77003,Single Family Residential (Shared Driveways),1,7/25/2019
77007,Single Family Residential (Public Street),1,7/25/2019
77071,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77075,Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77075,Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77493,General Plan,1,7/25/2019
77048,Unrestricted,1,7/25/2019
77346,Unrestricted,1,7/25/2019
77025,Unrestricted,1,7/25/2019
77084,Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77021,Landscape or Open Space; Residential Guest Parking; Single Family Residential (Public Street),1,7/25/2019
77044,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77379,Unrestricted,1,7/25/2019
77396,Unrestricted,1,7/25/2019
77449,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77043,Unrestricted,1,7/25/2019
77011,Single Family Residential (Shared Driveways),1,7/25/2019
77377,General Plan,1,7/25/2019
77020,Single Family Residential (Public Street),1,7/25/2019
77407,Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77388,Unrestricted,1,7/25/2019
77092,Unrestricted Intended for Multifamily,1,7/25/2019
77018,Single Family Residential (Shared Driveways),1,7/25/2019
77493,General Plan,1,7/25/2019
77009,Single Family Residential (Public Street); Single Family Residential (Shared Driveways),1,7/25/2019
77009,Single Family Residential (Public Street),1,7/25/2019
77016,Single Family Residential (Public Street),1,7/25/2019
77493,Single Family Residential (Public Street),1,7/25/2019
77357,Lift Station,1,7/25/2019
77022,Single Family Residential (Public Street),1,7/25/2019
77389,Unrestricted,1,7/25/2019
77091,Residential Guest Parking; Single Family Residential (Shared Driveways),1,7/25/2019
77009,Single Family Residential (Public Street),1,7/25/2019
77022,Residential Guest Parking; Single Family Residential (Shared Driveways),1,7/25/2019
77028,Unrestricted; Commercial,1,7/25/2019
77076,Residential Guest Parking; Single Family Residential (Shared Driveways),1,7/25/2019
77007,Single Family Residential (Shared Driveways),1,7/25/2019
77373,Single Family Residential (Public Street),1,7/25/2019
77038,Unrestricted,1,7/25/2019
77072,Unrestricted,1,7/25/2019
77045,Commercial,1,7/25/2019
77073,Unrestricted,1,7/25/2019
77016,Single Family Residential (Public Street),1,7/25/2019
77079,Single Family Residential (PAE 1/PAE 2),1,7/25/2019
77015,"Church, School and Institutional; Commercial",1,7/25/2019
77027,Unrestricted,1,7/25/2019
77027,Unrestricted,1,7/25/2019
77093,Commercial,1,7/25/2019
77025,Unrestricted,1,7/25/2019
77493,Unrestricted,1,7/25/2019
77532,Single Family Residential (Public Street),1,7/25/2019
77048,Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77377,Commercial,1,7/25/2019
77091,Unrestricted,1,7/25/2019
77026,Single Family Residential (Shared Driveways),1,7/25/2019
77357,Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77357,Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,7/25/2019
77357,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77498,Commercial,1,7/25/2019
77493,Unrestricted,1,7/25/2019
77009,Single Family Residential (Public Street),1,7/25/2019
77433,Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77004,Unrestricted,1,7/25/2019
77002,Unrestricted,1,7/25/2019
77365,Unrestricted,1,7/25/2019
77083,Unrestricted,1,7/25/2019
77336,"Compensating Open Space; Drainage or Detention; Recreation; Water Treatment, Production or Repressurization",1,7/25/2019
77019,Single Family Residential (Public Street),1,7/25/2019
77019,Single Family Residential (Public Street),1,7/25/2019
77449,Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77377,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,7/25/2019
77447,General Plan,1,7/25/2019
77447,Landscape or Open Space; Single Family Residential (Public Street),1,7/25/2019
77380,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,7/25/2019
77023,Single Family Residential (Public Street),1,7/25/2019
77004,Unrestricted,1,7/25/2019
77065,Unrestricted; Single Family Residential (Public Street),1,7/25/2019
77447,Unrestricted,1,7/25/2019
