Zip Code,Land Use,Count,Date
77072,Unrestricted,1,6/4/2019
77048,Commercial,1,6/4/2019
77047,Unrestricted,1,6/4/2019
77346,Compensating Open Space; Landscape or Open Space; Residential Guest Parking; Single Family Residential (Public Street); Other,1,6/4/2019
77346,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,6/4/2019
77024,General Plan,1,6/4/2019
77024,Single Family Residential (Public Street),1,6/4/2019
77386,Other,1,6/4/2019
77375,Unrestricted,1,6/4/2019
77433,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,6/4/2019
77056,Single Family Residential (Public Street),1,6/4/2019
77377,Street Dedication,1,6/4/2019
77066,Drainage or Detention; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,6/4/2019
77009,Single Family Residential (Public Street),1,6/4/2019
77047,Street Dedication,1,6/4/2019
77047,Single Family Residential (PAE 1/PAE 2),1,6/4/2019
77042,Other,1,6/4/2019
77024,Unrestricted,1,6/4/2019
77389,Unrestricted,1,6/4/2019
77377,Single Family Residential (Public Street),1,6/4/2019
77006,Unrestricted,1,6/4/2019
77447,Street Dedication,1,6/4/2019
77064,"Church, School and Institutional",1,6/4/2019
77377,Drainage or Detention; Landscape or Open Space; Street Dedication,1,6/4/2019
77447,Drainage or Detention; Landscape or Open Space; Recreation; Single Family Residential (Public Street),1,6/4/2019
77498,Compensating Open Space; Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,6/4/2019
77057,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,6/4/2019
77433,Unrestricted,1,6/4/2019
77038,Drainage or Detention; Single Family Residential (Public Street),1,6/4/2019
77021,Unrestricted,1,6/4/2019
77084,Landscape or Open Space; Single Family Residential (Public Street),1,6/4/2019
77018,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways),1,6/4/2019
77406,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Other,1,6/4/2019
77048,Unrestricted,1,6/4/2019
77084,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,6/4/2019
77043,Unrestricted,1,6/4/2019
77066,Unrestricted,1,6/4/2019
77008,Commercial,1,6/4/2019
77021,Unrestricted; Single Family Residential (Public Street),1,6/4/2019
77044,Unrestricted,1,6/4/2019
77018,Unrestricted,1,6/4/2019
77093,Unrestricted,1,6/4/2019
77493,Compensating Open Space; Drainage or Detention; Landscape or Open Space,1,6/4/2019
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,6/4/2019
77407,Unrestricted,1,6/4/2019
77407,Single Family Residential (Public Street),1,6/4/2019
77449,Landscape or Open Space; Recreation,1,6/4/2019
77009,Single Family Residential (Public Street),1,6/4/2019
77039,Unrestricted,1,6/4/2019
77020,Unrestricted,1,6/4/2019
77092,Single Family Residential (Public Street),1,6/4/2019
77379,Unrestricted,1,6/4/2019
77406,Landscape or Open Space; Single Family Residential (Public Street),1,6/4/2019
77022,Single Family Residential (Public Street); Other,1,6/4/2019
77029,Commercial,1,6/4/2019
77429,Single Family Residential (Public Street),1,6/4/2019
77080,Residential Guest Parking; Single Family Residential (Shared Driveways),1,6/4/2019
77021,Single Family Residential (Public Street),1,6/4/2019
77018,Single Family Residential (Public Street),1,6/4/2019
77007,Single Family Residential (Public Street),1,6/4/2019
77019,Single Family Residential (Public Street),1,6/4/2019
77007,Unrestricted,1,6/4/2019
77091,Single Family Residential (Public Street),1,6/4/2019
,Compensating Open Space; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,6/4/2019
77070,Unrestricted,1,6/4/2019
77045,Unrestricted,1,6/4/2019
77069,Drainage or Detention; Single Family Residential (Public Street),1,6/4/2019
77045,Unrestricted,1,6/4/2019
77006,Single Family Residential (Public Street),1,6/4/2019
77024,Unrestricted,1,6/4/2019
77021,Single Family Residential (Shared Driveways),1,6/4/2019
77034,Unrestricted,1,6/4/2019
77008,Single Family Residential (Shared Driveways),1,6/4/2019
77027,Unrestricted,1,6/4/2019
77019,Single Family Residential (Shared Driveways),1,6/4/2019
77377,Unrestricted,1,6/4/2019
77429,Single Family Residential (Public Street),1,6/4/2019
77004,Unrestricted,1,6/4/2019
77004,Unrestricted,1,6/4/2019
77019,Unrestricted,1,6/4/2019
77007,Unrestricted,1,6/4/2019
77449,Landscape or Open Space; Single Family Residential (Public Street),1,6/4/2019
77007,Single Family Residential (Shared Driveways),1,6/4/2019
77004,Single Family Residential (Public Street); Single Family Residential (Shared Driveways),1,6/4/2019
77056,Single Family Residential (Public Street),1,6/4/2019
77449,Landscape or Open Space; Single Family Residential (Public Street),1,6/4/2019
77057,Unrestricted,1,6/4/2019
77006,Single Family Residential (Public Street),1,6/4/2019
77375,Single Family Residential (PAE 1/PAE 2),1,6/4/2019
77339,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,6/4/2019
77377,Unrestricted,1,6/4/2019
