Zip Code,Land Use,Count,Date
77093,Commercial,1,10/3/2019
77003,Commercial,1,10/3/2019
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77407,Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77407,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77044,Single Family Residential (PAE 1/PAE 2),1,10/3/2019
77007,Single Family Residential (Public Street),1,10/3/2019
77019,Single Family Residential (Public Street),1,10/3/2019
77028,Single Family Residential (Public Street),1,10/3/2019
77396,Unrestricted Intended for Multifamily,1,10/3/2019
77389,Unrestricted,1,10/3/2019
77493,Drainage or Detention; Landscape or Open Space,1,10/3/2019
77493,Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77493,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77080,Single Family Residential (Public Street),1,10/3/2019
77396,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77447,Drainage or Detention,1,10/3/2019
77024,Single Family Residential (Public Street),1,10/3/2019
77447,Compensating Open Space; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,10/3/2019
77493,General Plan,1,10/3/2019
77354,Unrestricted,1,10/3/2019
77009,Single Family Residential (Shared Driveways),1,10/3/2019
77079,Unrestricted,1,10/3/2019
77433,General Plan,1,10/3/2019
77433,Landscape or Open Space; Single Family Residential (PAE 1/PAE 2),1,10/3/2019
77365,Unrestricted; Compensating Open Space; Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,10/3/2019
77072,Unrestricted,1,10/3/2019
77493,Unrestricted,1,10/3/2019
77493,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77493,Compensating Open Space; Single Family Residential (Public Street),1,10/3/2019
77406,Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77406,Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77406,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77406,Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77377,Unrestricted,1,10/3/2019
77494,Unrestricted,1,10/3/2019
77072,"Water Treatment, Production or Repressurization",1,10/3/2019
77043,Other,1,10/3/2019
77043,Other,1,10/3/2019
77396,Commercial,1,10/3/2019
77072,Unrestricted,1,10/3/2019
77429,Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77429,Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77093,Unrestricted; Single Family Residential (Public Street),1,10/3/2019
77068,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77433,General Plan,1,10/3/2019
77433,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77429,Commercial,1,10/3/2019
77373,"Unrestricted Intended for Multifamily; Commercial; Drainage or Detention; Lift Station; Water Treatment, Production or Repressurization",1,10/3/2019
77373,Single Family Residential (Public Street),1,10/3/2019
77373,Landscape or Open Space,1,10/3/2019
77009,Single Family Residential (Public Street),1,10/3/2019
77008,Single Family Residential (Public Street),1,10/3/2019
77006,Single Family Residential (Shared Driveways),1,10/3/2019
77007,Single Family Residential (Public Street),1,10/3/2019
77059,Single Family Residential (PAE 1/PAE 2),1,10/3/2019
77038,Unrestricted,1,10/3/2019
77004,Unrestricted,1,10/3/2019
77070,Lift Station,1,10/3/2019
77429,Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77007,Single Family Residential (Public Street),1,10/3/2019
77493,Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77044,Unrestricted,1,10/3/2019
77044,Unrestricted,1,10/3/2019
77447,General Plan,1,10/3/2019
77006,Unrestricted,1,10/3/2019
77407,Drainage or Detention; Landscape or Open Space,1,10/3/2019
77407,Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,10/3/2019
77407,Single Family Residential (Public Street),1,10/3/2019
77008,Other,1,10/3/2019
77346,Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77346,Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77346,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77056,Unrestricted Intended for Multifamily,1,10/3/2019
77009,Single Family Residential (Public Street),1,10/3/2019
77064,Unrestricted,1,10/3/2019
77493,"Water Treatment, Production or Repressurization",1,10/3/2019
77449,"Water Treatment, Production or Repressurization",1,10/3/2019
77012,Unrestricted,1,10/3/2019
77047,Single Family Residential (Public Street),1,10/3/2019
77429,Unrestricted,1,10/3/2019
77379,Unrestricted,1,10/3/2019
77007,Unrestricted,1,10/3/2019
77044,Unrestricted,1,10/3/2019
77004,Unrestricted,1,10/3/2019
77022,Single Family Residential (Public Street),1,10/3/2019
77070,General Plan,1,10/3/2019
77070,Unrestricted; Drainage or Detention,1,10/3/2019
77004,Unrestricted,1,10/3/2019
77493,Drainage or Detention; Landscape or Open Space,1,10/3/2019
77530,Commercial,1,10/3/2019
77007,Unrestricted,1,10/3/2019
77009,Unrestricted Intended for Multifamily,1,10/3/2019
77099,Unrestricted,1,10/3/2019
77389,General Plan,1,10/3/2019
77018,Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,10/3/2019
77433,General Plan,1,10/3/2019
77098,Single Family Residential (Public Street),1,10/3/2019
77008,Single Family Residential (Public Street),1,10/3/2019
77080,Unrestricted Intended for Multifamily,1,10/3/2019
77055,Unrestricted,1,10/3/2019
77493,Single Family Residential (Public Street),1,10/3/2019
77327,General Plan,1,10/3/2019
77336,Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77493,Compensating Open Space; Drainage or Detention; Landscape or Open Space,1,10/3/2019
77033,Single Family Residential (Shared Driveways),1,10/3/2019
77433,Unrestricted,1,10/3/2019
77406,Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77406,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77009,Unrestricted,1,10/3/2019
77449,Landscape or Open Space; Single Family Residential (Public Street); Other,1,10/3/2019
77055,Single Family Residential (Public Street),1,10/3/2019
77018,Single Family Residential (PAE 1/PAE 2),1,10/3/2019
77380,Unrestricted,1,10/3/2019
77010,Unrestricted,1,10/3/2019
77033,Unrestricted,1,10/3/2019
77053,Unrestricted,1,10/3/2019
77354,Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77354,Landscape or Open Space; Single Family Residential (Public Street),1,10/3/2019
77365,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,10/3/2019
77377,Street Dedication,1,10/3/2019
77009,Single Family Residential (Public Street),1,10/3/2019
77079,Single Family Residential (Public Street),1,10/3/2019
77018,Residential Guest Parking; Single Family Residential (Shared Driveways),1,10/3/2019
77080,Unrestricted,1,10/3/2019
77018,Single Family Residential (Public Street),1,10/3/2019
77044,Landscape or Open Space; Street Dedication,1,10/3/2019
77373,Unrestricted,1,10/3/2019
77406,Commercial,1,10/3/2019
77494,Unrestricted,1,10/3/2019
77006,Single Family Residential (Public Street),1,10/3/2019
77015,Street Dedication,1,10/3/2019
77056,Single Family Residential (Public Street),1,10/3/2019
77033,Commercial,1,10/3/2019
77009,Unrestricted,1,10/3/2019
77365,Single Family Residential (Public Street),1,10/3/2019
77073,Unrestricted,1,10/3/2019
77073,Unrestricted,1,10/3/2019
77380,Unrestricted Intended for Multifamily,1,10/3/2019
