zip_code,land_use,count,date,permit_type
77091,Single Family Residential (Shared Driveways),1,1/23/2020,Residential
77091,Single Family Residential (Shared Driveways),1,1/23/2020,Residential
77072,Unrestricted,1,1/23/2020,Unrestricted
77048,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,1/23/2020,Residential
77045,Unrestricted Intended for Multifamily,1,1/23/2020,Unrestricted
77357,Street Dedication,1,1/23/2020,Other
77060,Unrestricted Intended for Multifamily,1,1/23/2020,Unrestricted
77018,Residential Guest Parking; Single Family Residential (Shared Driveways),1,1/23/2020,Residential
77447,Street Dedication,1,1/23/2020,Other
77015,Unrestricted,1,1/23/2020,Unrestricted
77396,Landscape or Open Space,1,1/23/2020,Other
77021,Single Family Residential (Public Street),1,1/23/2020,Residential
77493,Lift Station,1,1/23/2020,Other
77047,Compensating Open Space; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2),1,1/23/2020,Residential
77098,Unrestricted,1,1/23/2020,Unrestricted
77373,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street),1,1/23/2020,Residential
77373,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street),1,1/23/2020,Residential
77079,General Plan,1,1/23/2020,Other
77079,Unrestricted,1,1/23/2020,Unrestricted
77008,Landscape or Open Space; Single Family Residential (Shared Driveways),1,1/23/2020,Residential
77068,Landscape or Open Space; Single Family Residential (Public Street),1,1/23/2020,Residential
77004,Single Family Residential (Public Street),1,1/23/2020,Residential
77447,General Plan,1,1/23/2020,Other
77009,Landscape or Open Space; Recreation; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways),1,1/23/2020,Residential
77006,Unrestricted,1,1/23/2020,Unrestricted
77019,Single Family Residential (Shared Driveways),1,1/23/2020,Residential
77386,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street),1,1/23/2020,Residential
77386,Compensating Open Space; Drainage or Detention; Single Family Residential (Public Street),1,1/23/2020,Residential
77008,Single Family Residential (Shared Driveways),1,1/23/2020,Residential
77079,Other,1,1/23/2020,Other
77057,Unrestricted,1,1/23/2020,Unrestricted
77346,Landscape or Open Space; Single Family Residential (Public Street),1,1/23/2020,Residential
77346,Landscape or Open Space; Single Family Residential (Public Street),1,1/23/2020,Residential
77346,Single Family Residential (Public Street),1,1/23/2020,Residential
77406,Unrestricted,1,1/23/2020,Unrestricted
77545,General Plan,1,1/23/2020,Other
77545,Unrestricted,1,1/23/2020,Unrestricted
77009,Landscape or Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways),1,1/23/2020,Residential
77057,Unrestricted,1,1/23/2020,Unrestricted
77008,Single Family Residential (Public Street),1,1/23/2020,Residential
77041,Unrestricted,1,1/23/2020,Unrestricted
77014,"Church, School and Institutional",1,1/23/2020,Other
77018,Residential Guest Parking; Single Family Residential (Shared Driveways),1,1/23/2020,Residential
77449,Landscape or Open Space; Single Family Residential (Public Street),1,1/23/2020,Residential
77498,Unrestricted,1,1/23/2020,Unrestricted
77406,Unrestricted,1,1/23/2020,Unrestricted
77407,Landscape or Open Space; Lift Station; Single Family Residential (Public Street),1,1/23/2020,Residential
77021,Unrestricted,1,1/23/2020,Unrestricted
77004,Residential Guest Parking; Single Family Residential (Shared Driveways),1,1/23/2020,Residential
77377,Single Family Residential (Public Street),1,1/23/2020,Residential
77018,Residential Guest Parking; Single Family Residential (Shared Driveways),1,1/23/2020,Residential
77433,Street Dedication,1,1/23/2020,Other
77433,Street Dedication,1,1/23/2020,Other
77026,Single Family Residential (Public Street),1,1/23/2020,Residential
