date,zip_code,permit_type,count,land_use
2017-01-05,77002,Unrestricted,1,Unrestricted
2017-01-05,77004,Residential,1,Single Family Residential (Shared Driveways)
2017-01-05,77004,Unrestricted,1,Unrestricted
2017-01-05,77004,Residential,1,Single Family Residential (Public Street)
2017-01-05,77006,Residential,1,Single Family Residential (Public Street)
2017-01-05,77006,Commercial,1,Commercial
2017-01-05,77006,Residential,1,Single Family Residential (Public Street)
2017-01-05,77007,Residential,1,Single Family Residential (Shared Driveways)
2017-01-05,77007,Unrestricted,1,Unrestricted
2017-01-05,77007,Unrestricted,1,Unrestricted
2017-01-05,77007,Unrestricted,1,Unrestricted
2017-01-05,77008,Commercial,1,Commercial
2017-01-05,77008,Unrestricted,1,Unrestricted
2017-01-05,77008,Unrestricted,1,Unrestricted
2017-01-05,77008,Commercial,1,Commercial
2017-01-05,77008,Residential,1,Single Family Residential (Public Street)
2017-01-05,77008,Residential,1,Single Family Residential (Public Street)
2017-01-05,77008,Residential,1,Single Family Residential (Public Street)
2017-01-05,77014,Other,1,General Plan
2017-01-05,77014,Residential,1,Single Family Residential (Public Street)
2017-01-05,77018,Residential,1,Single Family Residential (Public Street)
2017-01-05,77018,Residential,1,Drainage or Detention; Landscape or Open Space; Residential Guest Parking; Single Family Residential (PAE 1/PAE 2); Single Family Residential (Shared Driveways)
2017-01-05,77018,Residential,1,Residential Guest Parking; Single Family Residential (Public Street); Single Family Residential (Shared Driveways)
2017-01-05,77020,Unrestricted,1,Unrestricted
2017-01-05,77021,Residential,1,Single Family Residential (Public Street)
2017-01-05,77022,Unrestricted,1,Unrestricted
2017-01-05,77023,Commercial,1,Commercial
2017-01-05,77023,Residential,1,Single Family Residential (Public Street)
2017-01-05,77023,Residential,1,Single Family Residential (Public Street)
2017-01-05,77038,Residential,1,Drainage or Detention; Single Family Residential (Public Street)
2017-01-05,77038,Residential,1,Unrestricted; Single Family Residential (Public Street)
2017-01-05,77039,Other,1,General Plan; Landscape or Open Space
2017-01-05,77041,Commercial,1,Commercial
2017-01-05,77044,Residential,1,Single Family Residential (Public Street)
2017-01-05,77044,Other,1,Street Dedication
2017-01-05,77047,Unrestricted,1,Unrestricted
2017-01-05,77049,Other,1,General Plan
2017-01-05,77049,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-01-05,77051,Unrestricted,1,Unrestricted
2017-01-05,77055,Residential,1,Single Family Residential (Shared Driveways)
2017-01-05,77055,Unrestricted,1,Unrestricted
2017-01-05,77065,Unrestricted,1,Unrestricted
2017-01-05,77084,Unrestricted,1,Unrestricted
2017-01-05,77084,Unrestricted,1,Unrestricted
2017-01-05,77084,Residential,1,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street)
2017-01-05,77084,Residential,1,Single Family Residential (Public Street)
2017-01-05,77084,Other,1,General Plan
2017-01-05,77084,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-01-05,77084,Unrestricted,1,Unrestricted
2017-01-05,77088,Residential,1,Single Family Residential (Public Street)
2017-01-05,77090,Unrestricted,1,Unrestricted
2017-01-05,77091,Commercial,1,Commercial
2017-01-05,77098,Unrestricted,1,Unrestricted
2017-01-05,77336,Commercial,1,Commercial
2017-01-05,77346,Other,1,Drainage or Detention; Landscape or Open Space
2017-01-05,77346,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-01-05,77346,Other,1,Street Dedication
2017-01-05,77346,Unrestricted,1,Unrestricted
2017-01-05,77357,Residential,1,Single Family Residential (Public Street)
2017-01-05,77365,Residential,1,Single Family Residential (Public Street)
2017-01-05,77365,Commercial,1,Commercial
2017-01-05,77373,Residential,1,Single Family Residential (Public Street)
2017-01-05,77373,Residential,1,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street)
2017-01-05,77375,Other,1,"Church, School and Institutional"
2017-01-05,77375,Commercial,1,Commercial
2017-01-05,77377,Unrestricted,1,Unrestricted
2017-01-05,77379,Unrestricted,1,Unrestricted
2017-01-05,77379,Commercial,1,Commercial
2017-01-05,77386,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-01-05,77386,Other,1,General Plan
