month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy
202006,35620,"new york-newark-jersey city, ny-nj-pa",1,577050,0.0035,0.0134,68147,0.0421,-0.2051,77.5,0.0764,0.3596,26520,0.4482,-0.0134,964,0.535,0.2819,8784,0.315,-0.581,24742,0.0785,1.8567,186.84375,0.0045,0.3112,1118,0.0127,0.294,1089070,-0.0182,0.0061
202006,31080,"los angeles-long beach-anaheim, ca",2,970050,0.0601,0.214,18107,-0.0078,-0.1911,60.5,-0.097,0.3444,9116,0.0946,-0.1578,380,0.092,-0.1364,3640,0.0606,-0.4776,12949,0.3579,0.0288,513.6935287,0.0246,0.1574,1886,0.0129,0.0086,2153423,0.0332,0.3008
202006,16980,"chicago-naperville-elgin, il-in-wi",3,339950,0.0303,0.0027,28026,-0.0039,-0.2704,45.5,-0.2288,0.0581,16560,0.2081,-0.1988,360,0.4754,0.1842,8568,0.1597,-0.417,22295,0.3122,0.0051,159.359375,0.0228,0.0241,1804,-0.0066,-0.0343,489707,0.0296,0.0251
202006,19100,"dallas-fort worth-arlington, tx",4,356300,0.0181,-0.0071,16719,-0.0985,-0.2884,47.5,-0.1364,-0.0306,9484,-0.0207,-0.1523,716,0.1118,-0.0628,6720,0.098,-0.4043,16486,0.2567,0.2657,150.0698242,0.014,0.0383,2383.5,0.0048,-0.0466,514043,0.0414,0.0191
202006,26420,"houston-the woodlands-sugar land, tx",5,325050,0.0159,0.0031,23899,-0.077,-0.2169,57.5,-0.1016,0.1058,10544,0.0834,-0.1658,1220,0.3377,0.3377,7144,0.0524,-0.3585,15932,0.2781,0.2426,135.359375,0.0177,0.0514,2412.5,0.0081,-0.035,476539,0.0325,0.0502
202006,37980,"philadelphia-camden-wilmington, pa-nj-de-md",6,327500,0.0495,0.1295,12449,-0.0006,-0.3994,58.5,-0.1986,0.125,7004,0.4213,-0.1463,488,0.5443,0.2842,3760,0.6348,-0.5042,3487,0.6911,-0.1174,162.9318878,0.0311,0.1065,1826.5,0.0136,-0.003,476943,0.0446,0.1672
202006,47900,"washington-arlington-alexandria, dc-va-md-wv",7,529845,0.0388,0.0878,9730,-0.0543,-0.3781,36.5,-0.1705,-0.0135,7700,0.2332,-0.1681,596,0.8395,0.5204,2532,-0.0063,-0.5443,4641,0.1629,0.1684,230.1139012,0.0332,0.123,2172.5,-0.008,-0.0664,791619,0.0349,0.1465
202006,33100,"miami-fort lauderdale-west palm beach, fl",8,399549.5,0.0038,-0.0232,44070,-0.0262,-0.0935,113.5,0.081,0.2204,11052,0.2039,0.0252,796,0.1988,0.1988,7192,0.0677,-0.2966,16258,0.3012,-0.0963,254.328125,0.0214,0.0148,1389,-0.0093,-0.0838,978532,0.0207,0.0476
202006,12060,"atlanta-sandy springs-roswell, ga",9,346250,0.0355,0.0396,32878,-0.1029,-0.2745,52,-0.0714,0.04,16404,-0.001,-0.1687,1944,0.2398,0.0104,9520,-0.0892,-0.4085,29084,0.2295,0.0651,125.828125,0.0277,0.0991,2086,0.0141,-0.0067,464115,0.0382,0.0533
202006,14460,"boston-cambridge-newton, ma-nh",10,657499.5,0.0436,0.0957,8073,0.0783,-0.3019,34.5,-0.3611,-0.0676,6452,0.2562,-0.1054,140,0.2963,0.0606,2312,0.36,-0.4638,2569,0.4288,0.0309,325.2204653,0.0629,0.1075,1997,-0.0099,-0.032,993824,0.0482,0.084
202006,41860,"san francisco-oakland-hayward, ca",11,1049775,0.0518,0.1052,5336,0.0752,-0.1712,31.5,-0.125,0.0161,4408,0.1361,-0.1041,140,0.0606,-0.125,1320,0.4043,-0.3067,4498,0.432,0.0534,607.0970041,0.0501,0.1203,1667,-0.0403,-0.048,1653532,0.0292,0.1263
