month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy
202006,utah,ut,466500,0.0391,0.1119,8956,-0.1028,-0.286,56.5,-0.0088,0.13,4600,-0.0409,-0.2277,672,0.5701,0.098,2052,-0.1896,-0.5201,9895,0.1652,0.2064,183.0582458,0.0432,0.1703,2582,-0.0065,-0.0458,815362,0.0862,0.2051
202006,iowa,ia,225000,0.011,0.023,12127,-0.0481,-0.1252,77,0.0548,0.375,4284,0.0298,-0.1459,388,0.3662,0.0543,3504,0.1481,-0.2589,8465,0.1431,0.5772,128.8530263,0.0115,0.0237,1643.5,0.0027,-0.0063,262171,0.0205,0.0184
202006,california,ca,662230,0.0681,0.1261,61337,-0.0582,-0.2949,51,-0.1356,0.186,34692,0.0382,-0.2124,1768,0.2775,-0.0221,14324,-0.0194,-0.499,51007,0.3709,0.0948,362.75,0.072,0.1553,1873,0.0043,-0.0037,1345492,0.067,0.2318
202006,massachusetts,ma,600000,0.0434,0.0928,13466,0.0072,-0.3376,46,-0.303,0.0222,9020,0.2542,-0.1066,200,0.2195,-0.1667,3452,0.1631,-0.5006,4612,0.5698,0.3972,298.7751967,0.0543,0.1086,1975,-0.0025,-0.014,954775,0.0595,0.1235
202006,arkansas,ar,205050,0.0255,0.0427,9943,-0.0846,-0.3378,83,0.0247,0.1216,3304,0.0416,-0.2415,120,0.1538,0.0714,1848,0.1493,-0.4275,4600,0.1526,0.494,101.9768563,0.0125,0.0552,1969,0.0108,0.0223,280065,0.0266,0.0502
202006,new mexico,nm,279744,0.0283,0.0799,5725,-0.0683,-0.3206,83,0.0375,0.2206,1992,0.0779,-0.2976,100,0.1905,0.0417,1156,0.0947,-0.4266,3872,0.283,-0.0173,137.7656194,0.0195,0.072,1982.5,0.0074,0.0079,409580,0.0421,0.0684
202006,alabama,al,258574,0.0336,0.0821,16300,-0.0829,-0.2877,77,0.0267,0.0845,5832,-0.0202,-0.1616,876,0.2733,0.46,3288,0.0353,-0.3763,6940,0.1705,1.6499,115.0353218,0.0091,0.0674,2074,0.0137,0.037,336605,0.0226,0.0744
202006,colorado,co,517500,0.0349,0.0671,21279,0.0553,-0.1785,51,-0.1207,0.1591,11820,0.1151,-0.1593,808,0.6975,0.1348,6776,0.1152,-0.2962,17240,0.5495,0.1429,220.1725434,0.0504,0.1084,2371,-0.0202,-0.0219,902330,0.0238,0.0526
202006,district of columbia,dc,699950,0.007,0.0769,1379,0.0415,-0.1456,35.5,-0.1744,0.0758,944,0.2165,-0.1324,20,0.6667,0.25,352,0.0476,-0.4133,367,0.1541,0.1916,548.7788079,0.035,0.1106,1350,-0.0007,-0.0513,1041794,0.0024,0.0596
202006,nebraska,ne,255500,0.0018,0.0299,4332,-0.0814,-0.2018,66,-0.0149,0.4667,1924,-0.0942,-0.2723,204,0.7,0.9615,816,0.0681,-0.4302,4901,0.1228,9.126,119.5282282,0.0011,0.0234,1984,0.003,0.0061,304211,0.0109,0.0306
202006,alaska,ak,309750,0.0187,0.041,2511,0.0291,-0.2836,55,-0.1667,-0.1129,1128,0.2478,-0.0375,44,0.375,0.375,744,0.1847,-0.3652,120,0.3187,,174.6474558,0.0124,0.0482,1768.5,0.0106,-0.0175,354241,0.0198,0.0068
202006,missouri,mo,229950,0.0218,0.0698,15609,-0.075,-0.3236,74,0.0137,0.2333,7060,0.0915,-0.2392,380,0.3194,0.092,3812,0.1524,-0.4374,14647,0.1755,0.4931,113.438132,0.0157,0.0272,1882.5,0.0187,0.0458,312527,0.0388,0.0845
202006,nevada,nv,350000,0.0114,0.0293,11031,-0.0286,-0.145,55.5,-0.0089,0.2065,4344,0.0871,-0.275,348,0.2609,0.0875,2972,-0.0535,-0.4678,2186,0.3082,-0.3653,186.1094724,0.0067,0.0446,1895,0.008,-0.0115,609329,0.0313,0.0527
