month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldpviews_per_property_mm,ldpviews_per_property_yy,ldpviews_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us
202006,77065,"houston, tx",1756,4095,-346,-682,64.787963,79.91110463,49.66482075,41.5,-0.0568,-2.5,0.3833,11.5,-30,0.2917,0.6194,0.9775,246550,0.0186,0.0148,0.7218
202006,77532,"crosby, tx",4302,9816,1417,305,33.718304,56.06237249,11.37423492,60.5,-0.1933,-14.5,0.2604,12.5,-11,0.3421,0.5,0.4595,245000,0.0207,0.021,0.7172
202006,77581,"pearland, tx",1380,7275,-145,-183,48.200233,66.66423783,29.7362285,51,-0.0727,-4,0.3784,14,-20.5,0.2823,0.8068,0.7162,302547.5,0.0134,-0.0178,0.8857
202006,77523,"baytown, tx",6180,9243,-395,1177,37.255902,68.15797144,6.353832702,50,0,0,0.1111,5,-21.5,0.3065,0.5,0.3649,317549.5,-0.0078,-0.035,0.9297
202006,77707,"beaumont, tx",7060,2792,-1713,2951,73.05086,81.20081609,64.90090353,40.5,-0.0357,-1.5,-0.25,-13.5,-31,-0.0286,0.6386,1.2252,149950,-0.0542,0,0.4389
202006,7740,"long branch, nj",3537,11110,895,-1320,24.948994,13.39988342,36.49810551,120,0.2632,25,0.8182,54,48.5,0.8936,0.459,0.8018,765050,-0.0129,0.3212,2.24
202006,77371,"shepherd, tx",11309,12617,-37,1139,13.276013,20.07432235,6.477703294,104.5,0.1237,11.5,0.4315,31.5,33,0.2424,0.4643,0.3694,137050,0.0148,-0.2789,0.4011
202006,77429,"cypress, tx",81,7002,1989,2760,49.566453,76.23141941,22.90148645,44,-0.2667,-16,0,0,-27.5,0.4184,1.1719,0.6261,332500,-0.0073,0.0079,0.9734
202006,77571,"la porte, tx",2492,8720,719,-2438,40.203294,69.52054795,10.88603906,49,-0.1552,-9,0.4412,15,-22.5,0.3158,0.1111,0.4505,241000,0.1078,0.1753,0.7055
202006,77807,"bryan, tx",9923,12775,-12,-1204,11.833285,22.14368989,1.522879627,101,0.1222,11,0.629,39,29.5,0.3333,-0.4,0.2162,445500,-0.1766,0.6197,1.3043
202006,77565,"kemah, tx",10592,12312,-660,1091,16.030312,19.30923929,12.75138444,106,0.2771,23,0.3947,30,34.5,0.3049,0.5735,0.482,477000,-0.0442,-0.0999,1.3966
202006,77871,"normangee, tx",14031,9902,2659,3320,33.109881,44.49868843,21.72107257,72.5,-0.3908,-46.5,-0.0584,-4.5,1,0.36,0.7895,0.6126,189050,0.0806,0,0.5534
202006,77060,"houston, tx",2081,11451,-1408,,22.43515,37.86796852,7.002331682,79.5,0.1522,10.5,0.59,29.5,8,-0.1146,-0.5874,0.3829,173500,0.2388,0.3874,0.5079
202006,77583,"rosharon, tx",5884,11204,-492,3104,24.278636,47.95977849,0.597493442,68.5,0.0873,5.5,-0.0486,-3.5,-3,0.4583,0.4583,0.1577,281450,0.0346,-0.062,0.824
202006,7727,"farmingdale, nj",11401,7140,2440,221,48.903381,36.25036433,61.55639755,81.5,-0.1684,-16.5,0.3361,20.5,10,0.5058,0.6392,1.1667,549995,1.00E-04,-0.0089,1.6103
202006,77081,"houston, tx",982,10773,1199,11,27.291606,53.87642087,0.706791023,62.5,-0.1883,-14.5,0.4535,19.5,-9,0.0278,0.4231,0.1667,439050,0,0.0733,1.2854
202006,77030,"houston, tx",7803,10685,1000,3177,27.951035,55.44301953,0.45904984,61,-0.1644,-12,-0.0896,-6,-10.5,0.0313,0.0313,0.1486,517549.5,0.0781,0.5971,1.5153
202006,77840,"college station, tx",339,13101,-96,1848,8.521568,14.54386476,2.499271349,116.5,0.1768,17.5,0.3239,28.5,45,0.0962,0.425,0.2568,197050,0.0155,-0.1041,0.5768
202006,77591,"texas city, tx",7727,8147,-1906,6639,43.383853,81.20081609,5.566890119,40.5,0.3966,11.5,-0.6029,-61.5,-31,-0.1047,0.2833,0.3468,230050,-4.00E-04,0.0758,0.6735
202006,77066,"houston, tx",4037,4310,3042,2978,63.57476,61.54182454,65.60769455,55.5,-0.119,-7.5,0.2614,11.5,-16,0.8836,1.5943,1.2387,223005.5,0.0227,0.037,0.6528
202006,77076,"houston, tx",4540,11608,-628,,21.21466,35.0043719,7.424948994,83,0.1857,13,0.0921,7,11.5,0.3182,0.1154,0.3919,172494,0.015,-0.0924,0.5049
202006,77088,"houston, tx",1174,9491,-25,2026,35.68566,38.67677062,32.69454969,78.5,0.0753,5.5,0.246,15.5,7,0.3254,0.9881,0.7523,175050,0,-0.0272,0.5124
202006,77563,"hitchcock, tx",9427,11947,16,998,18.861119,21.24744972,16.47478869,102.5,0.25,20.5,0.553,36.5,31,0.803,0.9833,0.536,321300,-0.0524,0.1292,0.9406
202006,77025,"houston, tx",2389,11039,303,1431,25.397115,49.81055086,0.983678228,66.5,-0.05,-3.5,0.2091,11.5,-5,0.2813,0.7083,0.1847,470050,0.0021,0.1061,1.3762
202006,77465,"palacios, tx",11411,12684,614,2082,12.722238,15.89186826,9.552608569,113,-0.1032,-13,0.1414,14,41.5,0.3194,0.6379,0.4279,222050,0.0137,-0.1445,0.65
202006,77905,"victoria, tx",7205,9556,1132,1720,35.292189,30.46487904,40.11949869,89,0.0114,1,0.2361,17,17.5,0.5,0.783,0.8514,294050,0.0691,0.0141,0.8609
202006,77303,"conroe, tx",6822,8591,-1642,-3119,40.990236,64.89361702,17.08685514,52.5,0.3816,14.5,0.3462,13.5,-19,0.4756,0.0083,0.545,298050,0.0034,0.4251,0.8726
202006,77091,"houston, tx",5199,11319,-612,568,23.47712,42.58962402,4.36461673,75,0.1719,11,0.3393,19,3.5,0.5682,0.2321,0.3108,252500,-0.065,0.0118,0.7392
202006,77033,"houston, tx",4959,9115,-1350,-1571,37.831536,54.89653162,20.76654037,61.5,0.2551,12.5,0.7083,25.5,-10,0.4457,0.7051,0.5991,146950,-7.00E-04,0.0131,0.4301
202006,77094,"houston, tx",10433,10181,-149,483,31.233605,56.57242786,5.894782862,60,-0.0323,-2,0.3636,16,-11.5,0.197,0.881,0.3559,467050,0.038,-0.0371,1.3674
202006,77702,"beaumont, tx",15677,4027,-2330,7177,65.141358,69.52054795,60.76216846,49,0.6333,19,-0.3875,-31,-22.5,0.219,1.1333,1.1532,137550,0,0.1956,0.4026
202006,77373,"spring, tx",560,4601,1419,3016,62.03002,81.20081609,42.85922472,40.5,-0.19,-9.5,-0.0357,-1.5,-31,0.4627,1.1304,0.8829,190000,-0.0406,-0.0382,0.5562
202006,77901,"victoria, tx",1437,8835,-215,1317,39.511075,48.9215972,30.10055377,67.5,0.0385,2.5,0.125,7.5,-4,0.2903,0.5385,0.7207,169050,0.0569,0.084,0.4948
202006,7756,"ocean grove, nj",13545,3155,3753,3992,70.573448,52.65957447,88.48732148,63.5,-0.3022,-27.5,-0.0078,-0.5,-8,0.716,1.4942,1.9324,569050,0.0756,-0.1233,1.6661
202006,77011,"houston, tx",7391,10779,1990,3429,27.269746,53.3809385,1.158554357,63,-0.3077,-28,-0.125,-9,-8.5,-0.0227,0.2647,0.1937,270050,0.08,0.179,0.7906
202006,77038,"houston, tx",5661,8120,976,1725,43.547799,60.97347712,26.12212183,56,-0.1385,-9,0.2727,12,-15.5,0.3304,1.3281,0.6712,200550,-0.0314,0.0335,0.5871
202006,77021,"houston, tx",3737,10056,390,2264,32.144419,59.77849024,4.510346838,57,-0.1094,-7,0.0179,1,-14.5,0.129,0.6667,0.3153,299500,0.1521,0.1982,0.8768
202006,77064,"houston, tx",1297,4532,-413,-549,62.467211,81.20081609,43.73360536,40.5,-0.0795,-3.5,0.4464,12.5,-31,0.2595,0.6864,0.8964,227550,0.0111,-0.0517,0.6661
202006,77362,"pinehurst, tx",13447,10400,-379,2945,29.809094,55.44301953,4.17516759,61,0.0339,2,0.0167,1,-10.5,0.2593,2.4,0.3063,420049.5,0.0096,-0.0909,1.2298
202006,77659,"sour lake, tx",13034,10961,474,496,25.892597,14.80617896,36.97901486,116,0.234,22,0.4872,38,44.5,0.6071,0.6071,0.8108,240049,-0.04,-0.04,0.7027
202006,77401,"bellaire, tx",7116,11989,49,1352,18.464005,36.71670067,0.211308656,81,0.0519,4,0.35,21,9.5,0.4444,0.3,0.1171,996550,0.0015,0.0491,2.9178
202006,77979,"port lavaca, tx",7081,11070,30,2868,25.178519,26.85077237,23.50626639,94,-0.0505,-5,0.1059,9,22.5,0.1016,1.0735,0.6351,219950,-0.0418,-0.1204,0.6439
202006,77385,"conroe, tx",6001,9462,97,788,35.882396,59.77849024,11.98630137,57,-0.0339,-2,0.1176,6,-14.5,0.3684,0.3333,0.4685,290920,0.0206,0.0407,0.8517
202006,77612,"buna, tx",9809,5634,-3600,-1658,56.517779,57.01690469,56.01865345,59.5,0.19,9.5,0.3523,15.5,-12,-0.0947,0.4059,1.0766,227250,-0.01,0.2982,0.6653
202006,77084,"houston, tx",10,7295,-748,-22,48.072719,64.89361702,31.25182163,52.5,-0.0789,-4.5,0.4583,16.5,-19,0.1319,0.9878,0.7342,225050,0,0.0135,0.6588
202006,77327,"cleveland, tx",6010,11411,-654,2121,22.741183,42.58962402,2.892742641,75,0.1538,10,0.0563,4,3.5,0.2,0.0714,0.2703,192545,0.057,0.1192,0.5636
202006,77957,"edna, tx",10074,11810,-985,325,19.848441,18.09239289,21.60448849,108.5,0.0637,6.5,0.55,38.5,37,-0.0423,0.5814,0.6126,213500,-0.2235,0.5245,0.625
202006,77586,"seabrook, tx",4840,10268,-1142,-1516,30.698047,44.87758671,16.51850772,72,0.2,12,0.3333,18,0.5,0.266,0.0818,0.536,339950,0.0458,0.0964,0.9953
202006,7718,"belford, nj",12406,250,1314,2280,95.289274,97.79218887,92.78635966,21.5,-0.5521,-26.5,-0.4028,-14.5,-50,0.7536,1.8218,2.2117,410000,-0.0237,0.0791,1.2004
202006,77041,"houston, tx",3038,8312,-141,3409,42.531332,72.85776741,12.20489653,46.5,-0.1545,-8.5,-0.1389,-7.5,-25,0.05,0.9444,0.473,425050,0.0625,0.0735,1.2444
202006,77026,"houston, tx",5640,11708,-1359,2837,20.540659,35.34683766,5.734479744,82.5,0.25,16.5,0.0577,4.5,11,0,1.1667,0.3514,172550,0.0147,0.0648,0.5051
202006,7723,"deal, nj",22195,12836,69,2179,11.29044,16.91926552,5.66161469,110.5,0.0941,9.5,-0.0221,-2.5,39,0.1818,0.3,0.3514,1399050,0.0029,-0.1521,4.0964
202006,77531,"clute, tx",7588,10158,-1976,5445,31.535995,57.65083066,5.421160012,59,0.3409,15,-0.5317,-67,-12.5,0.3103,1,0.3423,249950,-0.0196,-0.0566,0.7317
202006,77833,"brenham, tx",3775,10547,-1809,-3658,28.850918,26.50830662,31.19352958,94.5,0.3125,22.5,0.7182,39.5,23,0.1479,0.1319,0.7342,279050,-9.00E-04,0.116,0.8169
202006,77320,"huntsville, tx",4828,11809,-1023,876,19.848441,28.83270184,10.86417954,91,0.1818,14,0.2639,19,19.5,0.0204,0.2821,0.4505,180750,0.1086,0.0326,0.5291
202006,77004,"houston, tx",2048,10869,456,2428,26.599388,52.26610318,0.93267269,64,-0.0857,-6,0.0667,4,-7.5,0.1111,0.5385,0.1802,384050,0.0288,0.0381,1.1244
202006,77701,"beaumont, tx",8020,9191,113,-1770,37.48907,13.23229379,61.74584669,120.5,0.3539,31.5,1.2315,66.5,49,0.5663,0.9403,1.1712,136500,0.0259,0.4256,0.3995
202006,77054,"houston, tx",2543,11187,-193,1422,24.409793,47.61731274,1.20227339,69,0.0455,3,0.2321,13,-2.5,0.0476,0.5714,0.1982,177550,0.0757,-0.0934,0.5197
202006,77983,"seadrift, tx",18465,12408,-133,2901,15.196007,8.780238997,21.61177499,136.5,0.092,11.5,0.1471,17.5,65,0.193,1.6154,0.6126,255050,-0.0552,0.3491,0.7467
202006,77331,"coldspring, tx",11217,11416,324,2232,22.712037,31.49956281,13.9245118,87.5,0.0802,6.5,0.1986,14.5,16,0.4605,0.9138,0.5,290050,-0.0169,-0.0554,0.8491
202006,7733,"holmdel, nj",7818,2679,4561,4417,73.852375,67.45846692,80.24628388,50.5,-0.3765,-30.5,-0.1721,-10.5,-21,0.6905,1.1914,1.5991,804547.5,-0.0068,-0.0645,2.3556
202006,77364,"pointblank, tx",15062,12476,-447,2829,14.6058,22.14368989,7.06791023,101,0.2024,17,-0.0472,-5,29.5,0.25,0.9318,0.3829,178300,0.0803,-0.1087,0.5219
202006,77062,"houston, tx",4382,4378,14,2906,63.163072,89.58029729,36.74584669,33.5,-0.1829,-7.5,-0.141,-5.5,-38,0.2431,0.9457,0.8063,280000,0.0368,0.0767,0.8197
202006,77705,"beaumont, tx",3945,6647,-158,-63,51.282425,47.17283591,55.39201399,69.5,-0.0479,-3.5,0.178,10.5,-2,0.1569,0.4048,1.0631,165000,-0.0569,-0.2324,0.483
202006,77493,"katy, tx",5176,9959,134,2700,32.807491,60.97347712,4.641503935,56,-0.0508,-3,-0.0175,-1,-15.5,0.4792,1.0882,0.3198,320050,-0.0154,0.067,0.937
202006,77074,"houston, tx",2617,9123,2162,1159,37.79146,63.70591664,11.87700379,53.5,-0.2465,-17.5,0.1889,8.5,-18,0.9259,0.7931,0.4685,223500,0.0157,0.0398,0.6543
202006,7724,"eatontown, nj",5210,7880,-395,-1767,44.884873,35.0043719,54.76537453,83,0.2388,16,0.8864,39,11.5,0.481,0.8871,1.0541,489950,-0.0181,0.065,1.4345
202006,77089,"houston, tx",1142,6376,1260,2176,52.696007,81.20081609,24.1911979,40.5,-0.25,-13.5,-0.1,-4.5,-31,0.3,0.5889,0.6441,251850,-0.0312,-0.0494,0.7373
202006,77316,"montgomery, tx",6393,10885,-24,1861,26.51195,48.9215972,4.102302536,67.5,0.0227,1.5,0.0887,5.5,-4,0.2885,0.2885,0.3018,359545,-0.0014,-0.0202,1.0526
202006,77657,"lumberton, tx",6054,4181,-1536,-2609,64.317983,62.59108132,66.04488487,54.5,0.0686,3.5,0.3974,15.5,-17,0.1838,0.0992,1.2477,334500,-0.0134,0.1739,0.9793
202006,77382,"spring, tx",2478,8873,-795,588,39.245118,56.57242786,21.91780822,60,0.0345,2,0.3043,14,-11.5,0.193,0.7436,0.6126,620050,0.0351,0.1698,1.8154
202006,77632,"orange, tx",5564,4255,-703,947,63.85529,70.89769746,56.81288254,48,-0.2,-12,-0.0769,-4,-23.5,-0.0041,0.3851,1.0856,244400,-0.0187,0.2248,0.7155
202006,77445,"hempstead, tx",8017,11968,-1352,-1696,18.689886,33.80209851,3.577674147,84.5,0.3203,20.5,0.9205,40.5,13,0.2308,0.1852,0.2883,305050,0.0517,0.5403,0.8931
202006,77020,"houston, tx",5699,11379,5,786,23.007141,44.49868843,1.515593122,72.5,0.0357,2.5,0.3942,20.5,1,0.8462,0.6,0.2162,292500,0.0638,-0.0251,0.8563
202006,77545,"fresno, tx",6435,6665,147,3845,51.216846,85.47070825,16.96298455,37,-0.1957,-9,-0.1778,-8,-34.5,0.1204,1.3269,0.545,238800,0.0426,0.0565,0.6991
202006,77036,"houston, tx",102,10731,324,-1789,27.597639,44.87758671,10.31769164,72,-0.027,-2,0.6744,29,0.5,0.1951,0.2895,0.4414,118550,-0.0884,-0.4487,0.347
202006,77384,"conroe, tx",6325,9922,-745,1111,32.993296,60.97347712,5.01311571,56,0.098,5,0.12,6,-15.5,0.5208,0.2586,0.3288,380395,0.0147,0.0282,1.1137
202006,7739,"little silver, nj",12672,1117,1860,3825,85.835034,91.4893617,80.18070533,31.5,-0.4057,-21.5,-0.4375,-24.5,-40,0.5435,0.775,1.5991,925800,0.1645,0.1087,2.7107
202006,77551,"galveston, tx",6367,9749,-938,-1487,34.064413,27.84902361,40.27980181,92.5,0.1709,13.5,0.4231,27.5,21,0.1962,0.26,0.8514,199250,0.001,-0.1301,0.5833
202006,77514,"anahuac, tx",15976,12820,20,2305,11.479889,22.39143107,0.568347421,100.5,0.1044,9.5,-0.33,-49.5,29,-0.0278,-0.4697,0.1577,243040,0.0041,-0.0122,0.7115
