date,zip,new_listing_count,active_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_feet,median_square_feet,average_listing_price,total_listing_count,pending_ratio,permit_count,permit_type
202006,77414,40,130,0,16,31,113.793981,1700,232176,161,0.2385,327,Residential
202006,77087,4,21,0,4,19,124.4563926,1615,227396,40,0.9048,136,Residential
202006,77024,108,396,0,92,77,302.3306906,3815,1759357,473,0.1944,289,Residential
202006,77020,28,66,4,16,32,167.3225579,1666,273267,98,0.4848,360,Residential
202006,77983,0,22,0,4,9,153.8461538,1746,288390,31,0.4091,90,Residential
202006,77362,16,38,0,16,47,128.5361262,3140.5,409231,85,1.2368,379,Residential
202006,77385,68,139,12,52,112,121.4304813,2496,327036,251,0.8058,62,Residential
202006,77510,20,46,4,16,27,146.9537815,1719.5,275602,73,0.587,303,Residential
202006,77009,116,275,4,88,95,230.5389222,1804,515988,370,0.3455,480,Residential
202006,77530,8,26,0,8,23,106.441048,1614,237466,49,0.8846,400,Residential
202006,7704,20,30,0,0,25,356.921167,2257,1219623,55,0.8333,440,Residential
202006,77488,12,29,0,8,9,94.88139825,1718.5,193348,38,0.3103,362,Residential
202006,77982,4,47,0,8,9,205.7699574,2123,491551,56,0.1915,110,Residential
202006,77371,0,19,0,0,6,86.17855891,1612,238259,25,0.3158,88,Residential
202006,77807,68,136,0,4,42,207.2841488,1808.5,645667,178,0.3088,403,Residential
202006,77061,4,33,0,8,10,117.3351034,1698,208696,43,0.303,372,Residential
202006,77068,20,38,0,12,27,96.69399958,3199,383394,65,0.7105,0,Residential
202006,7724,40,71,0,8,80,195.6035768,1565,543705,151,1.1268,115,Residential
202006,77002,16,61,0,16,10,244.6664032,1161,377494,71,0.1639,117,Residential
202006,77057,72,293,0,84,65,174.818268,1947,530053,358,0.2218,269,Residential
202006,77092,40,103,4,24,51,173.7361999,1691,308404,154,0.4951,170,Residential
202006,7748,60,74,0,12,98,210.7928,1800,901076,172,1.3243,500,Residential
202006,77502,12,38,0,12,34,108.5159729,1970,201521,72,0.8947,219,Residential
202006,77059,32,80,0,24,59,138.9802022,3358,493402,139,0.7375,2,Residential
202006,7727,16,37,0,4,27,187.5052341,2200,598851,64,0.7297,185,Residential
202006,77038,12,18,0,0,27,100.6319883,1750,197816,45,1.5,471,Residential
202006,77364,8,31,0,4,15,128.7337662,1584,246201,46,0.4839,238,Residential
202006,77423,24,105,16,36,90,122.8472906,2603.5,327952,195,0.8571,242,Residential
202006,77469,116,320,64,80,314,124.7274139,2405.5,338966,634,0.9813,78,Residential
202006,77065,20,24,0,4,48,100.2804451,2689,275646,72,2,108,Residential
